stress_level,method,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
0.18,oracle_exception_selector,0.818287,0.011302,0.712963,0.013844,0.155324,0.008752,0.008333,0.002805,0.001852,0.000907,0.679398,0.015173,0.053472,0.009927,0.003935,0.001919,0.160417,0.010907,0.431944,0.015763,0.165741,0.008008,0.306713,0.006354,0.714583,0.014204,0.061343,0.007355,0.011343,0.002905,0.040278,0.005377,0.0,0.0,0.911558,0.007969,10
0.18,proposed_embodied_scale_exception_audit_v4,0.643981,0.018183,0.609954,0.012085,0.217824,0.01604,0.045833,0.006337,0.051157,0.006468,0.561111,0.011601,0.093519,0.008065,0.051389,0.004577,0.164352,0.009249,0.337037,0.015603,0.212269,0.010759,0.259259,0.012581,0.577546,0.014062,0.107639,0.009205,0.038657,0.004926,0.067361,0.006432,0.0,0.0,0.731203,0.017648,10
0.28,boundary_aware_scale_exception_audit_v5,0.694444,0.009848,0.674074,0.011847,0.166204,0.012577,0.033796,0.00484,0.024537,0.003838,0.615509,0.016295,0.070833,0.009229,0.022454,0.00488,0.177778,0.010275,0.334491,0.015618,0.184722,0.01325,0.24838,0.016415,0.649537,0.018525,0.078009,0.00834,0.025231,0.004708,0.05787,0.008172,0.0,0.0,0.79852,0.006476,10
0.28,conformal_risk_filter,0.515972,0.011061,0.446528,0.013381,0.26713,0.013101,0.070833,0.008667,0.083796,0.004103,0.420602,0.021696,0.11412,0.011399,0.099769,0.008487,0.192824,0.014491,0.282176,0.019349,0.237731,0.011339,0.241898,0.016123,0.447222,0.022379,0.15625,0.009499,0.058565,0.008871,0.10625,0.007871,0.0,0.0,0.561711,0.009557,10
0.28,generic_scaling_law_extrapolator,0.45,0.011281,0.278935,0.010932,0.296759,0.015582,0.126157,0.008799,0.199074,0.010864,0.274306,0.009156,0.17963,0.010973,0.209028,0.014042,0.149074,0.009029,0.399769,0.014107,0.350926,0.011757,0.444444,0.011734,0.27037,0.013841,0.251157,0.006601,0.074537,0.007055,0.137963,0.009736,0.0,0.0,0.414795,0.011981,10
0.28,large_behavior_clone,0.400694,0.013802,0.215046,0.017473,0.312963,0.016088,0.135648,0.009003,0.21088,0.009623,0.245602,0.016421,0.201389,0.01101,0.224769,0.0102,0.147685,0.013641,0.378009,0.007975,0.365509,0.02275,0.412269,0.01445,0.239815,0.010655,0.265278,0.009712,0.098611,0.005904,0.136574,0.012023,0.0,0.0,0.353863,0.013075,10
0.28,oracle_exception_selector,0.792361,0.011073,0.709028,0.010823,0.158102,0.01334,0.012963,0.002549,0.002546,0.001846,0.665741,0.017858,0.058565,0.005018,0.003241,0.001684,0.165509,0.009969,0.421296,0.017137,0.175694,0.007665,0.303241,0.010434,0.711343,0.010674,0.060185,0.00693,0.015278,0.001542,0.043287,0.005285,0.0,0.0,0.889355,0.00844,10
0.28,proposed_embodied_scale_exception_audit_v4,0.621296,0.021834,0.592824,0.015024,0.197454,0.014075,0.049537,0.007003,0.052315,0.009688,0.549769,0.015807,0.09375,0.008179,0.045833,0.006154,0.163194,0.010083,0.330324,0.009779,0.212037,0.01035,0.260185,0.01166,0.569907,0.016384,0.094444,0.007434,0.038194,0.006021,0.071759,0.00693,0.0,0.0,0.70555,0.021894,10
0.38,boundary_aware_scale_exception_audit_v5,0.693519,0.011699,0.672454,0.017961,0.178241,0.008393,0.032407,0.006308,0.022222,0.003717,0.620602,0.020182,0.075231,0.00801,0.024074,0.003592,0.17662,0.014026,0.33912,0.016151,0.186574,0.01091,0.241204,0.016258,0.643056,0.015873,0.080093,0.005787,0.032176,0.007575,0.064583,0.006104,0.0,0.0,0.795154,0.010542,10
0.38,conformal_risk_filter,0.510185,0.008772,0.444907,0.018532,0.267361,0.021981,0.065509,0.009275,0.083102,0.008241,0.395833,0.012671,0.133333,0.010036,0.092361,0.009623,0.190972,0.012216,0.267824,0.012398,0.254167,0.015331,0.263657,0.012912,0.452546,0.016023,0.1625,0.011593,0.056944,0.010195,0.102315,0.007794,0.0,0.0,0.551734,0.010053,10
0.38,generic_scaling_law_extrapolator,0.409491,0.011286,0.272222,0.008065,0.303472,0.010789,0.13287,0.01162,0.205556,0.01113,0.284491,0.013852,0.188657,0.010374,0.21088,0.014418,0.146296,0.007341,0.400694,0.01314,0.386111,0.011232,0.441667,0.01728,0.272685,0.014628,0.258102,0.020937,0.086343,0.008948,0.142361,0.010656,0.0,0.0,0.372624,0.010746,10
0.38,large_behavior_clone,0.365509,0.006503,0.202778,0.011757,0.328009,0.013237,0.15,0.007215,0.213657,0.00959,0.241204,0.014722,0.203935,0.01029,0.223148,0.011796,0.147917,0.006029,0.379398,0.016196,0.375231,0.01011,0.436806,0.01488,0.241898,0.019169,0.269907,0.015187,0.100231,0.00861,0.148611,0.009269,0.0,0.0,0.312948,0.007754,10
0.38,oracle_exception_selector,0.778935,0.010827,0.701852,0.016756,0.169444,0.012522,0.009491,0.003344,0.003935,0.002624,0.649306,0.019145,0.061343,0.008562,0.002083,0.000814,0.171759,0.011334,0.413426,0.012178,0.170139,0.01057,0.314583,0.017785,0.705324,0.008768,0.053241,0.00887,0.015509,0.00152,0.044444,0.00608,0.0,0.0,0.874649,0.009897,10
0.38,proposed_embodied_scale_exception_audit_v4,0.616667,0.016898,0.59213,0.012776,0.213426,0.007087,0.049537,0.006279,0.049306,0.005285,0.549074,0.019612,0.098611,0.011718,0.054167,0.006837,0.169213,0.009161,0.344213,0.011258,0.233333,0.016523,0.267361,0.013599,0.561111,0.009852,0.110648,0.010668,0.036343,0.002144,0.071296,0.007215,0.0,0.0,0.69939,0.014522,10
0.48,boundary_aware_scale_exception_audit_v5,0.684491,0.011379,0.652315,0.014376,0.175231,0.014942,0.034722,0.00719,0.026852,0.004445,0.616898,0.016529,0.073611,0.007525,0.023843,0.005153,0.183333,0.010163,0.326389,0.008311,0.180556,0.008922,0.240509,0.009788,0.647917,0.012012,0.088889,0.007507,0.025694,0.004083,0.05787,0.006011,0.0,0.0,0.78613,0.012531,10
0.48,conformal_risk_filter,0.471759,0.019139,0.43287,0.014395,0.266898,0.012958,0.081019,0.004637,0.084954,0.010949,0.402546,0.017836,0.122454,0.012769,0.101157,0.008202,0.189352,0.009194,0.273148,0.012099,0.27037,0.011313,0.241435,0.018622,0.423148,0.007309,0.164583,0.012679,0.066204,0.006804,0.099537,0.007284,0.0,0.0,0.511521,0.019027,10
0.48,generic_scaling_law_extrapolator,0.384491,0.012841,0.269213,0.013289,0.30162,0.013812,0.142593,0.007893,0.202778,0.015676,0.277083,0.014443,0.18912,0.009225,0.2125,0.013024,0.153472,0.009849,0.387269,0.013779,0.377778,0.017465,0.427778,0.011866,0.256481,0.016272,0.261574,0.010927,0.087963,0.009963,0.150694,0.010575,0.0,0.0,0.34689,0.011024,10
0.48,large_behavior_clone,0.351852,0.012761,0.212269,0.010969,0.338194,0.012894,0.154398,0.011637,0.211111,0.009632,0.231019,0.01023,0.205324,0.011217,0.227083,0.016628,0.154167,0.00957,0.372917,0.01682,0.372222,0.017067,0.437269,0.01565,0.230787,0.012922,0.268056,0.015151,0.100231,0.009446,0.146065,0.014576,0.0,0.0,0.30026,0.011606,10
0.48,oracle_exception_selector,0.784722,0.011927,0.703009,0.012454,0.171528,0.011684,0.0125,0.00304,0.003472,0.001015,0.658333,0.013698,0.059722,0.006228,0.003704,0.001684,0.17338,0.011762,0.405787,0.01334,0.17662,0.01457,0.30787,0.014459,0.685417,0.009765,0.063657,0.008773,0.015741,0.002933,0.03912,0.005387,0.0,0.0,0.881794,0.00899,10
0.48,proposed_embodied_scale_exception_audit_v4,0.602083,0.0102,0.589352,0.014093,0.20463,0.011321,0.060648,0.006228,0.05,0.007446,0.53125,0.015764,0.102083,0.005914,0.056019,0.006654,0.164583,0.008856,0.309954,0.015665,0.236574,0.013405,0.271065,0.018229,0.556713,0.011057,0.105556,0.01015,0.038426,0.00516,0.077778,0.004744,0.0,0.0,0.681988,0.008972,10
0.58,boundary_aware_scale_exception_audit_v5,0.674306,0.010716,0.653009,0.012145,0.178704,0.00944,0.036343,0.00428,0.027778,0.005016,0.605093,0.008745,0.07963,0.008371,0.027083,0.003582,0.183102,0.009035,0.325231,0.017731,0.185185,0.016345,0.244676,0.009964,0.647685,0.012758,0.090741,0.007309,0.030556,0.004773,0.05787,0.006381,0.0,0.0,0.776493,0.010237,10
0.58,conformal_risk_filter,0.462037,0.012438,0.429167,0.018599,0.265972,0.013381,0.08125,0.009309,0.08588,0.006642,0.393981,0.011394,0.144444,0.009991,0.106944,0.007968,0.199537,0.008603,0.266898,0.015094,0.279167,0.010868,0.249769,0.019075,0.426157,0.015969,0.160648,0.014821,0.066667,0.007247,0.112037,0.007806,0.0,0.0,0.497196,0.012491,10
0.58,generic_scaling_law_extrapolator,0.362731,0.013928,0.239815,0.013257,0.329861,0.013395,0.138889,0.012562,0.216667,0.013732,0.261111,0.013024,0.199537,0.01088,0.227315,0.014613,0.155324,0.01184,0.401852,0.017897,0.392361,0.010106,0.436574,0.014806,0.257639,0.013028,0.274074,0.010239,0.103704,0.009981,0.157639,0.014032,0.0,0.0,0.319762,0.012738,10
0.58,large_behavior_clone,0.321296,0.011047,0.19213,0.012249,0.319676,0.016182,0.161806,0.014732,0.225926,0.009449,0.238194,0.005636,0.221991,0.010639,0.233565,0.009309,0.15625,0.011015,0.359028,0.01437,0.409028,0.009446,0.418519,0.012264,0.215509,0.007361,0.260648,0.015485,0.107176,0.009542,0.153472,0.009661,0.0,0.0,0.266087,0.012421,10
0.58,oracle_exception_selector,0.784491,0.010618,0.699769,0.008846,0.160648,0.01718,0.016204,0.003826,0.002546,0.001579,0.646759,0.018088,0.061806,0.008004,0.002778,0.000907,0.190972,0.013275,0.405556,0.014216,0.178935,0.014236,0.302778,0.01056,0.678009,0.010509,0.063194,0.00786,0.015741,0.004627,0.04375,0.00599,0.0,0.0,0.87917,0.008663,10
0.58,proposed_embodied_scale_exception_audit_v4,0.583333,0.012761,0.572685,0.014109,0.220833,0.011118,0.055093,0.007495,0.056713,0.007134,0.53588,0.014604,0.105324,0.009499,0.057407,0.00648,0.184722,0.009293,0.319676,0.012534,0.238426,0.011792,0.257639,0.015601,0.54375,0.0079,0.106713,0.013244,0.038657,0.004386,0.08287,0.008139,0.0,0.0,0.660907,0.012892,10
0.68,boundary_aware_scale_exception_audit_v5,0.663194,0.010974,0.63912,0.013752,0.190046,0.01507,0.0375,0.004577,0.029167,0.002637,0.608565,0.018342,0.078472,0.007484,0.030324,0.005513,0.197222,0.011924,0.322222,0.016116,0.191667,0.013267,0.238657,0.011102,0.622454,0.015723,0.090046,0.009161,0.028009,0.004945,0.067593,0.007794,0.0,0.0,0.762241,0.010842,10
0.68,conformal_risk_filter,0.446296,0.009269,0.407176,0.013364,0.27963,0.012245,0.08287,0.008415,0.09213,0.006265,0.394444,0.017961,0.144213,0.008583,0.109491,0.009126,0.194676,0.010155,0.262963,0.010195,0.282407,0.013391,0.255787,0.008799,0.415046,0.015468,0.188889,0.014759,0.069213,0.0096,0.111574,0.011171,0.0,0.0,0.477253,0.01015,10
0.68,generic_scaling_law_extrapolator,0.337037,0.007806,0.258333,0.01046,0.328241,0.014152,0.150694,0.016069,0.209722,0.012639,0.279398,0.010191,0.208565,0.018317,0.219444,0.008469,0.155324,0.01011,0.381481,0.017386,0.39537,0.015888,0.428241,0.014427,0.242593,0.012357,0.256944,0.006661,0.095139,0.009741,0.163889,0.009584,0.0,0.0,0.296131,0.008507,10
0.68,large_behavior_clone,0.291667,0.016895,0.202315,0.015426,0.347917,0.010033,0.167824,0.014351,0.225463,0.011261,0.232407,0.014319,0.222917,0.015659,0.248611,0.014222,0.152546,0.006503,0.362963,0.008222,0.42037,0.012925,0.435417,0.01184,0.2125,0.011769,0.289815,0.010964,0.112963,0.009512,0.174537,0.013462,0.0,0.0,0.237139,0.015407,10
0.68,oracle_exception_selector,0.766667,0.007341,0.696296,0.010473,0.163426,0.006634,0.01713,0.004013,0.002778,0.001318,0.646296,0.011789,0.059028,0.007719,0.00463,0.002619,0.190972,0.011641,0.402546,0.017355,0.18912,0.013746,0.313657,0.012908,0.663657,0.016359,0.060648,0.004158,0.015741,0.005486,0.04375,0.006215,0.0,0.0,0.86475,0.007735,10
0.68,proposed_embodied_scale_exception_audit_v4,0.588426,0.015029,0.571528,0.016792,0.21713,0.010754,0.059722,0.00863,0.053935,0.007593,0.540741,0.015515,0.110417,0.008503,0.052083,0.007004,0.184491,0.013629,0.324074,0.012212,0.252315,0.011317,0.257639,0.017363,0.535185,0.011514,0.108102,0.00925,0.048843,0.005082,0.076852,0.010711,0.0,0.0,0.665428,0.017205,10
0.78,boundary_aware_scale_exception_audit_v5,0.653241,0.013094,0.632407,0.009843,0.189815,0.008661,0.038426,0.006243,0.025463,0.005818,0.601852,0.013062,0.078472,0.006978,0.024306,0.0039,0.208565,0.010915,0.310185,0.015259,0.191667,0.016145,0.241435,0.01294,0.627083,0.014323,0.075694,0.009895,0.031019,0.005981,0.065046,0.00397,0.0,0.0,0.75028,0.012689,10
0.78,conformal_risk_filter,0.431944,0.014775,0.423843,0.01314,0.284722,0.010213,0.089815,0.006154,0.096065,0.005293,0.389352,0.019436,0.146759,0.014913,0.115278,0.01005,0.215972,0.009176,0.258333,0.010805,0.298611,0.020324,0.242593,0.017491,0.406944,0.010775,0.175231,0.007223,0.077315,0.009594,0.121528,0.007778,0.0,0.0,0.461772,0.014652,10
0.78,generic_scaling_law_extrapolator,0.314352,0.0142,0.244907,0.01466,0.335648,0.013254,0.166204,0.016973,0.213194,0.006846,0.264352,0.011847,0.213657,0.014364,0.231944,0.00836,0.172685,0.007132,0.38287,0.009449,0.424074,0.014152,0.428009,0.014259,0.239815,0.007384,0.265046,0.013241,0.104861,0.007975,0.166435,0.011306,0.0,0.0,0.268432,0.013712,10
0.78,large_behavior_clone,0.272454,0.009941,0.186343,0.010151,0.342593,0.01731,0.178704,0.014597,0.236111,0.017624,0.225,0.012776,0.231019,0.016412,0.256713,0.014178,0.172222,0.013343,0.354398,0.017798,0.44537,0.013665,0.420139,0.018685,0.206481,0.009889,0.289815,0.011273,0.111111,0.009396,0.169676,0.012287,0.0,0.0,0.215124,0.009047,10
0.78,oracle_exception_selector,0.746296,0.006279,0.690741,0.011261,0.162731,0.008663,0.016898,0.003176,0.004167,0.002602,0.637269,0.011237,0.061574,0.009899,0.005787,0.002057,0.192593,0.007911,0.391435,0.011546,0.172685,0.009254,0.288426,0.016652,0.678241,0.016691,0.065509,0.004926,0.016898,0.003028,0.051852,0.00864,0.0,0.0,0.848336,0.006744,10
0.78,proposed_embodied_scale_exception_audit_v4,0.567593,0.016756,0.573611,0.013439,0.215046,0.010575,0.067593,0.006654,0.057639,0.005952,0.527083,0.018622,0.110648,0.008916,0.060648,0.00523,0.187731,0.011993,0.316204,0.01324,0.229861,0.010501,0.255324,0.011909,0.533565,0.016094,0.104398,0.006215,0.046065,0.006945,0.088194,0.005796,0.0,0.0,0.64103,0.017231,10
0.88,boundary_aware_scale_exception_audit_v5,0.636574,0.013645,0.628935,0.013829,0.184028,0.011302,0.04838,0.005036,0.027083,0.006594,0.590972,0.01592,0.096065,0.008481,0.029861,0.005875,0.197917,0.012494,0.319676,0.01649,0.192824,0.012545,0.234722,0.011796,0.605787,0.010695,0.082639,0.004004,0.032639,0.003205,0.066898,0.007575,0.0,0.0,0.734064,0.012318,10
0.88,conformal_risk_filter,0.404861,0.016054,0.405093,0.011734,0.293287,0.014459,0.099074,0.008222,0.102083,0.010223,0.38125,0.011298,0.155324,0.011306,0.119444,0.007776,0.207639,0.008285,0.242824,0.013313,0.303241,0.014041,0.252778,0.016509,0.400463,0.015512,0.176852,0.013979,0.07963,0.007291,0.133565,0.006832,0.0,0.0,0.428728,0.017277,10
0.88,generic_scaling_law_extrapolator,0.296759,0.010186,0.234491,0.013237,0.348843,0.010886,0.171528,0.009835,0.230787,0.008449,0.274769,0.009756,0.230787,0.01529,0.237963,0.014503,0.174537,0.017126,0.375,0.012004,0.427778,0.02544,0.439352,0.019235,0.22963,0.010838,0.276852,0.010889,0.097454,0.006573,0.168519,0.012686,0.0,0.0,0.245236,0.008175,10
0.88,large_behavior_clone,0.240741,0.01699,0.175926,0.013271,0.368287,0.013227,0.179398,0.008562,0.228935,0.014748,0.227083,0.013568,0.23588,0.008778,0.258102,0.011641,0.16088,0.012141,0.355787,0.011598,0.441204,0.010036,0.440509,0.01322,0.212963,0.013778,0.291898,0.007043,0.124769,0.010999,0.178472,0.014418,0.0,0.0,0.185032,0.014531,10
0.88,oracle_exception_selector,0.736574,0.013973,0.667824,0.010784,0.167824,0.009523,0.01713,0.003717,0.00463,0.001913,0.625231,0.011081,0.062731,0.007204,0.005324,0.002535,0.18125,0.011499,0.398611,0.016509,0.166898,0.00906,0.305787,0.009671,0.662963,0.014028,0.055093,0.005052,0.013657,0.004659,0.047454,0.006839,0.0,0.0,0.837051,0.01292,10
0.88,proposed_embodied_scale_exception_audit_v4,0.548148,0.015728,0.568519,0.012327,0.205556,0.009726,0.06713,0.005577,0.059954,0.004139,0.522222,0.011261,0.115046,0.007683,0.066898,0.006912,0.193056,0.005503,0.310185,0.016062,0.250463,0.010838,0.26412,0.01507,0.508796,0.013181,0.110648,0.013791,0.046991,0.004926,0.096065,0.006839,0.0,0.0,0.618052,0.01596,10
0.98,boundary_aware_scale_exception_audit_v5,0.624537,0.012631,0.62662,0.012672,0.191204,0.009782,0.046296,0.006522,0.032639,0.004458,0.591898,0.017231,0.081481,0.009415,0.029398,0.005859,0.214352,0.010931,0.31412,0.012024,0.196296,0.012076,0.23287,0.011382,0.609028,0.008351,0.081019,0.008973,0.032639,0.005171,0.066204,0.006423,0.0,0.0,0.71938,0.011668,10
0.98,conformal_risk_filter,0.378472,0.013344,0.405556,0.01349,0.295139,0.009475,0.098843,0.010501,0.108102,0.007918,0.391898,0.010124,0.156019,0.01166,0.126389,0.007068,0.233796,0.009469,0.252778,0.017254,0.320139,0.010056,0.251389,0.013428,0.398148,0.0108,0.178935,0.010907,0.075231,0.012457,0.132407,0.010118,0.0,0.0,0.401281,0.011297,10
0.98,generic_scaling_law_extrapolator,0.265278,0.006169,0.228704,0.015271,0.351157,0.013944,0.18125,0.009614,0.220602,0.008948,0.261111,0.015286,0.231713,0.007299,0.241898,0.011423,0.183796,0.00815,0.373843,0.021315,0.437731,0.016462,0.443981,0.012577,0.212963,0.015123,0.290278,0.007864,0.109491,0.013443,0.184954,0.007484,0.0,0.0,0.214992,0.005343,10
0.98,large_behavior_clone,0.20625,0.009647,0.173843,0.009671,0.378009,0.016841,0.189583,0.012982,0.238889,0.010073,0.219444,0.015479,0.241667,0.015951,0.265046,0.011036,0.180787,0.019455,0.346296,0.017166,0.465509,0.020194,0.415741,0.02036,0.187269,0.014607,0.290972,0.00738,0.116204,0.00982,0.179398,0.009156,0.0,0.0,0.155903,0.008779,10
0.98,oracle_exception_selector,0.734491,0.014428,0.673843,0.012607,0.16713,0.01056,0.019213,0.004489,0.004167,0.002223,0.621065,0.011813,0.066204,0.005865,0.005556,0.002051,0.18912,0.007947,0.391667,0.011691,0.180787,0.007299,0.296065,0.016765,0.655093,0.01783,0.059259,0.005461,0.021296,0.004103,0.046296,0.005239,0.0,0.0,0.833272,0.01312,10
0.98,proposed_embodied_scale_exception_audit_v4,0.545833,0.013059,0.547454,0.024686,0.225,0.017686,0.07963,0.011482,0.066204,0.005377,0.518519,0.007858,0.11875,0.011298,0.064352,0.007403,0.201157,0.009765,0.308333,0.016102,0.25787,0.016625,0.256713,0.013035,0.499537,0.014799,0.108102,0.007889,0.046759,0.006689,0.088889,0.010634,0.0,0.0,0.609635,0.013723,10
