stress_level,method,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
0.08,boundary_aware_scale_exception_audit_v5,0.717361,0.014114,0.688657,0.013599,0.165741,0.009154,0.024537,0.004933,0.01875,0.004991,0.630324,0.015468,0.076852,0.006301,0.020602,0.005036,0.161806,0.011801,0.348611,0.01162,0.177083,0.00976,0.247917,0.01333,0.679398,0.019073,0.087037,0.008745,0.025926,0.006042,0.053935,0.006799,0.0,0.0,0.82528,0.012275,10
0.08,conformal_risk_filter,0.561343,0.015397,0.47963,0.012152,0.253009,0.008871,0.058565,0.009299,0.073148,0.009377,0.408565,0.01625,0.109259,0.004527,0.087963,0.007221,0.183333,0.013129,0.284722,0.012324,0.238194,0.014685,0.249306,0.015819,0.461806,0.01273,0.148148,0.011636,0.049537,0.006937,0.085417,0.008268,0.0,0.0,0.614414,0.015661,10
0.08,generic_scaling_law_extrapolator,0.489583,0.007924,0.288657,0.010281,0.278009,0.009309,0.108796,0.006381,0.175,0.008037,0.305556,0.011754,0.159722,0.009824,0.192361,0.008726,0.129167,0.011171,0.40625,0.009131,0.323843,0.014146,0.443287,0.010592,0.278704,0.012729,0.240509,0.008514,0.084028,0.009779,0.12338,0.007889,0.0,0.0,0.466404,0.009119,10
0.08,large_behavior_clone,0.445602,0.02464,0.228472,0.010124,0.300231,0.018287,0.115741,0.00719,0.203472,0.010267,0.258565,0.008449,0.16875,0.007361,0.208565,0.016054,0.134259,0.007501,0.379167,0.015582,0.322454,0.016636,0.431713,0.022898,0.252778,0.008496,0.239352,0.014206,0.085648,0.008555,0.131713,0.010178,0.0,0.0,0.407863,0.024094,10
0.08,oracle_exception_selector,0.822454,0.009126,0.726157,0.011419,0.165278,0.010262,0.009954,0.002348,0.004167,0.001482,0.659028,0.018224,0.06088,0.008768,0.002083,0.001579,0.148843,0.01334,0.436343,0.013666,0.163657,0.01471,0.314583,0.019147,0.717824,0.011993,0.05787,0.005239,0.016667,0.004047,0.037269,0.004083,0.0,0.0,0.912872,0.007871,10
0.08,proposed_embodied_scale_exception_audit_v4,0.668287,0.01699,0.616435,0.01735,0.20162,0.012145,0.041435,0.00456,0.03912,0.006978,0.549537,0.015005,0.099769,0.007929,0.046991,0.006274,0.163657,0.01278,0.340509,0.013852,0.21412,0.009619,0.270602,0.016779,0.582407,0.021347,0.103472,0.011073,0.032176,0.003275,0.07338,0.007713,0.0,0.0,0.752304,0.016002,10
0.18,boundary_aware_scale_exception_audit_v5,0.717361,0.010831,0.675231,0.01457,0.178241,0.008661,0.023148,0.004001,0.022685,0.001889,0.628704,0.013831,0.067593,0.005731,0.01875,0.003544,0.156019,0.012401,0.363426,0.016442,0.185185,0.016677,0.250231,0.014016,0.659722,0.016317,0.083102,0.010155,0.025,0.00432,0.064352,0.004725,0.0,0.0,0.822163,0.009694,10
0.18,conformal_risk_filter,0.53912,0.017009,0.452546,0.017859,0.247222,0.009584,0.0625,0.0082,0.081019,0.008393,0.405324,0.013568,0.116898,0.009877,0.0875,0.00975,0.190509,0.011073,0.287963,0.013715,0.228935,0.016779,0.244907,0.013405,0.45463,0.017639,0.164352,0.010927,0.06088,0.005859,0.088426,0.011789,0.0,0.0,0.58563,0.018309,10
0.18,generic_scaling_law_extrapolator,0.462963,0.015259,0.288657,0.013528,0.294907,0.010526,0.119907,0.011789,0.192824,0.016219,0.290972,0.009941,0.175694,0.011407,0.196065,0.013729,0.127546,0.011917,0.430093,0.019163,0.340972,0.012922,0.435185,0.016525,0.288426,0.011581,0.24213,0.005787,0.075231,0.006601,0.131944,0.011277,0.0,0.0,0.435185,0.014696,10
0.18,large_behavior_clone,0.420833,0.015211,0.227083,0.00906,0.302083,0.009877,0.11713,0.006316,0.198611,0.013591,0.249074,0.010373,0.183333,0.014675,0.216435,0.00923,0.129861,0.010019,0.390046,0.015082,0.33287,0.018032,0.428009,0.016683,0.255787,0.008642,0.257639,0.008202,0.087037,0.010655,0.136111,0.006265,0.0,0.0,0.381852,0.013536,10
