method,split,task,regime,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_tail_risk_rate,ci95_tail_risk_rate,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_calibration_ece,ci95_calibration_ece,mean_recovery_success,ci95_recovery_success,mean_intervention_cost,ci95_intervention_cost,mean_data_efficiency_proxy,ci95_data_efficiency_proxy,groups
conformal_risk_filter,contact_tail_shift,mobile_manipulation,embodiment_mismatch,0.4745,0.0421,0.3827,0.0285,0.2653,0.0304,0.1378,0.0269,0.0884,0.0069,0.0969,0.0303,0.1003,0.0381,0.3929,0.0345,0.2398,0.0299,0.4184,0.0386,7
conformal_risk_filter,contact_tail_shift,mobile_manipulation,long_horizon_compounding,0.4592,0.0432,0.398,0.0429,0.2347,0.0555,0.182,0.0258,0.0714,0.0176,0.0799,0.0202,0.1122,0.0243,0.3707,0.0276,0.216,0.0271,0.4473,0.0264,7
conformal_risk_filter,contact_tail_shift,mobile_manipulation,mixed_exception_stress,0.4337,0.0152,0.369,0.0491,0.2551,0.0233,0.2024,0.0334,0.085,0.0406,0.1037,0.0195,0.1463,0.0189,0.3401,0.0352,0.2432,0.0264,0.4609,0.0431,7
conformal_risk_filter,contact_tail_shift,mobile_manipulation,occluded_precondition,0.5153,0.0383,0.3724,0.0434,0.2347,0.0337,0.148,0.0381,0.0527,0.0175,0.0833,0.026,0.0901,0.0446,0.4048,0.0244,0.2109,0.0344,0.483,0.0287,7
conformal_risk_filter,contact_tail_shift,mobile_manipulation,rare_contact_tail,0.4558,0.0352,0.3844,0.0498,0.2721,0.0193,0.1905,0.0469,0.0782,0.0112,0.0969,0.0219,0.1378,0.0313,0.4014,0.0587,0.2534,0.0548,0.4524,0.0265,7
conformal_risk_filter,contact_tail_shift,mobile_manipulation,recovery_scarce_failure,0.4711,0.058,0.3912,0.0365,0.2551,0.0313,0.1378,0.0168,0.0935,0.0206,0.0884,0.0183,0.1156,0.0159,0.3673,0.0336,0.2279,0.0276,0.4337,0.0504,7
conformal_risk_filter,contact_tail_shift,mobile_manipulation,spurious_visual_shortcut,0.483,0.0233,0.3537,0.0278,0.2432,0.0238,0.1446,0.0406,0.0476,0.0191,0.0935,0.0241,0.1088,0.02,0.3418,0.0329,0.2143,0.0374,0.4643,0.0461,7
conformal_risk_filter,contact_tail_shift,tool_use_sequence,embodiment_mismatch,0.4847,0.0562,0.3963,0.038,0.3061,0.0237,0.1514,0.0248,0.0731,0.0365,0.1071,0.0176,0.1122,0.0317,0.4252,0.0237,0.2466,0.0268,0.449,0.0278,7
conformal_risk_filter,contact_tail_shift,tool_use_sequence,long_horizon_compounding,0.4881,0.0524,0.3861,0.0345,0.2993,0.0148,0.1701,0.0287,0.0765,0.0143,0.1003,0.0333,0.0816,0.0285,0.3759,0.0309,0.2415,0.0333,0.4609,0.0397,7
conformal_risk_filter,contact_tail_shift,tool_use_sequence,mixed_exception_stress,0.4201,0.0273,0.4065,0.0271,0.2942,0.0363,0.1922,0.0276,0.0884,0.0259,0.1207,0.0307,0.0952,0.0233,0.3844,0.0413,0.2092,0.0209,0.4558,0.0463,7
conformal_risk_filter,contact_tail_shift,tool_use_sequence,occluded_precondition,0.483,0.0419,0.415,0.0303,0.2738,0.0367,0.1463,0.0393,0.0697,0.0236,0.068,0.0214,0.0816,0.0164,0.3656,0.0243,0.2449,0.0143,0.4439,0.0466,7
conformal_risk_filter,contact_tail_shift,tool_use_sequence,rare_contact_tail,0.4949,0.0325,0.3503,0.0423,0.3316,0.0421,0.2143,0.0176,0.0884,0.0254,0.0935,0.0206,0.1122,0.0112,0.3912,0.0267,0.2313,0.0356,0.4592,0.0461,7
conformal_risk_filter,contact_tail_shift,tool_use_sequence,recovery_scarce_failure,0.4575,0.0543,0.3469,0.0608,0.2925,0.0438,0.1565,0.0187,0.0918,0.0202,0.1156,0.0287,0.1224,0.0304,0.3741,0.0292,0.2432,0.0264,0.4354,0.0514,7
conformal_risk_filter,contact_tail_shift,tool_use_sequence,spurious_visual_shortcut,0.4439,0.0377,0.3963,0.0403,0.2347,0.0463,0.1531,0.0262,0.068,0.0214,0.119,0.0274,0.1259,0.0196,0.369,0.0274,0.2262,0.0349,0.4949,0.0452,7
conformal_risk_filter,embodiment_shift,bimanual_handoff,embodiment_mismatch,0.4932,0.0384,0.4371,0.0243,0.284,0.0236,0.1412,0.0079,0.0935,0.0262,0.0833,0.021,0.0969,0.0336,0.3759,0.0455,0.2075,0.0536,0.4609,0.0785,7
conformal_risk_filter,embodiment_shift,bimanual_handoff,long_horizon_compounding,0.4762,0.0204,0.4558,0.072,0.2483,0.0224,0.1684,0.0285,0.0969,0.0262,0.068,0.0237,0.1003,0.0333,0.3554,0.0343,0.2177,0.0397,0.466,0.0281,7
conformal_risk_filter,embodiment_shift,bimanual_handoff,mixed_exception_stress,0.4456,0.041,0.4133,0.0258,0.2704,0.0232,0.1752,0.0313,0.0714,0.0176,0.102,0.0209,0.1378,0.0183,0.369,0.0378,0.2347,0.0111,0.4813,0.0576,7
conformal_risk_filter,embodiment_shift,bimanual_handoff,occluded_precondition,0.4864,0.0358,0.432,0.0679,0.2381,0.0404,0.1344,0.0182,0.0629,0.0202,0.0935,0.0343,0.0918,0.0111,0.381,0.0306,0.2449,0.0292,0.483,0.0363,7
conformal_risk_filter,embodiment_shift,bimanual_handoff,rare_contact_tail,0.4932,0.0341,0.4082,0.0291,0.2806,0.0553,0.1514,0.0313,0.0935,0.0172,0.0986,0.0132,0.1173,0.0462,0.3946,0.0389,0.2075,0.0269,0.449,0.03,7
conformal_risk_filter,embodiment_shift,bimanual_handoff,recovery_scarce_failure,0.4643,0.0672,0.4218,0.0407,0.2772,0.0333,0.148,0.0175,0.1088,0.0271,0.0969,0.0094,0.0867,0.0084,0.3861,0.0438,0.2177,0.0296,0.4405,0.0512,7
conformal_risk_filter,embodiment_shift,bimanual_handoff,spurious_visual_shortcut,0.4728,0.0352,0.4422,0.0299,0.2347,0.041,0.1344,0.0485,0.0731,0.0257,0.0918,0.0355,0.1037,0.0208,0.3673,0.0267,0.1973,0.0374,0.466,0.0343,7
conformal_risk_filter,embodiment_shift,contact_insertion,embodiment_mismatch,0.5085,0.0325,0.398,0.04,0.2738,0.0216,0.1259,0.0221,0.0816,0.0246,0.0731,0.0129,0.0816,0.0148,0.4235,0.0264,0.2602,0.0358,0.4439,0.0355,7
conformal_risk_filter,embodiment_shift,contact_insertion,long_horizon_compounding,0.4371,0.0325,0.4405,0.0401,0.2687,0.0349,0.1514,0.0167,0.0578,0.0156,0.0867,0.0122,0.1224,0.0253,0.3639,0.0363,0.2636,0.0267,0.4235,0.0249,7
conformal_risk_filter,embodiment_shift,contact_insertion,mixed_exception_stress,0.3861,0.048,0.432,0.0373,0.3129,0.0344,0.1633,0.0189,0.1105,0.0304,0.1259,0.0269,0.1259,0.0333,0.3656,0.0434,0.2262,0.0401,0.4201,0.0524,7
conformal_risk_filter,embodiment_shift,contact_insertion,occluded_precondition,0.4898,0.0593,0.4218,0.0203,0.2568,0.0397,0.1429,0.026,0.0476,0.0197,0.1105,0.0253,0.0867,0.0309,0.4065,0.0303,0.2347,0.0287,0.4541,0.0412,7
conformal_risk_filter,embodiment_shift,contact_insertion,rare_contact_tail,0.4745,0.0139,0.4218,0.0203,0.3316,0.0382,0.182,0.0195,0.0867,0.0253,0.1003,0.0238,0.1037,0.0189,0.4065,0.0393,0.2364,0.0281,0.4201,0.0393,7
conformal_risk_filter,embodiment_shift,contact_insertion,recovery_scarce_failure,0.4541,0.0316,0.4269,0.0424,0.2704,0.0352,0.165,0.0406,0.0918,0.0159,0.1003,0.0175,0.1105,0.0141,0.3384,0.0541,0.2483,0.0332,0.4694,0.0317,7
conformal_risk_filter,embodiment_shift,contact_insertion,spurious_visual_shortcut,0.4864,0.0382,0.4473,0.056,0.2466,0.0422,0.131,0.0274,0.0697,0.0164,0.0952,0.0184,0.1088,0.0307,0.3912,0.0267,0.2194,0.0426,0.4524,0.0381,7
conformal_risk_filter,embodiment_shift,deformable_handling,embodiment_mismatch,0.4864,0.0436,0.4133,0.0519,0.2959,0.0303,0.1378,0.0221,0.0867,0.0263,0.0884,0.01,0.1037,0.0268,0.4048,0.0548,0.2364,0.0354,0.4184,0.043,7
conformal_risk_filter,embodiment_shift,deformable_handling,long_horizon_compounding,0.4235,0.0329,0.3878,0.0423,0.2959,0.0525,0.1718,0.0264,0.0663,0.0133,0.068,0.0122,0.085,0.029,0.3929,0.0432,0.2279,0.0358,0.4371,0.0443,7
conformal_risk_filter,embodiment_shift,deformable_handling,mixed_exception_stress,0.3724,0.0431,0.4354,0.0221,0.2806,0.0394,0.1684,0.0316,0.1037,0.0278,0.1224,0.0291,0.1173,0.0213,0.3537,0.039,0.2466,0.0258,0.4439,0.0287,7
conformal_risk_filter,embodiment_shift,deformable_handling,occluded_precondition,0.5119,0.0426,0.4065,0.0213,0.2568,0.0325,0.1429,0.0306,0.0765,0.0249,0.0969,0.0129,0.068,0.0167,0.3776,0.0482,0.2007,0.0241,0.483,0.0557,7
conformal_risk_filter,embodiment_shift,deformable_handling,rare_contact_tail,0.4847,0.03,0.4014,0.0248,0.2823,0.0437,0.1684,0.0362,0.0935,0.0107,0.0901,0.0254,0.0969,0.0193,0.3554,0.0421,0.2245,0.0537,0.5119,0.0338,7
conformal_risk_filter,embodiment_shift,deformable_handling,recovery_scarce_failure,0.4677,0.0132,0.4218,0.0301,0.2551,0.0466,0.1497,0.0329,0.0833,0.0288,0.1037,0.0159,0.1003,0.0227,0.3895,0.0377,0.2279,0.0246,0.4881,0.0391,7
conformal_risk_filter,embodiment_shift,deformable_handling,spurious_visual_shortcut,0.5187,0.0463,0.4218,0.0367,0.2177,0.0304,0.1463,0.0237,0.0646,0.0296,0.0952,0.0169,0.1173,0.018,0.432,0.0268,0.216,0.0285,0.4201,0.0321,7
conformal_risk_filter,embodiment_shift,mobile_manipulation,embodiment_mismatch,0.4915,0.0287,0.4014,0.0466,0.2721,0.032,0.1565,0.0213,0.0816,0.0164,0.0799,0.0296,0.1071,0.0176,0.3571,0.0388,0.2415,0.0329,0.4507,0.032,7
conformal_risk_filter,embodiment_shift,mobile_manipulation,long_horizon_compounding,0.5051,0.0666,0.4269,0.0525,0.2602,0.0187,0.1599,0.0391,0.0884,0.0203,0.0833,0.026,0.1207,0.0324,0.398,0.0394,0.2364,0.018,0.4524,0.0441,7
conformal_risk_filter,embodiment_shift,mobile_manipulation,mixed_exception_stress,0.4524,0.0401,0.4031,0.0343,0.2772,0.0273,0.1854,0.0329,0.0952,0.0191,0.102,0.0278,0.1224,0.022,0.3554,0.0471,0.2381,0.0388,0.4507,0.0213,7
conformal_risk_filter,embodiment_shift,mobile_manipulation,occluded_precondition,0.5646,0.0391,0.4099,0.0435,0.2551,0.0349,0.1378,0.0143,0.0612,0.0224,0.102,0.0301,0.0816,0.0187,0.3912,0.0351,0.2075,0.0183,0.4337,0.0333,7
conformal_risk_filter,embodiment_shift,mobile_manipulation,rare_contact_tail,0.5119,0.0501,0.4405,0.021,0.267,0.0377,0.1752,0.0141,0.0901,0.019,0.102,0.0133,0.0901,0.0175,0.3707,0.032,0.2449,0.0243,0.4541,0.0406,7
conformal_risk_filter,embodiment_shift,mobile_manipulation,recovery_scarce_failure,0.4677,0.0452,0.4303,0.0547,0.2619,0.0496,0.1531,0.0246,0.0782,0.0133,0.1054,0.0252,0.1037,0.0237,0.3776,0.0582,0.2126,0.0336,0.4813,0.0423,7
conformal_risk_filter,embodiment_shift,mobile_manipulation,spurious_visual_shortcut,0.5051,0.0296,0.3878,0.0483,0.2551,0.0196,0.1293,0.02,0.0799,0.0189,0.1071,0.0169,0.1071,0.0318,0.398,0.0309,0.1973,0.0524,0.4507,0.059,7
