method,split,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_tail_risk_rate,ci95_tail_risk_rate,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_calibration_ece,ci95_calibration_ece,mean_recovery_success,ci95_recovery_success,mean_intervention_cost,ci95_intervention_cost,mean_data_efficiency_proxy,ci95_data_efficiency_proxy,groups,regret_to_oracle
conformal_risk_filter,contact_tail_shift,5,0.451,0.0179,0.383,0.0228,0.2833,0.017,0.1656,0.0104,0.084,0.0087,0.1037,0.0105,0.1051,0.0105,0.3905,0.0181,0.2412,0.0163,0.4422,0.0181,35,0.2867
conformal_risk_filter,contact_tail_shift,6,0.4704,0.0165,0.3793,0.0182,0.2714,0.0152,0.165,0.0196,0.083,0.0125,0.0915,0.0106,0.1095,0.0107,0.3748,0.0168,0.2398,0.0116,0.465,0.02,35,0.2912
conformal_risk_filter,embodiment_shift,0,0.4748,0.0181,0.4136,0.0173,0.2622,0.0195,0.1571,0.0129,0.0847,0.0095,0.1007,0.0087,0.0959,0.0108,0.3707,0.0194,0.2293,0.0176,0.4656,0.0191,35,0.2684
conformal_risk_filter,embodiment_shift,1,0.4786,0.0252,0.4282,0.0153,0.2735,0.0165,0.1524,0.0118,0.0796,0.0113,0.1007,0.0126,0.102,0.0135,0.3844,0.018,0.2262,0.0158,0.4469,0.0153,35,0.2636
conformal_risk_filter,embodiment_shift,2,0.4721,0.0216,0.4156,0.0188,0.2745,0.0169,0.1541,0.0143,0.0793,0.0124,0.0925,0.0109,0.1007,0.011,0.385,0.0212,0.2401,0.0138,0.4466,0.0207,35,0.2786
conformal_risk_filter,embodiment_shift,3,0.4827,0.0213,0.4255,0.0191,0.2622,0.0134,0.1469,0.0109,0.081,0.0082,0.0884,0.0101,0.1109,0.0129,0.3935,0.0152,0.2313,0.0128,0.4565,0.0196,35,0.2653
conformal_risk_filter,embodiment_shift,4,0.465,0.0235,0.4252,0.0204,0.2493,0.0158,0.1554,0.0122,0.0796,0.0117,0.0973,0.0079,0.1048,0.0127,0.3823,0.0199,0.2262,0.0149,0.4486,0.0188,35,0.2806
conformal_risk_filter,embodiment_shift,5,0.4639,0.022,0.4201,0.0156,0.2759,0.0145,0.1544,0.0121,0.0898,0.0117,0.0929,0.0094,0.1058,0.0103,0.3827,0.0167,0.2272,0.0148,0.4663,0.0183,35,0.2827
conformal_risk_filter,embodiment_shift,6,0.4697,0.016,0.4259,0.0178,0.2673,0.0183,0.1537,0.0137,0.0765,0.0102,0.0942,0.0123,0.1007,0.009,0.3745,0.0182,0.2316,0.0179,0.4469,0.022,35,0.2731
conformal_risk_filter,nominal_scaling,0,0.5483,0.0192,0.4578,0.0203,0.2541,0.0169,0.1255,0.0139,0.0643,0.0099,0.0912,0.0111,0.0997,0.0115,0.4116,0.0165,0.1946,0.0152,0.4677,0.0172,35,0.2442
conformal_risk_filter,nominal_scaling,1,0.5629,0.0183,0.4432,0.0158,0.2578,0.0174,0.1306,0.0136,0.0588,0.0096,0.0847,0.009,0.0925,0.0118,0.4163,0.015,0.202,0.0166,0.4837,0.0155,35,0.2272
conformal_risk_filter,nominal_scaling,2,0.5551,0.0202,0.4639,0.0158,0.2378,0.0178,0.1245,0.0108,0.0605,0.0108,0.0837,0.0128,0.1017,0.0126,0.4323,0.0171,0.2082,0.0141,0.4694,0.0172,35,0.231
conformal_risk_filter,nominal_scaling,3,0.5435,0.023,0.468,0.0158,0.25,0.0212,0.134,0.0117,0.0622,0.0108,0.0816,0.0101,0.0997,0.0097,0.432,0.0172,0.2017,0.0144,0.4731,0.019,35,0.2568
conformal_risk_filter,nominal_scaling,4,0.5395,0.0195,0.4847,0.0216,0.2473,0.0181,0.1214,0.0128,0.0575,0.0078,0.0776,0.0082,0.1,0.0118,0.4262,0.0163,0.2051,0.0144,0.4786,0.0194,35,0.2517
conformal_risk_filter,nominal_scaling,5,0.5442,0.0198,0.4476,0.0208,0.2463,0.0172,0.1286,0.0113,0.0616,0.0103,0.085,0.0107,0.0925,0.0088,0.4224,0.0137,0.2048,0.0185,0.4616,0.0177,35,0.2422
conformal_risk_filter,nominal_scaling,6,0.552,0.0238,0.4735,0.0168,0.2537,0.0164,0.1279,0.0119,0.0663,0.0101,0.084,0.01,0.0881,0.0109,0.4483,0.0182,0.2139,0.0174,0.4714,0.0196,35,0.2517
conformal_risk_filter,shortcut_shift,0,0.4793,0.0249,0.4235,0.0219,0.2633,0.0192,0.1561,0.0141,0.0755,0.0084,0.0956,0.0111,0.1058,0.0111,0.3939,0.021,0.2211,0.0163,0.4537,0.018,35,0.2643
conformal_risk_filter,shortcut_shift,1,0.4643,0.0214,0.4153,0.019,0.2707,0.0143,0.151,0.0127,0.0765,0.01,0.1109,0.0113,0.1105,0.0103,0.398,0.0168,0.215,0.0159,0.4415,0.0222,35,0.2769
conformal_risk_filter,shortcut_shift,2,0.484,0.0205,0.4293,0.0161,0.2578,0.0157,0.1561,0.0148,0.0728,0.0106,0.1034,0.0124,0.1201,0.0117,0.4,0.0212,0.2228,0.012,0.4711,0.0156,35,0.2578
conformal_risk_filter,shortcut_shift,3,0.4707,0.0213,0.4133,0.0144,0.266,0.015,0.1537,0.013,0.069,0.0102,0.1085,0.0115,0.1034,0.0099,0.3973,0.0194,0.2293,0.0172,0.4299,0.0212,35,0.2755
conformal_risk_filter,shortcut_shift,4,0.4789,0.0186,0.4289,0.0214,0.2718,0.0186,0.1568,0.0158,0.0772,0.012,0.1041,0.0141,0.1102,0.0107,0.3976,0.0161,0.2344,0.0117,0.4473,0.0158,35,0.2765
conformal_risk_filter,shortcut_shift,5,0.4561,0.0189,0.4439,0.0183,0.2667,0.0158,0.1588,0.013,0.0857,0.0114,0.1088,0.0139,0.1085,0.0138,0.3857,0.018,0.2211,0.0148,0.4575,0.0192,35,0.2833
conformal_risk_filter,shortcut_shift,6,0.484,0.0239,0.4381,0.0168,0.2735,0.0186,0.1514,0.0142,0.0741,0.009,0.1044,0.0121,0.1075,0.0121,0.368,0.0192,0.2374,0.0195,0.4449,0.0186,35,0.2653
data_only_scaling,combined_exception_stress,0,0.3078,0.0253,0.2228,0.0145,0.3224,0.0201,0.2378,0.0174,0.1463,0.0117,0.1786,0.0151,0.2027,0.0189,0.2422,0.0148,0.1942,0.0095,0.4769,0.02,35,0.4119
data_only_scaling,combined_exception_stress,1,0.3044,0.0208,0.2153,0.0125,0.3279,0.0273,0.2425,0.0193,0.1565,0.016,0.1912,0.0143,0.2027,0.0142,0.2374,0.0193,0.1803,0.0143,0.4463,0.0181,35,0.4201
data_only_scaling,combined_exception_stress,2,0.2976,0.024,0.2296,0.0169,0.3289,0.0193,0.2391,0.0141,0.1503,0.0162,0.2027,0.0125,0.1895,0.0159,0.2432,0.013,0.1932,0.015,0.4622,0.0196,35,0.4211
data_only_scaling,combined_exception_stress,3,0.2908,0.0235,0.2276,0.0162,0.333,0.0171,0.2299,0.021,0.1503,0.0158,0.1949,0.0182,0.1908,0.0197,0.2435,0.0162,0.202,0.0149,0.4643,0.0173,35,0.4265
data_only_scaling,combined_exception_stress,4,0.2847,0.0214,0.2146,0.0166,0.3282,0.015,0.2235,0.017,0.1517,0.0117,0.2112,0.0186,0.2088,0.016,0.2228,0.0136,0.1874,0.0118,0.4588,0.02,35,0.4061
data_only_scaling,combined_exception_stress,5,0.2952,0.0251,0.2316,0.0153,0.3405,0.0281,0.2486,0.0166,0.1507,0.016,0.2041,0.0164,0.2075,0.0167,0.2255,0.0145,0.201,0.013,0.4656,0.0161,35,0.4044
data_only_scaling,combined_exception_stress,6,0.281,0.0252,0.2476,0.0172,0.3378,0.0182,0.2306,0.0204,0.1541,0.0161,0.2017,0.015,0.2133,0.0138,0.2085,0.0147,0.1867,0.0153,0.452,0.0184,35,0.4156
data_only_scaling,contact_tail_shift,0,0.3565,0.0227,0.2415,0.0169,0.3303,0.0194,0.2432,0.0189,0.1316,0.0127,0.1935,0.0128,0.1915,0.0147,0.2789,0.0188,0.169,0.0162,0.4616,0.0158,35,0.3884
data_only_scaling,contact_tail_shift,1,0.3503,0.0245,0.2276,0.0157,0.3415,0.0171,0.2306,0.0182,0.1289,0.0097,0.1803,0.0112,0.1932,0.0146,0.2616,0.0198,0.1718,0.013,0.4799,0.0191,35,0.381
data_only_scaling,contact_tail_shift,2,0.3752,0.0217,0.2364,0.0131,0.3337,0.0181,0.2286,0.0183,0.1381,0.0152,0.1946,0.0181,0.1925,0.0119,0.2602,0.0133,0.1772,0.0127,0.4622,0.018,35,0.3554
data_only_scaling,contact_tail_shift,3,0.3612,0.026,0.2313,0.0128,0.3235,0.0218,0.2371,0.0193,0.134,0.0128,0.1803,0.0163,0.1823,0.0152,0.2582,0.0179,0.1745,0.0142,0.4772,0.0156,35,0.3813
data_only_scaling,contact_tail_shift,4,0.3551,0.0224,0.2493,0.0148,0.3262,0.0165,0.2224,0.0183,0.1303,0.0131,0.1765,0.0145,0.1724,0.0109,0.2765,0.0144,0.1752,0.0143,0.5041,0.0198,35,0.4078
data_only_scaling,contact_tail_shift,5,0.365,0.0257,0.233,0.0175,0.3119,0.0176,0.2218,0.0172,0.134,0.0139,0.1823,0.0159,0.1895,0.0164,0.2833,0.0174,0.1762,0.0109,0.4565,0.0149,35,0.3728
data_only_scaling,contact_tail_shift,6,0.3514,0.0205,0.252,0.0162,0.3384,0.0186,0.2204,0.0178,0.1381,0.0126,0.184,0.0152,0.1888,0.0144,0.2714,0.0148,0.1765,0.0137,0.4629,0.0141,35,0.4102
data_only_scaling,embodiment_shift,0,0.3728,0.0218,0.2643,0.0159,0.3078,0.0212,0.2044,0.0187,0.1282,0.0142,0.1728,0.0119,0.1714,0.0162,0.2565,0.0172,0.181,0.0144,0.4599,0.0175,35,0.3704
data_only_scaling,embodiment_shift,1,0.3905,0.0246,0.2707,0.0173,0.3044,0.0191,0.2122,0.0167,0.1279,0.0147,0.1724,0.0152,0.1895,0.0178,0.267,0.0186,0.167,0.0117,0.466,0.0211,35,0.3517
data_only_scaling,embodiment_shift,2,0.3507,0.024,0.2728,0.017,0.3293,0.0192,0.2058,0.0203,0.1347,0.0122,0.1813,0.0142,0.1704,0.014,0.2701,0.0193,0.1816,0.017,0.469,0.0167,35,0.4
data_only_scaling,embodiment_shift,3,0.3803,0.0259,0.2735,0.0176,0.3075,0.0209,0.1969,0.0187,0.1272,0.0171,0.1912,0.0131,0.1861,0.0152,0.2629,0.0198,0.1844,0.0139,0.4765,0.019,35,0.3677
data_only_scaling,embodiment_shift,4,0.3827,0.0201,0.2701,0.0155,0.3048,0.0197,0.201,0.0168,0.1306,0.0132,0.1765,0.0163,0.1748,0.015,0.2605,0.0125,0.1701,0.0134,0.4721,0.0191,35,0.3629
data_only_scaling,embodiment_shift,5,0.384,0.0235,0.2673,0.0176,0.3092,0.0173,0.2061,0.0155,0.1286,0.0131,0.1796,0.0139,0.1918,0.0121,0.2765,0.0184,0.1806,0.016,0.4731,0.0152,35,0.3626
data_only_scaling,embodiment_shift,6,0.3837,0.0228,0.2738,0.0177,0.318,0.0138,0.2119,0.0142,0.1361,0.0144,0.1823,0.0141,0.1806,0.0128,0.2684,0.016,0.181,0.0142,0.483,0.0192,35,0.3592
data_only_scaling,nominal_scaling,0,0.4704,0.0175,0.3194,0.0186,0.2888,0.0188,0.1806,0.0135,0.1078,0.011,0.1718,0.0147,0.1629,0.0139,0.3068,0.0173,0.1619,0.0143,0.5014,0.0163,35,0.3221
data_only_scaling,nominal_scaling,1,0.4796,0.02,0.3034,0.012,0.2779,0.0184,0.1776,0.0157,0.1071,0.014,0.1714,0.0139,0.1503,0.0135,0.3344,0.017,0.1456,0.0152,0.4959,0.0101,35,0.3105
data_only_scaling,nominal_scaling,2,0.4905,0.0202,0.317,0.0147,0.266,0.0158,0.1762,0.0132,0.0963,0.0096,0.1721,0.0117,0.168,0.0145,0.318,0.0189,0.1531,0.0128,0.5014,0.0156,35,0.2956
data_only_scaling,nominal_scaling,3,0.4759,0.0205,0.3282,0.0177,0.2837,0.0178,0.1878,0.0157,0.1065,0.0124,0.1578,0.0131,0.167,0.0121,0.3139,0.0146,0.148,0.0104,0.4697,0.0181,35,0.3245
data_only_scaling,nominal_scaling,4,0.4847,0.0172,0.315,0.0177,0.2833,0.0167,0.184,0.013,0.0963,0.0117,0.1568,0.0131,0.1738,0.013,0.3167,0.02,0.15,0.0109,0.5143,0.0179,35,0.3065
data_only_scaling,nominal_scaling,5,0.4915,0.0221,0.3255,0.0188,0.2823,0.0145,0.1847,0.013,0.1027,0.0099,0.1629,0.0113,0.1575,0.0161,0.3,0.0164,0.1503,0.0101,0.4803,0.0209,35,0.2949
data_only_scaling,nominal_scaling,6,0.4724,0.0202,0.302,0.017,0.2939,0.0153,0.1714,0.0144,0.1095,0.0125,0.1602,0.0154,0.1731,0.0165,0.3085,0.0174,0.1473,0.0146,0.5163,0.0185,35,0.3313
data_only_scaling,shortcut_shift,0,0.3905,0.0243,0.2799,0.0152,0.3136,0.0162,0.2133,0.0153,0.1286,0.0151,0.1878,0.0167,0.184,0.0138,0.281,0.018,0.166,0.0128,0.4735,0.0188,35,0.3531
data_only_scaling,shortcut_shift,1,0.3908,0.0214,0.2952,0.0154,0.3099,0.017,0.2116,0.0197,0.1276,0.0143,0.1929,0.0184,0.2014,0.0138,0.2827,0.0171,0.1779,0.0122,0.4684,0.0146,35,0.3503
data_only_scaling,shortcut_shift,2,0.3813,0.0238,0.2816,0.0178,0.3068,0.0186,0.2041,0.0179,0.1259,0.0089,0.1905,0.0144,0.1949,0.0178,0.2799,0.0142,0.1779,0.0126,0.4728,0.0182,35,0.3605
data_only_scaling,shortcut_shift,3,0.3884,0.0198,0.2735,0.0172,0.302,0.0205,0.2024,0.0177,0.1425,0.014,0.1942,0.0142,0.1908,0.0134,0.2779,0.0183,0.168,0.0137,0.4738,0.024,35,0.3578
data_only_scaling,shortcut_shift,4,0.3721,0.0255,0.2721,0.0183,0.3085,0.0183,0.2061,0.0177,0.1252,0.0133,0.1884,0.0169,0.1772,0.0123,0.2697,0.0176,0.1755,0.0164,0.4786,0.0197,35,0.3833
data_only_scaling,shortcut_shift,5,0.3707,0.0206,0.268,0.0192,0.3082,0.0178,0.2139,0.0159,0.1177,0.0101,0.1929,0.0139,0.1667,0.0128,0.2782,0.022,0.1629,0.0117,0.4741,0.0173,35,0.3687
data_only_scaling,shortcut_shift,6,0.3646,0.0215,0.2799,0.0148,0.3003,0.0179,0.2102,0.0131,0.1306,0.0131,0.1922,0.0161,0.1833,0.0161,0.2803,0.0171,0.168,0.014,0.4762,0.0212,35,0.3847
ensemble_uncertainty_gate,combined_exception_stress,0,0.3884,0.0227,0.3412,0.0178,0.3061,0.0177,0.1854,0.0199,0.0983,0.0117,0.1241,0.0112,0.132,0.0148,0.3344,0.0176,0.2286,0.0148,0.4333,0.0175,35,0.3313
ensemble_uncertainty_gate,combined_exception_stress,1,0.3786,0.0228,0.3405,0.0153,0.3255,0.022,0.1854,0.0158,0.1024,0.0144,0.1276,0.0149,0.1391,0.0117,0.335,0.0157,0.2381,0.0185,0.4367,0.0195,35,0.3459
ensemble_uncertainty_gate,combined_exception_stress,2,0.3844,0.022,0.3541,0.0198,0.2922,0.0212,0.1844,0.0138,0.0942,0.012,0.1388,0.0149,0.116,0.0115,0.3156,0.0198,0.2422,0.0093,0.435,0.0174,35,0.3344
ensemble_uncertainty_gate,combined_exception_stress,3,0.3918,0.0183,0.3476,0.0155,0.2881,0.0183,0.1762,0.0191,0.1071,0.0124,0.1262,0.0131,0.1371,0.0118,0.3381,0.0162,0.2599,0.0132,0.432,0.0199,35,0.3255
ensemble_uncertainty_gate,combined_exception_stress,4,0.3932,0.023,0.349,0.0157,0.3078,0.0205,0.1823,0.0169,0.1017,0.0138,0.1187,0.0129,0.1405,0.0105,0.3333,0.0187,0.2384,0.0147,0.434,0.0221,35,0.2976
ensemble_uncertainty_gate,combined_exception_stress,5,0.3827,0.0212,0.3463,0.018,0.301,0.0168,0.1833,0.0152,0.0888,0.0092,0.1262,0.0119,0.1238,0.0103,0.3156,0.0203,0.2616,0.0189,0.4439,0.0169,35,0.317
ensemble_uncertainty_gate,combined_exception_stress,6,0.3844,0.0238,0.3395,0.0187,0.2813,0.0152,0.1857,0.0158,0.102,0.0139,0.132,0.014,0.1378,0.012,0.3282,0.0197,0.231,0.0141,0.4282,0.0192,35,0.3122
ensemble_uncertainty_gate,contact_tail_shift,0,0.448,0.0183,0.3483,0.0181,0.3041,0.0229,0.1585,0.0131,0.0942,0.012,0.1156,0.0125,0.1214,0.0146,0.3718,0.0179,0.2276,0.0147,0.4435,0.0191,35,0.2969
ensemble_uncertainty_gate,contact_tail_shift,1,0.4469,0.0214,0.332,0.0206,0.2932,0.0187,0.1769,0.0168,0.0871,0.0128,0.1156,0.0128,0.1207,0.0118,0.3639,0.0175,0.2187,0.0161,0.465,0.0176,35,0.2844
ensemble_uncertainty_gate,contact_tail_shift,2,0.4585,0.0188,0.3439,0.0172,0.2969,0.0166,0.169,0.0132,0.1,0.0142,0.118,0.014,0.1282,0.0135,0.3548,0.0173,0.2248,0.0153,0.4558,0.0179,35,0.2721
ensemble_uncertainty_gate,contact_tail_shift,3,0.4401,0.0242,0.3571,0.0165,0.2932,0.0187,0.1765,0.0149,0.0881,0.012,0.1112,0.013,0.1398,0.0142,0.3565,0.0109,0.2211,0.0147,0.4524,0.0175,35,0.3024
ensemble_uncertainty_gate,contact_tail_shift,4,0.4418,0.018,0.3432,0.0203,0.2915,0.0181,0.1765,0.015,0.0969,0.0105,0.1133,0.0114,0.115,0.0137,0.3776,0.0154,0.2211,0.0134,0.4466,0.0188,35,0.3211
ensemble_uncertainty_gate,contact_tail_shift,5,0.4514,0.0203,0.365,0.0168,0.2929,0.0186,0.1721,0.0168,0.0969,0.0132,0.1204,0.0122,0.1388,0.0128,0.3772,0.0178,0.2269,0.0185,0.4633,0.0189,35,0.2864
ensemble_uncertainty_gate,contact_tail_shift,6,0.431,0.0198,0.3728,0.0175,0.3092,0.0149,0.1752,0.0159,0.0935,0.0117,0.117,0.0123,0.1211,0.012,0.3653,0.0163,0.2194,0.0154,0.4418,0.0148,35,0.3306
ensemble_uncertainty_gate,embodiment_shift,0,0.4463,0.0223,0.4003,0.0197,0.2854,0.0164,0.1639,0.0157,0.0854,0.0129,0.1197,0.0122,0.1289,0.014,0.3619,0.0154,0.2218,0.0135,0.4418,0.0162,35,0.2969
ensemble_uncertainty_gate,embodiment_shift,1,0.451,0.0221,0.3935,0.0214,0.2769,0.0162,0.168,0.0199,0.0956,0.0133,0.1109,0.0122,0.1282,0.0127,0.3571,0.0203,0.2347,0.0157,0.4541,0.0142,35,0.2912
ensemble_uncertainty_gate,embodiment_shift,2,0.4544,0.0196,0.3881,0.0162,0.2891,0.0148,0.1633,0.0125,0.0932,0.0094,0.1048,0.0109,0.1245,0.0156,0.3636,0.0187,0.2303,0.0145,0.4449,0.0157,35,0.2963
ensemble_uncertainty_gate,embodiment_shift,3,0.4602,0.0162,0.3816,0.0149,0.2718,0.0167,0.1599,0.0146,0.0789,0.0114,0.1024,0.0096,0.1279,0.0178,0.3656,0.0155,0.2238,0.0158,0.4459,0.0166,35,0.2878
ensemble_uncertainty_gate,embodiment_shift,4,0.4568,0.0171,0.3789,0.0176,0.2891,0.0166,0.1616,0.0143,0.0833,0.0112,0.118,0.0146,0.1231,0.0117,0.352,0.0141,0.2231,0.0136,0.451,0.023,35,0.2888
ensemble_uncertainty_gate,embodiment_shift,5,0.4762,0.0155,0.3929,0.0208,0.2656,0.0157,0.1643,0.013,0.0891,0.0099,0.1133,0.0139,0.1255,0.014,0.3507,0.0189,0.2177,0.0125,0.4497,0.0174,35,0.2704
ensemble_uncertainty_gate,embodiment_shift,6,0.4588,0.0199,0.3772,0.021,0.2704,0.016,0.1554,0.0148,0.0816,0.0123,0.1197,0.0115,0.1252,0.0137,0.3473,0.0196,0.2316,0.0125,0.4384,0.0164,35,0.284
ensemble_uncertainty_gate,nominal_scaling,0,0.5415,0.0234,0.4381,0.0163,0.2354,0.0187,0.132,0.0147,0.0782,0.0099,0.0888,0.0111,0.1048,0.0121,0.4095,0.019,0.1929,0.018,0.4534,0.0186,35,0.251
ensemble_uncertainty_gate,nominal_scaling,1,0.5347,0.022,0.4354,0.0158,0.2531,0.0145,0.1446,0.0133,0.0663,0.0126,0.0966,0.0122,0.1099,0.0099,0.4024,0.0182,0.2071,0.0171,0.4765,0.0174,35,0.2554
ensemble_uncertainty_gate,nominal_scaling,2,0.55,0.0194,0.4241,0.0266,0.2639,0.0174,0.1269,0.0132,0.0697,0.0118,0.0993,0.0095,0.1112,0.0137,0.3912,0.0211,0.1915,0.013,0.4823,0.0162,35,0.2361
ensemble_uncertainty_gate,nominal_scaling,3,0.5425,0.0212,0.4293,0.0209,0.2517,0.0126,0.149,0.0148,0.0582,0.008,0.0908,0.0121,0.1092,0.0115,0.4167,0.0188,0.1874,0.016,0.469,0.0205,35,0.2578
ensemble_uncertainty_gate,nominal_scaling,4,0.5463,0.0155,0.4378,0.0168,0.2697,0.0174,0.133,0.0165,0.0759,0.0092,0.1031,0.0129,0.1099,0.0113,0.417,0.017,0.2024,0.0116,0.4636,0.0157,35,0.2449
ensemble_uncertainty_gate,nominal_scaling,5,0.5197,0.0178,0.4201,0.0191,0.2673,0.0162,0.1337,0.0118,0.0776,0.0092,0.1095,0.0143,0.1153,0.0129,0.4119,0.0148,0.2041,0.0161,0.4776,0.0196,35,0.2667
ensemble_uncertainty_gate,nominal_scaling,6,0.5316,0.0226,0.4265,0.0204,0.2527,0.0159,0.1347,0.0111,0.0738,0.0099,0.0966,0.0102,0.1129,0.0127,0.4102,0.0176,0.1956,0.0119,0.4592,0.0157,35,0.2721
ensemble_uncertainty_gate,shortcut_shift,0,0.4514,0.0233,0.3816,0.0221,0.2782,0.0168,0.1486,0.0146,0.0803,0.0135,0.1228,0.0134,0.1252,0.0123,0.3575,0.0188,0.2204,0.0122,0.4408,0.0198,35,0.2922
ensemble_uncertainty_gate,shortcut_shift,1,0.4585,0.0301,0.4044,0.0159,0.2755,0.02,0.149,0.0134,0.0867,0.0093,0.1129,0.0115,0.1231,0.0129,0.3626,0.0178,0.216,0.016,0.4476,0.0192,35,0.2827
ensemble_uncertainty_gate,shortcut_shift,2,0.4565,0.0202,0.3755,0.0192,0.2871,0.0191,0.1544,0.0144,0.0884,0.0093,0.1119,0.0151,0.1224,0.0111,0.3755,0.0165,0.2112,0.0115,0.4548,0.016,35,0.2854
ensemble_uncertainty_gate,shortcut_shift,3,0.4602,0.0196,0.3707,0.0154,0.281,0.0169,0.1602,0.0131,0.1,0.0116,0.1136,0.0131,0.1173,0.0151,0.3813,0.0192,0.2139,0.0124,0.4541,0.023,35,0.2861
ensemble_uncertainty_gate,shortcut_shift,4,0.4544,0.0239,0.3884,0.0185,0.2861,0.0182,0.167,0.0144,0.0901,0.0142,0.1207,0.0113,0.1204,0.0125,0.382,0.0138,0.2354,0.0147,0.4476,0.0213,35,0.301
ensemble_uncertainty_gate,shortcut_shift,5,0.4473,0.0225,0.3976,0.0182,0.2646,0.017,0.1588,0.0164,0.0803,0.0101,0.1269,0.0156,0.1333,0.013,0.3694,0.0214,0.2313,0.0188,0.4531,0.0188,35,0.2922
ensemble_uncertainty_gate,shortcut_shift,6,0.4592,0.0245,0.4116,0.0169,0.2847,0.0174,0.1585,0.0152,0.0912,0.0118,0.1136,0.0141,0.1228,0.013,0.3687,0.0198,0.2344,0.0159,0.4371,0.0182,35,0.2901
generic_scaling_law_extrapolator,combined_exception_stress,0,0.3313,0.0229,0.2092,0.0152,0.3303,0.0158,0.2517,0.021,0.1646,0.0178,0.2333,0.0144,0.2245,0.0158,0.217,0.0168,0.1745,0.0136,0.5252,0.0205,35,0.3884
generic_scaling_law_extrapolator,combined_exception_stress,1,0.3146,0.0225,0.2075,0.0141,0.3388,0.0171,0.2476,0.0202,0.1561,0.0122,0.2252,0.016,0.2224,0.017,0.2167,0.0147,0.185,0.0154,0.5245,0.0191,35,0.4099
