method,split,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_tail_risk_rate,ci95_tail_risk_rate,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_calibration_ece,ci95_calibration_ece,mean_recovery_success,ci95_recovery_success,mean_intervention_cost,ci95_intervention_cost,mean_data_efficiency_proxy,ci95_data_efficiency_proxy,groups,regret_to_oracle
conformal_risk_filter,combined_exception_stress,0,0.3997,0.0221,0.3704,0.0154,0.2799,0.0153,0.168,0.0105,0.0878,0.0127,0.1017,0.0113,0.1259,0.0166,0.3425,0.0161,0.251,0.0178,0.4401,0.0185,35,0.3201
conformal_risk_filter,combined_exception_stress,1,0.4058,0.0187,0.3711,0.0205,0.2884,0.0144,0.1765,0.014,0.0895,0.0127,0.1031,0.0136,0.1211,0.0133,0.3439,0.0207,0.2429,0.0138,0.4282,0.019,35,0.3187
conformal_risk_filter,combined_exception_stress,2,0.4228,0.0237,0.3731,0.0181,0.2813,0.0179,0.1782,0.0141,0.0806,0.0113,0.101,0.0133,0.1156,0.012,0.3384,0.0195,0.2371,0.0152,0.4473,0.0177,35,0.2959
conformal_risk_filter,combined_exception_stress,3,0.4061,0.0234,0.3813,0.0196,0.2857,0.0149,0.1731,0.0174,0.0895,0.0108,0.1156,0.014,0.1228,0.0108,0.3384,0.0172,0.2401,0.013,0.4296,0.0201,35,0.3112
conformal_risk_filter,combined_exception_stress,4,0.4109,0.0191,0.3687,0.0164,0.2854,0.0161,0.1629,0.015,0.0827,0.0091,0.1051,0.0123,0.116,0.0089,0.3446,0.0188,0.2554,0.0165,0.4371,0.0154,35,0.2799
conformal_risk_filter,combined_exception_stress,5,0.4014,0.0211,0.3806,0.0161,0.2806,0.0168,0.1741,0.0174,0.0901,0.011,0.1044,0.011,0.1221,0.0141,0.3541,0.0134,0.2507,0.0147,0.4554,0.0179,35,0.2983
conformal_risk_filter,combined_exception_stress,6,0.4,0.017,0.3779,0.0145,0.2789,0.015,0.1718,0.0145,0.0823,0.0105,0.1109,0.0133,0.1207,0.0144,0.3408,0.014,0.2429,0.0168,0.4395,0.0201,35,0.2966
conformal_risk_filter,contact_tail_shift,0,0.4531,0.0275,0.3789,0.0157,0.2816,0.014,0.1653,0.0161,0.0833,0.01,0.0898,0.0119,0.0952,0.011,0.3871,0.0182,0.2204,0.0169,0.4497,0.0175,35,0.2918
conformal_risk_filter,contact_tail_shift,1,0.4551,0.0198,0.3918,0.0154,0.2796,0.0185,0.1697,0.0167,0.0752,0.0106,0.1071,0.0109,0.1112,0.0105,0.3755,0.017,0.2228,0.0136,0.4388,0.0191,35,0.2762
conformal_risk_filter,contact_tail_shift,2,0.4588,0.0159,0.3755,0.0181,0.2752,0.0161,0.1602,0.0113,0.0898,0.0126,0.1027,0.0114,0.1136,0.0112,0.3898,0.0163,0.2381,0.013,0.4534,0.0206,35,0.2718
conformal_risk_filter,contact_tail_shift,3,0.4541,0.021,0.385,0.0181,0.2813,0.0154,0.1667,0.0147,0.0731,0.0121,0.0976,0.0112,0.116,0.0161,0.3884,0.0185,0.2282,0.012,0.4667,0.02,35,0.2884
conformal_risk_filter,contact_tail_shift,4,0.4592,0.018,0.4078,0.0158,0.2694,0.0166,0.1718,0.015,0.0813,0.0091,0.0959,0.0094,0.1099,0.0109,0.3878,0.0195,0.2276,0.0147,0.4592,0.0153,35,0.3037
