risk_budget,baseline,is_strongest_non_oracle,mean_utility_diff,ci95_utility_diff,wins_utility_over_seeds,mean_coverage_diff,ci95_coverage_diff,seeds
0.08,compute_balanced_scaling,no,0.45669,0.013449,10,0.475618,0.01795,10
0.08,conformal_risk_filter,no,0.309268,0.0151,10,0.263633,0.019889,10
0.08,data_only_scaling,no,0.472572,0.016269,10,0.50645,0.026276,10
0.08,dropout_risk_filter,no,0.334028,0.016855,10,0.290479,0.019638,10
0.08,ensemble_uncertainty_gate,no,0.350014,0.012648,10,0.30532,0.019512,10
0.08,generic_scaling_law_extrapolator,no,0.474905,0.018463,10,0.505132,0.031329,10
0.08,invariance_penalty_policy,no,0.347982,0.022157,10,0.324374,0.020479,10
0.08,large_behavior_clone,no,0.506976,0.012559,10,0.55153,0.013685,10
0.08,medium_behavior_clone,no,0.495698,0.01636,10,0.527419,0.018478,10
0.08,model_only_scaling,no,0.488261,0.014682,10,0.527075,0.021753,10
0.08,oracle_exception_selector,no,-0.114858,0.019781,0,-0.034572,0.027058,10
0.08,proposed_embodied_scale_exception_audit_v4,yes,0.121717,0.020979,10,0.113808,0.022287,10
0.08,retrieval_augmented_nearest_failure,no,0.303438,0.014515,10,0.246398,0.025401,10
0.08,risk_sensitive_cvar_policy,no,0.325048,0.018068,10,0.277071,0.025051,10
0.08,small_behavior_clone,no,0.510156,0.014328,10,0.547267,0.021342,10
0.12,compute_balanced_scaling,no,0.449318,0.013108,10,0.447036,0.018154,10
0.12,conformal_risk_filter,no,0.302892,0.014646,10,0.245288,0.018637,10
0.12,data_only_scaling,no,0.467691,0.01555,10,0.481255,0.024768,10
0.12,dropout_risk_filter,no,0.327558,0.016221,10,0.27086,0.018118,10
0.12,ensemble_uncertainty_gate,no,0.34276,0.012411,10,0.28364,0.01794,10
0.12,generic_scaling_law_extrapolator,no,0.469906,0.018388,10,0.479953,0.03222,10
0.12,invariance_penalty_policy,no,0.33981,0.021681,10,0.301682,0.019169,10
0.12,large_behavior_clone,no,0.504477,0.011703,10,0.528651,0.012316,10
0.12,medium_behavior_clone,no,0.492869,0.016301,10,0.502518,0.017203,10
0.12,model_only_scaling,no,0.484106,0.014266,10,0.502037,0.021536,10
0.12,oracle_exception_selector,no,-0.11186,0.019043,0,-0.029569,0.026191,10
0.12,proposed_embodied_scale_exception_audit_v4,yes,0.115544,0.020169,10,0.103074,0.021282,10
0.12,retrieval_augmented_nearest_failure,no,0.295163,0.01396,10,0.224579,0.024906,10
0.12,risk_sensitive_cvar_policy,no,0.318929,0.017785,10,0.259059,0.023807,10
0.12,small_behavior_clone,no,0.509205,0.0139,10,0.526108,0.020692,10
0.16,compute_balanced_scaling,no,0.439812,0.013182,10,0.416954,0.018296,10
0.16,conformal_risk_filter,no,0.297237,0.014476,10,0.231272,0.018182,10
0.16,data_only_scaling,no,0.460007,0.015151,10,0.452663,0.023872,10
0.16,dropout_risk_filter,no,0.321597,0.015905,10,0.255085,0.017442,10
0.16,ensemble_uncertainty_gate,no,0.335831,0.012416,10,0.265425,0.016898,10
0.16,generic_scaling_law_extrapolator,no,0.46231,0.018563,10,0.452385,0.03287,10
0.16,invariance_penalty_policy,no,0.331942,0.021387,10,0.282279,0.018766,10
0.16,large_behavior_clone,no,0.498658,0.011239,10,0.500438,0.01228,10
0.16,medium_behavior_clone,no,0.487387,0.016422,10,0.474641,0.01596,10
0.16,model_only_scaling,no,0.477259,0.014162,10,0.473498,0.021122,10
0.16,oracle_exception_selector,no,-0.110422,0.018645,0,-0.027344,0.02592,10
0.16,proposed_embodied_scale_exception_audit_v4,yes,0.111336,0.019503,10,0.095749,0.020543,10
0.16,retrieval_augmented_nearest_failure,no,0.28783,0.013832,10,0.20697,0.02481,10
0.16,risk_sensitive_cvar_policy,no,0.313709,0.017439,10,0.245681,0.023181,10
0.16,small_behavior_clone,no,0.50514,0.013965,10,0.501227,0.021552,10
0.2,compute_balanced_scaling,no,0.432313,0.013262,10,0.393141,0.018305,10
0.2,conformal_risk_filter,no,0.294311,0.014378,10,0.223622,0.017912,10
0.2,data_only_scaling,no,0.453091,0.01478,10,0.427821,0.023366,10
0.2,dropout_risk_filter,no,0.318333,0.015694,10,0.246363,0.017271,10
0.2,ensemble_uncertainty_gate,no,0.331942,0.012372,10,0.255281,0.01597,10
0.2,generic_scaling_law_extrapolator,no,0.455901,0.018777,10,0.429739,0.033004,10
0.2,invariance_penalty_policy,no,0.326535,0.021516,10,0.268932,0.018074,10
0.2,large_behavior_clone,no,0.493253,0.011229,10,0.475516,0.012007,10
0.2,medium_behavior_clone,no,0.482539,0.016671,10,0.45041,0.015472,10
0.2,model_only_scaling,no,0.471143,0.014068,10,0.448489,0.020066,10
0.2,oracle_exception_selector,no,-0.109745,0.018481,0,-0.026356,0.025829,10
0.2,proposed_embodied_scale_exception_audit_v4,yes,0.109627,0.019296,10,0.09251,0.020281,10
0.2,retrieval_augmented_nearest_failure,no,0.283438,0.013439,10,0.196196,0.02388,10
0.2,risk_sensitive_cvar_policy,no,0.310913,0.017304,10,0.238577,0.023043,10
0.2,small_behavior_clone,no,0.501774,0.014259,10,0.480671,0.023092,10
