comparison,baseline,is_strongest_non_oracle,mean_success_diff,ci95_success_diff,wins_over_seeds,seeds,decision
proposed_embodied_scale_exception_audit_vs_conformal_risk_filter,conformal_risk_filter,yes,0.1436,0.0058,7,7,proposed_better
proposed_embodied_scale_exception_audit_vs_data_only_scaling,data_only_scaling,no,0.2557,0.0094,7,7,proposed_better
proposed_embodied_scale_exception_audit_vs_ensemble_uncertainty_gate,ensemble_uncertainty_gate,no,0.164,0.0053,7,7,proposed_better
proposed_embodied_scale_exception_audit_vs_generic_scaling_law_extrapolator,generic_scaling_law_extrapolator,no,0.2354,0.0091,7,7,proposed_better
proposed_embodied_scale_exception_audit_vs_large_behavior_clone,large_behavior_clone,no,0.2754,0.0061,7,7,proposed_better
proposed_embodied_scale_exception_audit_vs_model_only_scaling,model_only_scaling,no,0.2606,0.0122,7,7,proposed_better
proposed_embodied_scale_exception_audit_vs_oracle_exception_selector,oracle_exception_selector,no,-0.1594,0.0093,0,7,not_decisive
proposed_embodied_scale_exception_audit_vs_small_behavior_clone,small_behavior_clone,no,0.3494,0.0057,7,7,proposed_better
