method,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_recovery_success,ci95_recovery_success,mean_tail_risk_rate,ci95_tail_risk_rate,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_average_scaling_gain,ci95_average_scaling_gain,mean_boundary_risk_slope,ci95_boundary_risk_slope,mean_scale_exception_gap,ci95_scale_exception_gap,mean_boundary_coverage,ci95_boundary_coverage,mean_shortcut_reliance,ci95_shortcut_reliance,mean_morphology_transfer_gap,ci95_morphology_transfer_gap,mean_recoverability_deficit,ci95_recoverability_deficit,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
boundary_aware_scale_exception_audit_v5,0,0.653108,0.016306,0.668981,0.016322,0.181878,0.013699,0.045966,0.007416,0.030423,0.006264,0.600198,0.016475,0.078373,0.009165,0.027447,0.005851,0.191468,0.014242,0.329696,0.016703,0.190807,0.014543,0.252976,0.01513,0.643188,0.017324,0.08168,0.01005,0.028108,0.005681,0.064484,0.008694,0.164683,0.016128,0.748474,0.015975,504
boundary_aware_scale_exception_audit_v5,1,0.651455,0.01786,0.642526,0.017317,0.190807,0.014309,0.037037,0.006394,0.023479,0.005467,0.598876,0.018254,0.079034,0.009349,0.022156,0.005112,0.190807,0.014801,0.321098,0.017218,0.178241,0.013924,0.237765,0.015398,0.625,0.018032,0.078373,0.009613,0.032407,0.006583,0.058862,0.008388,0.161045,0.016824,0.747214,0.01758,504
boundary_aware_scale_exception_audit_v5,2,0.667659,0.017445,0.645503,0.016463,0.174272,0.013136,0.037037,0.007081,0.025794,0.005653,0.603175,0.01836,0.077712,0.009478,0.028439,0.005778,0.195106,0.013254,0.314484,0.016599,0.198082,0.013595,0.231151,0.015237,0.635913,0.016205,0.085648,0.010256,0.024802,0.00565,0.07209,0.00944,0.156746,0.015921,0.762902,0.016749,504
boundary_aware_scale_exception_audit_v5,3,0.668981,0.016855,0.651455,0.016791,0.185847,0.014814,0.037698,0.007054,0.024471,0.005472,0.591931,0.018104,0.087302,0.010211,0.02381,0.005179,0.201389,0.014261,0.332672,0.017312,0.189815,0.014627,0.247024,0.015916,0.632937,0.017808,0.079696,0.009261,0.026786,0.005874,0.061177,0.008536,0.15873,0.016679,0.760744,0.016291,504
boundary_aware_scale_exception_audit_v5,4,0.660714,0.016811,0.64881,0.017841,0.182209,0.013742,0.042328,0.00721,0.024802,0.00565,0.597884,0.018005,0.090939,0.010359,0.021164,0.00485,0.189484,0.014267,0.32672,0.017008,0.198082,0.01429,0.251653,0.014622,0.627646,0.017243,0.087302,0.010129,0.024471,0.005395,0.065476,0.009042,0.167989,0.015997,0.75186,0.016372,504
boundary_aware_scale_exception_audit_v5,5,0.661376,0.017475,0.65377,0.017909,0.169312,0.013006,0.040675,0.007077,0.027116,0.005827,0.581019,0.017335,0.082011,0.009924,0.023148,0.005361,0.178241,0.014104,0.329365,0.016461,0.188492,0.014026,0.256283,0.014983,0.628638,0.016525,0.089286,0.010489,0.026124,0.005604,0.060185,0.008111,0.157077,0.016456,0.753338,0.01697,504
boundary_aware_scale_exception_audit_v5,6,0.647817,0.017294,0.65377,0.016258,0.188161,0.014341,0.037368,0.006606,0.026786,0.005655,0.584325,0.017263,0.083995,0.010134,0.027778,0.006086,0.17791,0.014061,0.323082,0.017056,0.190476,0.013449,0.231151,0.014443,0.636574,0.018173,0.094577,0.01017,0.02877,0.006154,0.059193,0.008243,0.165344,0.016566,0.743547,0.017235,504
boundary_aware_scale_exception_audit_v5,7,0.646164,0.017219,0.63955,0.017705,0.178571,0.013876,0.041667,0.007063,0.032738,0.006275,0.610119,0.017128,0.079696,0.009834,0.022156,0.005354,0.183862,0.013681,0.320106,0.017003,0.189484,0.014148,0.242063,0.015983,0.63955,0.016752,0.088955,0.01061,0.029762,0.006288,0.066138,0.009005,0.165344,0.016387,0.742312,0.016694,504
boundary_aware_scale_exception_audit_v5,8,0.685185,0.016538,0.638228,0.017328,0.171627,0.013082,0.040675,0.007195,0.023479,0.005619,0.603175,0.018452,0.088955,0.010205,0.026455,0.005555,0.190476,0.01348,0.324735,0.016319,0.179233,0.014231,0.240079,0.015191,0.637897,0.016893,0.08168,0.009622,0.028108,0.005606,0.063492,0.008579,0.13955,0.015417,0.778122,0.015861,504
boundary_aware_scale_exception_audit_v5,9,0.675926,0.016849,0.664352,0.016527,0.184854,0.014347,0.037037,0.006588,0.02877,0.006016,0.602513,0.017569,0.075066,0.009147,0.029101,0.005826,0.173611,0.014393,0.323082,0.016402,0.189484,0.014059,0.237765,0.014727,0.637897,0.01851,0.085979,0.00962,0.027778,0.005875,0.060847,0.008021,0.157407,0.016187,0.771263,0.015811,504
compute_balanced_scaling,0,0.38459,0.017641,0.29332,0.016943,0.326389,0.01682,0.133598,0.012141,0.17791,0.014121,0.307209,0.01665,0.206019,0.013868,0.201058,0.014802,0.14881,0.012979,0.381614,0.01726,0.369709,0.017886,0.407407,0.018493,0.270503,0.015737,0.254299,0.016358,0.084656,0.01005,0.148479,0.013057,0.385251,0.021675,0.343687,0.018482,504
compute_balanced_scaling,1,0.381283,0.017736,0.291336,0.015202,0.320106,0.016035,0.157738,0.012969,0.184524,0.014335,0.298942,0.0167,0.175265,0.013619,0.189484,0.013787,0.157738,0.012506,0.371693,0.017279,0.381944,0.01692,0.405093,0.016561,0.28869,0.015717,0.226852,0.015384,0.091601,0.010025,0.142857,0.012939,0.38922,0.021265,0.339897,0.018215,504
compute_balanced_scaling,2,0.372685,0.019322,0.279762,0.01502,0.325728,0.016943,0.137566,0.012287,0.190807,0.014102,0.294974,0.015178,0.176918,0.01381,0.188161,0.013369,0.162698,0.012475,0.383267,0.017406,0.375661,0.016887,0.407738,0.017172,0.265542,0.016019,0.238426,0.016045,0.088955,0.010123,0.150463,0.012651,0.408069,0.022179,0.329597,0.019876,504
compute_balanced_scaling,3,0.365079,0.016639,0.301587,0.01554,0.312169,0.017671,0.140542,0.012986,0.184524,0.014128,0.303241,0.016472,0.196429,0.01439,0.189815,0.014395,0.160714,0.012469,0.384259,0.016805,0.386905,0.017456,0.402778,0.016724,0.273479,0.016103,0.244709,0.015014,0.083664,0.010093,0.160714,0.013599,0.410714,0.020836,0.32308,0.017112,504
compute_balanced_scaling,4,0.378307,0.018274,0.289352,0.016257,0.313823,0.016618,0.146164,0.01262,0.194775,0.013955,0.303241,0.016318,0.200066,0.014137,0.199405,0.014674,0.171296,0.013572,0.387897,0.018247,0.38922,0.01712,0.408399,0.018632,0.272156,0.01564,0.238426,0.014789,0.097553,0.011131,0.160384,0.013889,0.409061,0.021953,0.332035,0.018865,504
compute_balanced_scaling,5,0.375331,0.018362,0.284722,0.015761,0.321759,0.016776,0.136243,0.012399,0.191799,0.014399,0.291667,0.016031,0.197421,0.013607,0.200066,0.014196,0.164021,0.012645,0.384921,0.017693,0.385251,0.017068,0.394511,0.017614,0.27877,0.016297,0.241071,0.015524,0.09623,0.010991,0.149471,0.011974,0.394841,0.021823,0.332819,0.018749,504
compute_balanced_scaling,6,0.37996,0.017331,0.286706,0.016279,0.303902,0.016145,0.142526,0.012487,0.172619,0.013845,0.297288,0.017183,0.185847,0.014085,0.199405,0.014267,0.160384,0.012349,0.381283,0.017083,0.374339,0.016812,0.416667,0.017165,0.286045,0.015765,0.239087,0.014878,0.097553,0.010548,0.149471,0.013275,0.392526,0.021668,0.338742,0.018054,504
compute_balanced_scaling,7,0.368717,0.017724,0.279431,0.016621,0.308862,0.016453,0.124669,0.011405,0.185847,0.013722,0.290013,0.016115,0.198743,0.014941,0.19246,0.013515,0.160384,0.013859,0.38922,0.017533,0.38955,0.017271,0.410714,0.016328,0.277116,0.016033,0.238426,0.015565,0.092923,0.010428,0.156415,0.012863,0.405093,0.021631,0.325486,0.018253,504
compute_balanced_scaling,8,0.368056,0.018179,0.281085,0.016109,0.325066,0.015915,0.147487,0.013349,0.190146,0.014318,0.299603,0.016861,0.185185,0.014211,0.195106,0.014025,0.16336,0.013005,0.376323,0.016572,0.364418,0.017196,0.402116,0.017579,0.286045,0.015845,0.25,0.016076,0.088624,0.010571,0.140873,0.012811,0.411045,0.021823,0.325686,0.018175,504
compute_balanced_scaling,9,0.371693,0.018088,0.287698,0.015762,0.329365,0.01743,0.146495,0.012406,0.176918,0.014378,0.302579,0.01704,0.201389,0.014201,0.19246,0.014331,0.176587,0.013736,0.374669,0.017385,0.386905,0.017791,0.409061,0.017779,0.28373,0.01567,0.238757,0.015513,0.084325,0.009623,0.155093,0.0134,0.404101,0.021762,0.328684,0.018467,504
conformal_risk_filter,0,0.457672,0.01855,0.428571,0.017523,0.274471,0.016013,0.085317,0.01054,0.084325,0.010092,0.397817,0.017307,0.14418,0.011942,0.095569,0.010567,0.198743,0.01416,0.273479,0.015812,0.270833,0.01672,0.239749,0.01568,0.428571,0.017109,0.169974,0.013102,0.07672,0.009649,0.112103,0.010798,0.321098,0.021521,0.483082,0.019107,504
conformal_risk_filter,1,0.434524,0.01777,0.415675,0.017409,0.274471,0.015396,0.084987,0.009795,0.085648,0.010379,0.37963,0.017899,0.139881,0.012068,0.116071,0.011507,0.207672,0.01473,0.275132,0.01514,0.284392,0.015793,0.236111,0.014773,0.42328,0.016759,0.164021,0.013822,0.060516,0.008572,0.105159,0.01096,0.339947,0.021274,0.455985,0.018735,504
conformal_risk_filter,2,0.438823,0.018317,0.42295,0.017545,0.279101,0.016421,0.088624,0.010769,0.095899,0.010878,0.395172,0.016864,0.136905,0.011997,0.101852,0.011345,0.204034,0.014676,0.266534,0.01572,0.292989,0.015898,0.247354,0.014963,0.418651,0.018049,0.170966,0.013338,0.064484,0.008448,0.113426,0.011707,0.347222,0.021148,0.460162,0.019522,504
conformal_risk_filter,3,0.457011,0.017797,0.428241,0.01762,0.275794,0.015785,0.088955,0.01041,0.09127,0.010357,0.378307,0.017181,0.13459,0.012485,0.111772,0.011484,0.195437,0.013453,0.274802,0.016009,0.292989,0.015442,0.262897,0.015394,0.407738,0.016214,0.154431,0.012485,0.064153,0.009021,0.112103,0.011803,0.329365,0.021378,0.476811,0.018662,504
conformal_risk_filter,4,0.458995,0.017904,0.44709,0.018296,0.271164,0.016101,0.071429,0.009344,0.088955,0.010288,0.397487,0.018228,0.134259,0.012828,0.114749,0.011462,0.206019,0.014893,0.258598,0.016215,0.29332,0.015758,0.25463,0.01532,0.43287,0.017327,0.165013,0.014199,0.074735,0.009417,0.118386,0.010966,0.332341,0.021232,0.486997,0.018719,504
conformal_risk_filter,5,0.460648,0.017396,0.435185,0.01743,0.281746,0.016689,0.08168,0.009795,0.089616,0.010487,0.404431,0.016759,0.142526,0.012487,0.104167,0.011013,0.209656,0.013831,0.260582,0.015598,0.286376,0.015945,0.243056,0.016065,0.422619,0.017737,0.164352,0.013499,0.058201,0.007907,0.11541,0.011225,0.313161,0.019993,0.485754,0.018292,504
