method,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_recovery_success,ci95_recovery_success,mean_tail_risk_rate,ci95_tail_risk_rate,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_average_scaling_gain,ci95_average_scaling_gain,mean_boundary_risk_slope,ci95_boundary_risk_slope,mean_scale_exception_gap,ci95_scale_exception_gap,mean_boundary_coverage,ci95_boundary_coverage,mean_shortcut_reliance,ci95_shortcut_reliance,mean_morphology_transfer_gap,ci95_morphology_transfer_gap,mean_recoverability_deficit,ci95_recoverability_deficit,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
conformal_risk_filter,6,0.438161,0.017834,0.425595,0.017049,0.27877,0.015879,0.082672,0.009924,0.07672,0.009649,0.402116,0.016645,0.140873,0.012377,0.106481,0.011428,0.203704,0.014436,0.284722,0.017265,0.285053,0.01554,0.254299,0.015044,0.407077,0.017022,0.172619,0.013784,0.066468,0.008725,0.108466,0.011433,0.338624,0.021237,0.461263,0.01925,504
conformal_risk_filter,7,0.452381,0.019168,0.424603,0.017896,0.280093,0.015886,0.077381,0.009609,0.073413,0.008901,0.39881,0.018445,0.141204,0.012568,0.103836,0.010941,0.211971,0.015377,0.264881,0.016592,0.286045,0.01616,0.247024,0.016231,0.417989,0.01719,0.173942,0.014111,0.068783,0.008513,0.111111,0.011275,0.326058,0.021114,0.477452,0.019978,504
conformal_risk_filter,8,0.45205,0.018434,0.43254,0.018067,0.282407,0.01688,0.080688,0.009664,0.08631,0.010006,0.401124,0.016963,0.132275,0.01176,0.107474,0.011038,0.209325,0.014623,0.268519,0.015541,0.27877,0.016426,0.250992,0.015571,0.412368,0.017645,0.166336,0.013217,0.072751,0.00971,0.116402,0.011536,0.334325,0.02069,0.476258,0.019506,504
conformal_risk_filter,9,0.453373,0.018619,0.424603,0.017298,0.289683,0.016355,0.084987,0.009881,0.092262,0.010553,0.378638,0.016816,0.130952,0.011694,0.104497,0.01097,0.210317,0.015235,0.263228,0.016602,0.290344,0.016291,0.249008,0.015462,0.416997,0.017067,0.158399,0.013197,0.066468,0.008868,0.104828,0.010614,0.335648,0.020912,0.474281,0.01927,504
data_only_scaling,0,0.328373,0.017391,0.265873,0.014843,0.308201,0.015766,0.140873,0.012679,0.183862,0.013681,0.283069,0.016364,0.201389,0.014437,0.196759,0.014044,0.162698,0.013355,0.319444,0.016445,0.376653,0.017897,0.364749,0.016631,0.268519,0.016021,0.236442,0.015954,0.089286,0.010449,0.164683,0.012712,0.434524,0.022213,0.286491,0.017491,504
data_only_scaling,1,0.343915,0.01719,0.278108,0.015755,0.316799,0.017638,0.156415,0.013471,0.188161,0.014134,0.29795,0.016288,0.213624,0.014303,0.188823,0.014451,0.161706,0.013649,0.335648,0.017323,0.378638,0.017064,0.367725,0.0169,0.250992,0.015353,0.219577,0.01484,0.093915,0.01066,0.155093,0.013082,0.421627,0.02045,0.29652,0.017656,504
data_only_scaling,2,0.33664,0.017718,0.258598,0.014946,0.340608,0.017276,0.151124,0.012921,0.181217,0.014276,0.286045,0.01603,0.206019,0.014836,0.20172,0.013728,0.154762,0.013287,0.326058,0.01622,0.384921,0.017211,0.37004,0.016925,0.257606,0.015745,0.231812,0.014565,0.099537,0.01088,0.155093,0.013525,0.44213,0.021363,0.290202,0.017631,504
data_only_scaling,3,0.320767,0.017805,0.256944,0.015203,0.328704,0.017404,0.152778,0.012886,0.183532,0.013761,0.283399,0.016333,0.191138,0.013992,0.176587,0.014306,0.157407,0.012983,0.322751,0.016943,0.379299,0.018034,0.382275,0.016975,0.259259,0.01603,0.227844,0.015258,0.093915,0.010299,0.153108,0.012575,0.453042,0.021143,0.275804,0.017776,504
data_only_scaling,4,0.33664,0.01699,0.279101,0.015821,0.318783,0.017118,0.149471,0.012757,0.179233,0.013471,0.277778,0.016259,0.20172,0.013941,0.191468,0.013451,0.167989,0.01367,0.329696,0.017658,0.364087,0.018486,0.385251,0.01692,0.261905,0.015096,0.229167,0.014768,0.088294,0.010533,0.155093,0.012953,0.44246,0.022399,0.29147,0.016975,504
data_only_scaling,5,0.342262,0.017834,0.268849,0.016279,0.309524,0.017211,0.151786,0.013593,0.190476,0.014091,0.257606,0.016063,0.204034,0.014444,0.188492,0.014026,0.177249,0.013422,0.326058,0.017542,0.388228,0.017689,0.363757,0.016531,0.260251,0.015327,0.243056,0.015314,0.089616,0.010161,0.160053,0.01341,0.423942,0.021742,0.294059,0.018132,504
data_only_scaling,6,0.335648,0.017755,0.283399,0.015514,0.324405,0.016813,0.143188,0.012327,0.185516,0.013893,0.268519,0.01535,0.190807,0.013554,0.195767,0.013834,0.166005,0.013359,0.347884,0.017167,0.400794,0.017737,0.35582,0.016954,0.256614,0.015121,0.22123,0.014752,0.088955,0.01041,0.165675,0.013089,0.43254,0.02161,0.29402,0.017965,504
data_only_scaling,7,0.331349,0.017577,0.268519,0.015756,0.320106,0.016779,0.138558,0.012045,0.184524,0.013551,0.270833,0.016052,0.189815,0.01401,0.199735,0.01355,0.158069,0.013211,0.328704,0.016864,0.389881,0.016554,0.359127,0.017165,0.270503,0.016444,0.243717,0.015039,0.087963,0.010209,0.156085,0.013516,0.438161,0.021612,0.289185,0.017922,504
data_only_scaling,8,0.339616,0.017291,0.267196,0.015821,0.320106,0.016009,0.147817,0.013242,0.175926,0.013585,0.282738,0.016266,0.194775,0.01443,0.180556,0.01434,0.172288,0.013647,0.32672,0.016171,0.384921,0.017646,0.374008,0.017348,0.247685,0.015242,0.228175,0.015589,0.104497,0.011567,0.161706,0.013802,0.433862,0.022084,0.294864,0.017444,504
data_only_scaling,9,0.323743,0.017736,0.267857,0.015868,0.326389,0.01677,0.142196,0.013059,0.178902,0.014129,0.283399,0.015809,0.192791,0.014832,0.194114,0.014585,0.167328,0.013359,0.34623,0.016943,0.381283,0.017352,0.37004,0.017049,0.271164,0.01485,0.23578,0.015764,0.097222,0.010788,0.156746,0.013674,0.447751,0.022121,0.281427,0.018394,504
dropout_risk_filter,0,0.429233,0.018523,0.404431,0.016734,0.282738,0.016162,0.080688,0.009707,0.10119,0.010744,0.387235,0.017629,0.135251,0.011662,0.126323,0.011936,0.200066,0.013775,0.256614,0.015232,0.295304,0.016191,0.248016,0.014331,0.403108,0.018058,0.180225,0.01403,0.065807,0.009322,0.127315,0.012188,0.344577,0.022359,0.447169,0.019446,504
dropout_risk_filter,1,0.431878,0.017766,0.410053,0.017375,0.276786,0.016011,0.095569,0.010078,0.092593,0.010748,0.37996,0.017379,0.147156,0.012682,0.108135,0.011065,0.198413,0.014061,0.249008,0.014507,0.310185,0.016054,0.251323,0.015187,0.39914,0.017462,0.164021,0.013483,0.075397,0.009685,0.11078,0.011281,0.344577,0.020799,0.447851,0.018833,504
dropout_risk_filter,2,0.432209,0.018162,0.409061,0.018725,0.275463,0.016313,0.080357,0.009793,0.090939,0.01044,0.394841,0.018205,0.138558,0.012525,0.107804,0.010917,0.200066,0.014373,0.256614,0.015452,0.299603,0.016533,0.246693,0.015213,0.417328,0.017744,0.164021,0.013135,0.074074,0.009589,0.121693,0.012056,0.354497,0.020881,0.453411,0.019277,504
dropout_risk_filter,3,0.438823,0.018681,0.402778,0.017439,0.286045,0.015898,0.092923,0.010863,0.090608,0.010642,0.384921,0.018868,0.132606,0.01268,0.114418,0.01183,0.198082,0.014895,0.255622,0.015644,0.280093,0.016201,0.23545,0.014939,0.400463,0.017568,0.164683,0.013762,0.066468,0.008725,0.111111,0.010621,0.345899,0.021762,0.457474,0.019702,504
dropout_risk_filter,4,0.434854,0.017744,0.403108,0.017585,0.290344,0.016394,0.094907,0.010208,0.098214,0.010933,0.387897,0.018038,0.141204,0.012767,0.123016,0.012232,0.205026,0.014526,0.256283,0.01575,0.296296,0.015986,0.236442,0.014546,0.378638,0.017211,0.172619,0.013412,0.078373,0.009657,0.117725,0.011097,0.354497,0.020801,0.449177,0.018711,504
dropout_risk_filter,5,0.441468,0.01813,0.40873,0.01813,0.278439,0.01583,0.091601,0.010832,0.096892,0.010313,0.390212,0.01676,0.149471,0.012423,0.116071,0.011616,0.204696,0.014226,0.255622,0.015751,0.291997,0.015077,0.232804,0.014632,0.386574,0.01762,0.16832,0.01312,0.074405,0.009679,0.118056,0.011013,0.338294,0.021347,0.457206,0.018943,504
dropout_risk_filter,6,0.440146,0.018027,0.402447,0.016997,0.279431,0.016288,0.087632,0.009917,0.095238,0.010767,0.38459,0.016985,0.147487,0.013158,0.113426,0.011849,0.19709,0.01484,0.262235,0.014898,0.291997,0.01631,0.250331,0.015435,0.402447,0.018262,0.150794,0.012836,0.071759,0.00879,0.121693,0.011484,0.336971,0.021642,0.456794,0.019076,504
dropout_risk_filter,7,0.429563,0.018567,0.401786,0.017625,0.280423,0.016759,0.090608,0.010562,0.097222,0.010788,0.400132,0.016857,0.145833,0.012465,0.12004,0.011154,0.208664,0.014376,0.266534,0.01609,0.298942,0.016875,0.258267,0.015769,0.404762,0.01802,0.17328,0.013504,0.072751,0.00949,0.119709,0.011533,0.352844,0.021124,0.444676,0.019478,504
dropout_risk_filter,8,0.424934,0.017871,0.405093,0.017476,0.298611,0.015721,0.092923,0.010347,0.099868,0.010799,0.387235,0.017819,0.145833,0.012962,0.113757,0.011843,0.205688,0.014513,0.251323,0.01439,0.28869,0.016087,0.243386,0.01537,0.387566,0.016901,0.169974,0.013005,0.072421,0.009663,0.124008,0.012446,0.355159,0.021492,0.439264,0.018727,504
dropout_risk_filter,9,0.435185,0.018164,0.396825,0.0172,0.263558,0.016006,0.081349,0.009578,0.098214,0.01038,0.381944,0.017627,0.143188,0.01253,0.109788,0.011593,0.20172,0.01348,0.247024,0.015623,0.304563,0.016592,0.238757,0.01459,0.411045,0.017329,0.173942,0.013407,0.080688,0.009794,0.119048,0.011585,0.347884,0.02206,0.453024,0.019184,504
ensemble_uncertainty_gate,0,0.423611,0.018364,0.410384,0.0174,0.296296,0.017374,0.095569,0.010647,0.098545,0.010657,0.371693,0.017617,0.153108,0.013067,0.136905,0.011568,0.19246,0.014004,0.274802,0.01627,0.313161,0.017185,0.284392,0.016471,0.388558,0.018209,0.184854,0.014347,0.080357,0.010089,0.112765,0.011168,0.349206,0.021217,0.434322,0.018997,504
ensemble_uncertainty_gate,1,0.405423,0.018301,0.394841,0.016609,0.277447,0.016621,0.09127,0.009985,0.105489,0.011107,0.383267,0.017285,0.143519,0.012751,0.137566,0.012321,0.202712,0.015013,0.280754,0.015717,0.310847,0.016628,0.274802,0.016501,0.379299,0.016976,0.157407,0.013492,0.080026,0.010578,0.110119,0.010759,0.369709,0.020721,0.415066,0.01923,504
ensemble_uncertainty_gate,2,0.419643,0.01828,0.411376,0.016937,0.280754,0.015903,0.083664,0.010093,0.097884,0.009627,0.388558,0.018139,0.137235,0.012468,0.119709,0.011606,0.204365,0.01508,0.287368,0.01637,0.310516,0.015886,0.261574,0.016662,0.397817,0.017355,0.170966,0.014224,0.070106,0.009285,0.121693,0.011773,0.363095,0.021083,0.43642,0.019315,504
ensemble_uncertainty_gate,3,0.41336,0.01898,0.393849,0.017845,0.305556,0.015998,0.09623,0.010719,0.096561,0.010834,0.363095,0.017696,0.149471,0.013051,0.123347,0.012292,0.199074,0.014751,0.26422,0.016315,0.310516,0.016888,0.265542,0.015807,0.393519,0.017913,0.176257,0.014085,0.0625,0.009269,0.115741,0.011441,0.37004,0.022159,0.423487,0.019943,504
ensemble_uncertainty_gate,4,0.433862,0.017846,0.398148,0.017503,0.26918,0.015234,0.100529,0.010713,0.099868,0.010799,0.37996,0.01823,0.147156,0.012748,0.120701,0.011904,0.203373,0.013893,0.269511,0.016782,0.304563,0.016336,0.276786,0.016705,0.377976,0.01627,0.169643,0.013118,0.07209,0.009395,0.111111,0.010934,0.353175,0.020195,0.442189,0.018882,504
ensemble_uncertainty_gate,5,0.433201,0.017969,0.384921,0.016915,0.282407,0.015957,0.100198,0.011026,0.105159,0.0113,0.373016,0.01769,0.143849,0.01254,0.126984,0.012671,0.205357,0.015018,0.27381,0.015675,0.311177,0.017362,0.260251,0.015814,0.390542,0.017477,0.178902,0.014336,0.071429,0.009116,0.115741,0.011477,0.342262,0.020716,0.441896,0.01878,504
ensemble_uncertainty_gate,6,0.417328,0.017744,0.399471,0.017987,0.292989,0.015414,0.099537,0.010566,0.115079,0.011781,0.375992,0.017791,0.142526,0.012214,0.132606,0.011785,0.212632,0.013925,0.267196,0.015141,0.304894,0.016935,0.261243,0.015994,0.398148,0.017742,0.177579,0.014197,0.07672,0.009822,0.114418,0.011057,0.354828,0.021465,0.427024,0.018582,504
ensemble_uncertainty_gate,7,0.435516,0.017524,0.389881,0.017202,0.294643,0.015378,0.090278,0.010722,0.109458,0.011707,0.359788,0.017108,0.145172,0.012321,0.13459,0.011969,0.19709,0.013659,0.265542,0.015375,0.284061,0.015718,0.275132,0.01611,0.383929,0.017727,0.170635,0.012841,0.079365,0.010087,0.119048,0.011658,0.342593,0.021678,0.443963,0.018656,504
ensemble_uncertainty_gate,8,0.426257,0.017819,0.39881,0.016771,0.287698,0.016493,0.098214,0.01038,0.110119,0.011067,0.374339,0.017643,0.147156,0.012312,0.132275,0.012455,0.20172,0.014151,0.252315,0.016075,0.300265,0.015815,0.266204,0.015695,0.381944,0.018375,0.174603,0.013373,0.070767,0.009472,0.124669,0.012224,0.352183,0.020787,0.434873,0.018686,504
ensemble_uncertainty_gate,9,0.426257,0.018054,0.386574,0.018254,0.289683,0.015964,0.091931,0.010231,0.115741,0.011404,0.378307,0.017206,0.145503,0.011996,0.12037,0.012122,0.190807,0.014072,0.272156,0.015774,0.308862,0.016144,0.261574,0.015727,0.402778,0.017679,0.170635,0.0131,0.067791,0.008934,0.118717,0.01152,0.354497,0.021575,0.436847,0.019011,504
generic_scaling_law_extrapolator,0,0.366402,0.017793,0.249008,0.015408,0.319114,0.017995,0.146495,0.0122,0.205688,0.014686,0.261905,0.01599,0.190146,0.01414,0.223214,0.014637,0.14881,0.012072,0.397487,0.016935,0.39881,0.016821,0.456019,0.017672,0.243386,0.015232,0.26455,0.0156,0.099537,0.010919,0.164683,0.013136,0.401786,0.021771,0.310344,0.018372,504
generic_scaling_law_extrapolator,1,0.355159,0.016786,0.247685,0.015704,0.334656,0.016818,0.148479,0.01253,0.207011,0.014368,0.267196,0.015687,0.204034,0.014988,0.229167,0.014654,0.152116,0.012516,0.392196,0.017567,0.400132,0.017542,0.420635,0.018301,0.26455,0.016364,0.257275,0.015449,0.095899,0.010604,0.155093,0.012855,0.412698,0.021259,0.301667,0.016912,504
generic_scaling_law_extrapolator,2,0.356151,0.017596,0.243717,0.015909,0.323743,0.01691,0.156085,0.012779,0.212302,0.014568,0.262897,0.015503,0.189815,0.014218,0.220569,0.015192,0.167989,0.01304,0.386905,0.017262,0.404101,0.018017,0.453373,0.016913,0.256614,0.015749,0.246032,0.015486,0.097553,0.010785,0.162368,0.012758,0.420966,0.021377,0.298977,0.017657,504
generic_scaling_law_extrapolator,3,0.346561,0.018291,0.25496,0.015042,0.314153,0.016583,0.149471,0.013275,0.208995,0.014529,0.277778,0.016388,0.20205,0.015081,0.222222,0.014449,0.157407,0.012787,0.38922,0.017461,0.405754,0.017742,0.444114,0.017748,0.247354,0.015864,0.262897,0.015719,0.101852,0.011082,0.161706,0.013368,0.429563,0.022258,0.292292,0.018259,504
generic_scaling_law_extrapolator,4,0.36078,0.017902,0.243056,0.015148,0.324405,0.01633,0.142196,0.012864,0.207672,0.014644,0.272817,0.015846,0.187831,0.014906,0.212302,0.014597,0.154101,0.013251,0.392857,0.017502,0.392857,0.01755,0.443783,0.017705,0.238426,0.014703,0.250661,0.015705,0.096561,0.011064,0.162037,0.013416,0.421296,0.02194,0.304821,0.018062,504
generic_scaling_law_extrapolator,5,0.349868,0.017969,0.257937,0.016035,0.305886,0.017255,0.162037,0.013416,0.217593,0.014228,0.26455,0.01639,0.205688,0.014942,0.233796,0.01501,0.164021,0.013357,0.38955,0.017799,0.404101,0.01735,0.436177,0.017757,0.249339,0.015839,0.272817,0.0169,0.101521,0.010934,0.157407,0.012983,0.419974,0.022038,0.292083,0.017972,504
generic_scaling_law_extrapolator,6,0.343585,0.017899,0.237434,0.015396,0.324405,0.017184,0.155423,0.012642,0.209325,0.014823,0.264881,0.016233,0.205026,0.014955,0.207341,0.014376,0.139881,0.012103,0.386243,0.017033,0.404762,0.017281,0.433862,0.017657,0.24537,0.01521,0.266534,0.016375,0.089286,0.009953,0.152116,0.013108,0.425926,0.022006,0.285951,0.017998,504
