method,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
boundary_aware_scale_exception_audit_v5,0.661839,0.007884,0.650694,0.006257,0.180754,0.004446,0.039749,0.001878,0.026786,0.001903,0.597321,0.005597,0.082308,0.003287,0.025165,0.001847,0.187235,0.005361,0.324504,0.003316,0.18922,0.004041,0.242791,0.005511,0.634524,0.003605,0.085317,0.003102,0.027712,0.001461,0.063194,0.002515,0.159392,0.005001,0.755978,0.007429,10
compute_balanced_scaling,0.37457,0.003961,0.2875,0.004259,0.318717,0.005293,0.141303,0.005607,0.184987,0.004489,0.298876,0.003395,0.192328,0.006647,0.194742,0.003047,0.162599,0.004625,0.381515,0.003534,0.38039,0.00547,0.406448,0.003652,0.278208,0.004817,0.241005,0.004621,0.090608,0.003358,0.151422,0.004168,0.400992,0.005963,0.331971,0.004253,10
conformal_risk_filter,0.450364,0.005941,0.428505,0.00523,0.27877,0.003245,0.082672,0.003279,0.086442,0.004296,0.393353,0.006406,0.137765,0.002844,0.106647,0.003842,0.205688,0.003292,0.269048,0.004951,0.286111,0.004412,0.248512,0.004837,0.418816,0.005199,0.166005,0.003847,0.067328,0.003719,0.111739,0.002808,0.331779,0.006105,0.473805,0.006829,10
data_only_scaling,0.333896,0.004773,0.269444,0.005302,0.321362,0.005854,0.147421,0.003657,0.183135,0.002743,0.279134,0.006894,0.198611,0.004932,0.191402,0.00499,0.16455,0.004349,0.330919,0.005895,0.38287,0.00596,0.369279,0.005789,0.26045,0.004888,0.23168,0.005073,0.09332,0.003473,0.158333,0.002732,0.437004,0.006105,0.289404,0.004056,10
dropout_risk_filter,0.433829,0.003273,0.404431,0.00249,0.281184,0.005798,0.088856,0.003708,0.096098,0.00227,0.387897,0.00371,0.142659,0.003489,0.115278,0.003858,0.201951,0.002394,0.255688,0.003586,0.295767,0.005205,0.244147,0.005077,0.399107,0.007289,0.168188,0.00496,0.073214,0.002868,0.119114,0.00321,0.34752,0.004135,0.450604,0.003742,10
ensemble_uncertainty_gate,0.423446,0.006001,0.396825,0.005529,0.287665,0.006524,0.094742,0.003356,0.10539,0.004391,0.374802,0.005375,0.14547,0.002638,0.128505,0.004403,0.200959,0.003977,0.270767,0.005944,0.305886,0.00534,0.26875,0.005206,0.389451,0.005321,0.173148,0.004522,0.073115,0.003648,0.116402,0.002879,0.355159,0.006091,0.433609,0.005694,10
generic_scaling_law_extrapolator,0.353175,0.004831,0.249107,0.003902,0.320238,0.004769,0.150198,0.003641,0.208433,0.002512,0.269345,0.003634,0.201521,0.006075,0.221892,0.005084,0.15582,0.004918,0.393221,0.00343,0.401091,0.005061,0.438029,0.006933,0.250694,0.005133,0.261938,0.005421,0.096792,0.002341,0.16002,0.003403,0.420205,0.005081,0.297777,0.005118,10
invariance_penalty_policy,0.454034,0.003589,0.363922,0.00715,0.276323,0.004118,0.109292,0.002994,0.11703,0.004464,0.369246,0.007976,0.163393,0.004331,0.133366,0.003489,0.17295,0.004748,0.305655,0.00464,0.309292,0.006588,0.298545,0.007323,0.382011,0.005102,0.140939,0.003018,0.059491,0.003269,0.125728,0.004404,0.327282,0.002804,0.454633,0.003726,10
large_behavior_clone,0.304167,0.003235,0.19246,0.003251,0.345966,0.003688,0.168783,0.003283,0.225132,0.003465,0.232771,0.003886,0.221197,0.005468,0.23998,0.005849,0.160152,0.003226,0.363724,0.005481,0.415774,0.003628,0.422222,0.005897,0.216501,0.003914,0.271925,0.005367,0.103737,0.004097,0.165642,0.003795,0.466667,0.003413,0.236363,0.003418,10
medium_behavior_clone,0.276124,0.004416,0.211508,0.002535,0.33707,0.004223,0.155192,0.002503,0.165245,0.003611,0.240575,0.00298,0.214253,0.002704,0.190675,0.005257,0.161508,0.004711,0.220304,0.006322,0.379563,0.004931,0.271263,0.006304,0.222619,0.005665,0.212136,0.005068,0.101389,0.002912,0.167824,0.003756,0.492923,0.004584,0.230395,0.004336,10
model_only_scaling,0.321759,0.006412,0.224206,0.004862,0.332176,0.007883,0.158102,0.003929,0.2083,0.00535,0.252513,0.004303,0.212963,0.003445,0.225231,0.00568,0.165179,0.005185,0.362599,0.004815,0.403671,0.005392,0.412269,0.005186,0.236376,0.004281,0.264914,0.00336,0.101025,0.003829,0.163228,0.003016,0.44957,0.00558,0.261906,0.00601,10
oracle_exception_selector,0.765046,0.003199,0.694709,0.006345,0.161012,0.003211,0.01498,0.001328,0.004101,0.00075,0.647487,0.006916,0.061905,0.002241,0.004861,0.001072,0.186078,0.004913,0.405093,0.00333,0.176918,0.005216,0.298082,0.004721,0.673677,0.00414,0.06088,0.002611,0.016898,0.001319,0.044081,0.002643,0.0,0.0,0.864078,0.002265,10
proposed_embodied_scale_exception_audit_v4,0.58707,0.004904,0.577249,0.004021,0.213724,0.003141,0.062897,0.003248,0.055126,0.002278,0.52953,0.006511,0.109127,0.004447,0.055721,0.002774,0.185053,0.004918,0.316237,0.005566,0.238294,0.004809,0.257374,0.004817,0.540741,0.004053,0.107903,0.00394,0.041931,0.001701,0.086475,0.003475,0.215079,0.00415,0.655602,0.004515,10
retrieval_augmented_nearest_failure,0.465774,0.002577,0.442361,0.005091,0.26627,0.003064,0.097123,0.001973,0.107573,0.003288,0.40797,0.00557,0.139187,0.004255,0.120734,0.003129,0.186442,0.004365,0.28836,0.003623,0.288459,0.004994,0.265972,0.0046,0.439716,0.004386,0.169577,0.004247,0.066898,0.003095,0.116634,0.004492,0.317526,0.002362,0.488493,0.002741,10
risk_sensitive_cvar_policy,0.441071,0.006136,0.418287,0.005253,0.269974,0.005184,0.076984,0.002663,0.083796,0.002277,0.440146,0.006565,0.131085,0.003875,0.106217,0.003994,0.21584,0.00414,0.250331,0.003072,0.291667,0.00469,0.235549,0.005822,0.387566,0.005938,0.156614,0.00492,0.067989,0.003752,0.093056,0.003229,0.337798,0.008317,0.466408,0.006103,10
small_behavior_clone,0.231184,0.00308,0.214683,0.00531,0.33707,0.003926,0.164451,0.003656,0.130655,0.004017,0.229167,0.004227,0.21379,0.004443,0.165112,0.003262,0.163327,0.005971,0.10043,0.003593,0.347917,0.007383,0.141468,0.004745,0.207143,0.00588,0.173313,0.004868,0.105556,0.004587,0.170569,0.003223,0.53621,0.004205,0.197837,0.003121,10
