method,split,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
boundary_aware_scale_exception_audit_v5,combined_exception_stress,0.628009,0.012563,0.634491,0.013347,0.185185,0.009274,0.042361,0.004438,0.027546,0.006066,0.578935,0.012625,0.085185,0.007968,0.028241,0.004267,0.21713,0.018309,0.309722,0.016892,0.192824,0.011618,0.231944,0.014168,0.622454,0.015085,0.085417,0.008804,0.028241,0.004915,0.069676,0.004248,0.174074,0.013024,0.71888,0.013356,10
boundary_aware_scale_exception_audit_v5,contact_tail_shift,0.660417,0.011578,0.640278,0.013946,0.175694,0.007043,0.038194,0.005463,0.030093,0.005016,0.608796,0.009871,0.086111,0.009219,0.023611,0.007119,0.17963,0.017233,0.322917,0.018327,0.182407,0.011374,0.243056,0.011418,0.658796,0.01336,0.080556,0.010297,0.019907,0.003838,0.057639,0.006178,0.172222,0.01035,0.754005,0.010762,10
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,0.6625,0.014071,0.651852,0.017339,0.188426,0.01164,0.03588,0.00525,0.028704,0.005544,0.597454,0.015474,0.087037,0.009449,0.021759,0.004597,0.169213,0.013652,0.328935,0.012679,0.180093,0.015271,0.248148,0.011711,0.638889,0.012653,0.082407,0.010783,0.03125,0.005206,0.063426,0.004744,0.157639,0.014748,0.758686,0.013548,10
boundary_aware_scale_exception_audit_v5,embodiment_shift,0.665972,0.011755,0.654167,0.013831,0.192361,0.010596,0.038426,0.003655,0.022454,0.005413,0.603935,0.019195,0.084259,0.006243,0.021991,0.004649,0.186574,0.009991,0.33287,0.009391,0.194676,0.009973,0.24537,0.016302,0.627315,0.012434,0.086343,0.008004,0.031713,0.006274,0.060185,0.006416,0.158333,0.007507,0.760356,0.011978,10
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,0.664352,0.012268,0.652083,0.013011,0.178241,0.007158,0.045833,0.008839,0.02963,0.004476,0.590278,0.015199,0.076157,0.006468,0.033102,0.00428,0.185185,0.010843,0.312037,0.010901,0.201389,0.0108,0.2375,0.016952,0.618981,0.013343,0.090278,0.007531,0.027546,0.005302,0.066204,0.006871,0.151852,0.009852,0.757046,0.011292,10
boundary_aware_scale_exception_audit_v5,nominal_scaling,0.729861,0.013011,0.686574,0.006494,0.172454,0.013014,0.022685,0.004158,0.024306,0.007134,0.630093,0.016838,0.077315,0.013274,0.021759,0.003897,0.161574,0.009726,0.340278,0.013322,0.178472,0.01029,0.247454,0.011684,0.678241,0.014267,0.074769,0.006089,0.025694,0.004139,0.054398,0.006208,0.1375,0.012383,0.830927,0.010911,10
boundary_aware_scale_exception_audit_v5,recovery_scarcity,0.672454,0.016137,0.65787,0.012095,0.17037,0.013031,0.037963,0.005503,0.02662,0.006208,0.603009,0.012837,0.079861,0.006601,0.025231,0.002983,0.186574,0.009991,0.335417,0.010682,0.191435,0.012306,0.240972,0.011407,0.63912,0.010978,0.08588,0.007043,0.025926,0.004527,0.065509,0.006866,0.154167,0.007922,0.768184,0.015474,10
boundary_aware_scale_exception_audit_v5,shortcut_shift,0.679167,0.011382,0.66412,0.010065,0.175,0.010569,0.039583,0.007635,0.022454,0.005064,0.598843,0.009661,0.077546,0.009523,0.022222,0.005503,0.186343,0.015662,0.32963,0.019346,0.181713,0.012531,0.252546,0.012823,0.636111,0.014519,0.086343,0.004737,0.029398,0.005898,0.059722,0.002772,0.147454,0.015747,0.774685,0.0108,10
compute_balanced_scaling,combined_exception_stress,0.314352,0.010473,0.270833,0.012904,0.33912,0.013782,0.164583,0.016012,0.19838,0.011011,0.289583,0.018367,0.224074,0.013353,0.216204,0.008693,0.164583,0.00995,0.366204,0.014248,0.411111,0.022998,0.404861,0.013585,0.261111,0.008306,0.258796,0.012668,0.095602,0.006559,0.164583,0.011387,0.441667,0.012918,0.261517,0.01049,10
compute_balanced_scaling,contact_tail_shift,0.404398,0.019696,0.28588,0.014557,0.319676,0.012424,0.139583,0.009895,0.191667,0.012095,0.29838,0.009186,0.200231,0.010285,0.19213,0.010123,0.162269,0.012876,0.366435,0.006594,0.365741,0.00806,0.409259,0.014815,0.294444,0.018582,0.231019,0.01173,0.074074,0.008448,0.154398,0.011851,0.388426,0.027363,0.361641,0.019974,10
