method,split,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
compute_balanced_scaling,cross_robot_morphology,0.380556,0.014109,0.278935,0.013171,0.302315,0.019929,0.147917,0.00926,0.1875,0.018173,0.309028,0.013682,0.189815,0.010077,0.190046,0.010618,0.165972,0.010124,0.383333,0.015603,0.380556,0.013881,0.398611,0.01509,0.287963,0.013274,0.238657,0.009235,0.101157,0.005859,0.143981,0.009293,0.397222,0.017691,0.337249,0.013961,10
compute_balanced_scaling,embodiment_shift,0.387963,0.015232,0.298611,0.008766,0.306713,0.012328,0.128472,0.012585,0.173843,0.005677,0.315972,0.010974,0.182639,0.009504,0.170139,0.006906,0.1625,0.011494,0.374537,0.010342,0.374537,0.010838,0.408102,0.010759,0.277546,0.020023,0.225694,0.014399,0.106713,0.00901,0.14213,0.013815,0.396296,0.024931,0.350528,0.016251,10
compute_balanced_scaling,heldout_exception_composition,0.349074,0.012613,0.280093,0.015789,0.331019,0.011072,0.140972,0.015251,0.186806,0.011696,0.293981,0.013115,0.18912,0.010033,0.204167,0.015582,0.168287,0.007286,0.380324,0.007063,0.38125,0.015245,0.406019,0.01289,0.268981,0.013658,0.255556,0.013979,0.092824,0.012805,0.153009,0.008241,0.411574,0.016619,0.306194,0.014731,10
compute_balanced_scaling,nominal_scaling,0.509722,0.014581,0.325694,0.016746,0.284722,0.014139,0.095833,0.006837,0.15787,0.008388,0.318287,0.012784,0.15463,0.007525,0.16875,0.011723,0.136343,0.007725,0.397917,0.021889,0.31088,0.021206,0.415509,0.016052,0.323611,0.012758,0.231019,0.015931,0.069213,0.006779,0.113657,0.009671,0.32338,0.017741,0.489406,0.014023,10
compute_balanced_scaling,recovery_scarcity,0.385417,0.013361,0.299769,0.011241,0.315741,0.007658,0.140278,0.012621,0.171759,0.010495,0.28125,0.010763,0.18912,0.007801,0.18912,0.011298,0.15787,0.010711,0.403704,0.012925,0.373611,0.01229,0.413194,0.019733,0.279167,0.008122,0.230093,0.011281,0.078241,0.00836,0.160185,0.013439,0.394213,0.014507,0.343748,0.013369,10
compute_balanced_scaling,shortcut_shift,0.400231,0.010767,0.29838,0.016982,0.316435,0.015364,0.127315,0.013219,0.184954,0.008933,0.303935,0.015542,0.171296,0.015571,0.201389,0.009372,0.156713,0.011073,0.396065,0.009973,0.375926,0.009736,0.405093,0.012324,0.278241,0.015211,0.247222,0.017981,0.085648,0.010346,0.141667,0.009679,0.377546,0.010957,0.362922,0.011378,10
conformal_risk_filter,combined_exception_stress,0.407639,0.010267,0.407176,0.00901,0.285648,0.012693,0.087037,0.008037,0.095139,0.007515,0.38588,0.013272,0.146991,0.011015,0.120602,0.007575,0.221065,0.016735,0.25787,0.01479,0.308796,0.013682,0.25162,0.0143,0.398611,0.011494,0.181713,0.013699,0.075694,0.013595,0.122685,0.006345,0.353935,0.014513,0.422718,0.01105,10
conformal_risk_filter,contact_tail_shift,0.468981,0.014493,0.431713,0.01057,0.28912,0.010422,0.078704,0.008766,0.084954,0.010033,0.402315,0.013608,0.142593,0.012401,0.095139,0.010356,0.18588,0.00703,0.268981,0.013825,0.269676,0.012216,0.245602,0.011245,0.432639,0.010422,0.147454,0.009826,0.062037,0.006757,0.100694,0.008668,0.330324,0.011832,0.496117,0.014155,10
conformal_risk_filter,cross_robot_morphology,0.455093,0.013614,0.43287,0.019166,0.277083,0.010214,0.085648,0.007945,0.085648,0.007682,0.389583,0.013098,0.139583,0.010056,0.10162,0.005345,0.202083,0.012816,0.2625,0.017153,0.277315,0.012208,0.245602,0.010553,0.421528,0.007784,0.149306,0.011503,0.078704,0.005151,0.111343,0.005259,0.32963,0.022566,0.478878,0.016623,10
conformal_risk_filter,embodiment_shift,0.471991,0.014323,0.425694,0.014513,0.274074,0.014158,0.072222,0.004213,0.07037,0.010868,0.394676,0.015908,0.123843,0.008668,0.103704,0.003435,0.198843,0.009812,0.269444,0.012008,0.292593,0.00677,0.243981,0.011718,0.436806,0.009964,0.162731,0.007095,0.065046,0.005302,0.100694,0.007324,0.319444,0.018962,0.502478,0.015833,10
conformal_risk_filter,heldout_exception_composition,0.418981,0.017714,0.428704,0.0142,0.280093,0.01774,0.088426,0.008682,0.097222,0.0078,0.386343,0.015926,0.14213,0.011179,0.111343,0.009528,0.217361,0.009718,0.271296,0.01115,0.301852,0.010284,0.264352,0.015553,0.404167,0.011718,0.176389,0.010275,0.073843,0.007695,0.120139,0.009694,0.346065,0.018759,0.436363,0.017187,10
conformal_risk_filter,nominal_scaling,0.546991,0.014396,0.453241,0.011573,0.250463,0.01677,0.057407,0.006228,0.076389,0.011889,0.41875,0.011447,0.104398,0.009996,0.088194,0.006432,0.180093,0.011434,0.28588,0.01331,0.233796,0.011617,0.253009,0.008948,0.46088,0.018919,0.147222,0.005461,0.055556,0.004383,0.083102,0.005513,0.284259,0.015597,0.587852,0.016177,10
conformal_risk_filter,recovery_scarcity,0.462731,0.010957,0.430093,0.018334,0.280093,0.007029,0.086111,0.011068,0.083565,0.008268,0.396991,0.015966,0.132639,0.005413,0.105324,0.012047,0.20162,0.01345,0.277315,0.017802,0.273611,0.016286,0.240046,0.009324,0.419444,0.021073,0.166435,0.010682,0.058333,0.008139,0.119213,0.009304,0.325463,0.017973,0.487862,0.01102,10
conformal_risk_filter,shortcut_shift,0.46713,0.019518,0.443287,0.017313,0.265278,0.010395,0.080556,0.009044,0.088194,0.00906,0.397685,0.006117,0.136574,0.007253,0.108796,0.007829,0.212963,0.015184,0.275926,0.013725,0.278935,0.011562,0.24838,0.010544,0.418519,0.01967,0.178009,0.006397,0.057639,0.006978,0.107407,0.00957,0.317593,0.019716,0.492215,0.020084,10
data_only_scaling,combined_exception_stress,0.281481,0.012621,0.25463,0.01576,0.337731,0.014886,0.167824,0.011817,0.206481,0.015361,0.278241,0.012704,0.219444,0.013129,0.207176,0.011077,0.176389,0.00825,0.319676,0.0228,0.41875,0.015415,0.365046,0.015275,0.229398,0.012805,0.25625,0.011419,0.104167,0.006557,0.186111,0.010482,0.470833,0.015172,0.229645,0.011841,10
data_only_scaling,contact_tail_shift,0.359491,0.013168,0.26412,0.009927,0.321759,0.010168,0.141435,0.011586,0.179167,0.004647,0.299306,0.011439,0.2,0.008614,0.183102,0.009904,0.161343,0.011479,0.338657,0.0143,0.359259,0.017917,0.36713,0.008289,0.280556,0.008735,0.222685,0.01807,0.078009,0.009176,0.142593,0.008875,0.432176,0.017844,0.317672,0.014421,10
data_only_scaling,cross_robot_morphology,0.333102,0.013769,0.279167,0.013118,0.321991,0.009996,0.150463,0.005659,0.177083,0.014013,0.289352,0.017856,0.193056,0.015676,0.185648,0.011691,0.163889,0.00956,0.335417,0.01537,0.38125,0.012545,0.375231,0.016874,0.272917,0.019759,0.224769,0.010155,0.10162,0.01029,0.158102,0.006899,0.439583,0.016601,0.290602,0.014745,10
data_only_scaling,embodiment_shift,0.366204,0.012301,0.270602,0.011606,0.297222,0.016707,0.140278,0.008289,0.171759,0.008735,0.274769,0.014332,0.185648,0.011808,0.180093,0.01217,0.159491,0.00995,0.330787,0.014194,0.368981,0.012801,0.365046,0.0126,0.263657,0.01682,0.215741,0.014768,0.095602,0.011479,0.148148,0.010843,0.413194,0.014255,0.324448,0.012256,10
data_only_scaling,heldout_exception_composition,0.303935,0.011871,0.274306,0.017366,0.342361,0.018822,0.147685,0.010141,0.193981,0.011394,0.277083,0.014585,0.200694,0.010413,0.205556,0.010319,0.168981,0.008844,0.326157,0.015296,0.399306,0.009004,0.366435,0.011011,0.252546,0.014016,0.234491,0.01517,0.104861,0.008715,0.161111,0.009401,0.453009,0.016148,0.25925,0.011659,10
data_only_scaling,nominal_scaling,0.475463,0.013665,0.307407,0.017465,0.285417,0.010865,0.098611,0.005503,0.155324,0.011859,0.297222,0.017717,0.165972,0.010146,0.162269,0.004659,0.139583,0.009661,0.355787,0.0092,0.3125,0.013594,0.370139,0.014032,0.3,0.012602,0.212963,0.01101,0.075463,0.005865,0.1125,0.005334,0.350694,0.018661,0.451876,0.013387,10
data_only_scaling,recovery_scarcity,0.34537,0.01512,0.269444,0.010677,0.315046,0.010087,0.147454,0.010303,0.172222,0.010783,0.262269,0.014942,0.197685,0.015603,0.1875,0.011734,0.169676,0.014348,0.331481,0.012375,0.381944,0.014709,0.36875,0.013081,0.26875,0.008882,0.218981,0.012978,0.088657,0.010258,0.162963,0.011382,0.429861,0.011399,0.301209,0.014756,10
data_only_scaling,shortcut_shift,0.347685,0.015286,0.273843,0.013323,0.313426,0.009054,0.136806,0.008647,0.18125,0.012975,0.272917,0.01333,0.19375,0.010325,0.190741,0.009782,0.152083,0.013254,0.334259,0.015005,0.370602,0.021328,0.377315,0.011675,0.255324,0.007713,0.248843,0.012235,0.080324,0.008503,0.149306,0.007539,0.42037,0.011835,0.303002,0.014079,10
dropout_risk_filter,combined_exception_stress,0.387963,0.01122,0.396065,0.015592,0.291898,0.012126,0.098148,0.007568,0.104861,0.0092,0.386574,0.013811,0.150694,0.013568,0.116435,0.011832,0.214815,0.006042,0.258796,0.010668,0.32037,0.012327,0.25162,0.007889,0.378935,0.010631,0.18125,0.011618,0.083565,0.008959,0.13287,0.008693,0.371065,0.012062,0.397288,0.011267,10
dropout_risk_filter,contact_tail_shift,0.461111,0.01265,0.392593,0.008371,0.285185,0.017673,0.078704,0.007652,0.092361,0.005555,0.386806,0.017772,0.142824,0.012156,0.109491,0.00947,0.197685,0.019744,0.253935,0.015334,0.279861,0.00733,0.246991,0.016678,0.414815,0.011354,0.166898,0.00854,0.057407,0.004961,0.107639,0.006096,0.340278,0.015717,0.479624,0.014046,10
dropout_risk_filter,cross_robot_morphology,0.423843,0.016982,0.402315,0.016002,0.281713,0.012816,0.088657,0.009542,0.100231,0.010716,0.409028,0.013878,0.137269,0.005153,0.125231,0.008673,0.191204,0.011699,0.250231,0.010466,0.293519,0.014768,0.241667,0.012818,0.40463,0.013507,0.164583,0.009407,0.084722,0.006634,0.117361,0.011539,0.358102,0.019344,0.442896,0.018679,10
dropout_risk_filter,embodiment_shift,0.461806,0.018088,0.418287,0.017997,0.273611,0.013956,0.086343,0.011871,0.090741,0.010625,0.380787,0.013914,0.13588,0.011618,0.109028,0.006978,0.203472,0.009881,0.266204,0.006627,0.296065,0.008241,0.244907,0.014984,0.410417,0.005781,0.162037,0.008366,0.078009,0.00741,0.115046,0.010928,0.331713,0.02047,0.481913,0.020844,10
dropout_risk_filter,heldout_exception_composition,0.399306,0.014991,0.401389,0.013188,0.29537,0.015661,0.096528,0.008229,0.106019,0.007853,0.379398,0.009788,0.147222,0.007291,0.116435,0.011558,0.204167,0.011394,0.253704,0.014142,0.305787,0.013296,0.229167,0.012707,0.378009,0.014172,0.169907,0.011581,0.077083,0.010652,0.121528,0.013931,0.368287,0.017938,0.411889,0.015771,10
dropout_risk_filter,nominal_scaling,0.545139,0.009451,0.449306,0.013209,0.259722,0.013923,0.065278,0.003873,0.083796,0.010163,0.394213,0.01488,0.120139,0.006029,0.099074,0.007706,0.168981,0.015497,0.284028,0.009397,0.25625,0.017271,0.244213,0.012066,0.434028,0.013292,0.141667,0.008306,0.057176,0.005781,0.088889,0.009876,0.288426,0.012456,0.578728,0.009518,10
dropout_risk_filter,recovery_scarcity,0.441204,0.01791,0.399074,0.015559,0.27037,0.007434,0.09375,0.009807,0.083102,0.007043,0.37963,0.013811,0.146759,0.008587,0.111343,0.008323,0.201389,0.007887,0.253935,0.013812,0.293056,0.019894,0.242824,0.015311,0.403472,0.015215,0.156481,0.01166,0.066204,0.007688,0.132407,0.011474,0.342593,0.01945,0.457856,0.019685,10
dropout_risk_filter,shortcut_shift,0.461574,0.014077,0.421296,0.018572,0.270139,0.01322,0.079861,0.008038,0.09537,0.008278,0.393056,0.015582,0.137963,0.011118,0.118981,0.010504,0.200926,0.012301,0.253009,0.011967,0.281713,0.012654,0.251852,0.013319,0.403472,0.016106,0.176157,0.00948,0.065509,0.004226,0.106944,0.00363,0.320602,0.016993,0.482765,0.014135,10
ensemble_uncertainty_gate,combined_exception_stress,0.378704,0.020168,0.384722,0.021321,0.306019,0.011109,0.106944,0.008656,0.121991,0.012324,0.374306,0.015033,0.150463,0.009049,0.14213,0.006388,0.211111,0.010495,0.263889,0.011617,0.334259,0.009498,0.268056,0.018729,0.371065,0.007772,0.186343,0.011483,0.078472,0.009881,0.127778,0.008813,0.382407,0.021914,0.381081,0.018953,10
ensemble_uncertainty_gate,contact_tail_shift,0.440046,0.014544,0.403241,0.012057,0.287269,0.013736,0.08912,0.006059,0.097685,0.005569,0.393981,0.011866,0.160417,0.011851,0.133796,0.007676,0.195602,0.014223,0.267824,0.009964,0.294676,0.015394,0.271759,0.015705,0.40162,0.008235,0.163889,0.008656,0.058333,0.008222,0.110417,0.007063,0.35625,0.018329,0.452741,0.013769,10
ensemble_uncertainty_gate,cross_robot_morphology,0.42037,0.017006,0.409722,0.012305,0.273843,0.018938,0.089583,0.005064,0.098611,0.00864,0.377083,0.012858,0.142593,0.011718,0.119444,0.012872,0.191898,0.01604,0.269444,0.008693,0.307639,0.012697,0.274769,0.009964,0.396065,0.015326,0.162731,0.00861,0.085417,0.009718,0.116898,0.010083,0.360185,0.020032,0.433897,0.017826,10
ensemble_uncertainty_gate,embodiment_shift,0.443056,0.010526,0.403935,0.013102,0.282639,0.01222,0.089352,0.007003,0.098148,0.009712,0.367824,0.012947,0.128935,0.005413,0.115278,0.009219,0.203009,0.01471,0.284954,0.015926,0.291898,0.010422,0.26875,0.014259,0.404167,0.008206,0.173148,0.012467,0.072222,0.007676,0.106713,0.009383,0.343519,0.011699,0.458492,0.010351,10
ensemble_uncertainty_gate,heldout_exception_composition,0.409954,0.013175,0.39537,0.014264,0.294444,0.013439,0.104861,0.008229,0.112269,0.01024,0.363194,0.014809,0.145602,0.009881,0.134954,0.012343,0.199769,0.008476,0.268519,0.0198,0.31088,0.018224,0.271991,0.016776,0.370833,0.014296,0.177315,0.011014,0.086574,0.008371,0.126852,0.010253,0.355556,0.016775,0.415693,0.012573,10
ensemble_uncertainty_gate,nominal_scaling,0.546528,0.012201,0.409491,0.013518,0.240278,0.013405,0.068519,0.009617,0.087037,0.010952,0.394676,0.01044,0.125,0.011277,0.105093,0.007446,0.174769,0.008427,0.294907,0.015573,0.263194,0.01294,0.262731,0.011423,0.420139,0.009807,0.155787,0.010674,0.05787,0.007158,0.08125,0.010356,0.286574,0.016784,0.573178,0.013592,10
ensemble_uncertainty_gate,recovery_scarcity,0.432407,0.01655,0.390509,0.018399,0.285185,0.013302,0.094907,0.009731,0.105324,0.013241,0.358796,0.016331,0.158796,0.008952,0.131944,0.011155,0.206019,0.00806,0.275,0.016879,0.306944,0.021698,0.261111,0.012577,0.397917,0.018991,0.159954,0.013619,0.068981,0.01005,0.115509,0.011878,0.350694,0.010763,0.440437,0.01692,10
ensemble_uncertainty_gate,shortcut_shift,0.439583,0.014623,0.390278,0.008344,0.284259,0.008813,0.088426,0.008195,0.103704,0.011232,0.388426,0.020734,0.131481,0.010922,0.121991,0.007593,0.199306,0.006677,0.265741,0.01728,0.294907,0.012872,0.264815,0.016403,0.384491,0.016532,0.188657,0.010635,0.061806,0.005937,0.110648,0.009293,0.3375,0.019809,0.45292,0.013782,10
generic_scaling_law_extrapolator,combined_exception_stress,0.2875,0.014628,0.226389,0.018777,0.334491,0.01398,0.167824,0.014991,0.2125,0.011613,0.250231,0.012145,0.22037,0.013507,0.237037,0.010306,0.170139,0.019204,0.37338,0.009709,0.439352,0.014232,0.441435,0.017946,0.230787,0.020604,0.268519,0.011378,0.103704,0.011374,0.174537,0.009303,0.465741,0.018108,0.225757,0.013271,10
generic_scaling_law_extrapolator,contact_tail_shift,0.384954,0.010566,0.24537,0.009249,0.330324,0.017151,0.144213,0.011278,0.210417,0.010378,0.273611,0.010452,0.2,0.013377,0.224074,0.015256,0.145833,0.010608,0.411574,0.013891,0.382639,0.013895,0.438194,0.011053,0.261574,0.012489,0.259491,0.011286,0.084491,0.006281,0.153704,0.010127,0.407639,0.012406,0.330069,0.011988,10
generic_scaling_law_extrapolator,cross_robot_morphology,0.347454,0.007454,0.24375,0.008871,0.30787,0.010123,0.148148,0.011792,0.20625,0.011527,0.280787,0.013203,0.192593,0.011191,0.208565,0.013669,0.15463,0.008916,0.388889,0.019602,0.407176,0.01421,0.440741,0.02036,0.257407,0.013094,0.246759,0.009922,0.105787,0.009225,0.163194,0.011855,0.42662,0.016623,0.293372,0.007301,10
generic_scaling_law_extrapolator,embodiment_shift,0.387269,0.015033,0.27037,0.01265,0.313889,0.011777,0.144213,0.006489,0.204398,0.014332,0.277778,0.011236,0.190278,0.019935,0.203704,0.013045,0.149306,0.009205,0.387963,0.017365,0.382407,0.012264,0.443056,0.013048,0.26088,0.017468,0.252315,0.015378,0.100463,0.00864,0.15787,0.010922,0.395602,0.02025,0.335898,0.016779,10
generic_scaling_law_extrapolator,heldout_exception_composition,0.318519,0.011138,0.244907,0.016824,0.323148,0.016065,0.156019,0.008952,0.2125,0.012264,0.265046,0.012658,0.210648,0.012249,0.245139,0.009835,0.164583,0.008101,0.389352,0.019866,0.414815,0.016919,0.424074,0.017751,0.237731,0.007593,0.275926,0.01613,0.104861,0.009566,0.159028,0.012231,0.440509,0.016373,0.262259,0.011701,10
generic_scaling_law_extrapolator,nominal_scaling,0.499074,0.014109,0.298843,0.007813,0.28588,0.020032,0.107176,0.008312,0.173148,0.012668,0.295833,0.017014,0.164815,0.013267,0.187269,0.00543,0.137731,0.008318,0.42338,0.011467,0.326157,0.008959,0.430556,0.012617,0.288889,0.016173,0.234259,0.007372,0.074769,0.006164,0.125,0.009396,0.329167,0.017412,0.466029,0.015087,10
generic_scaling_law_extrapolator,recovery_scarcity,0.36088,0.013399,0.252778,0.014087,0.32338,0.013323,0.162037,0.010456,0.210648,0.010651,0.25787,0.011777,0.205093,0.016136,0.214352,0.010783,0.147222,0.01242,0.403935,0.015188,0.396759,0.012511,0.435417,0.013279,0.265046,0.012457,0.263657,0.006141,0.097222,0.006049,0.166204,0.008735,0.414815,0.015815,0.30308,0.014748,10
generic_scaling_law_extrapolator,shortcut_shift,0.385648,0.013798,0.260185,0.010868,0.308565,0.01225,0.128935,0.011217,0.202315,0.00957,0.280093,0.015108,0.191667,0.007911,0.22037,0.011494,0.159028,0.011094,0.397454,0.01278,0.384491,0.016724,0.443287,0.013848,0.241435,0.011011,0.266898,0.016077,0.081019,0.008688,0.145602,0.01011,0.390509,0.015776,0.334006,0.015047,10
invariance_penalty_policy,combined_exception_stress,0.406944,0.017738,0.354398,0.013123,0.29537,0.015411,0.121065,0.008689,0.117593,0.011827,0.356019,0.019855,0.171528,0.007987,0.143056,0.008761,0.191667,0.011474,0.292824,0.019228,0.324306,0.014685,0.294444,0.012038,0.362963,0.011006,0.15162,0.009571,0.061806,0.00631,0.146991,0.009106,0.353009,0.017047,0.400421,0.019922,10
invariance_penalty_policy,contact_tail_shift,0.46412,0.020562,0.362269,0.009923,0.27963,0.010473,0.112037,0.009498,0.11412,0.004972,0.38287,0.013815,0.170602,0.01422,0.134491,0.012088,0.166204,0.013523,0.30787,0.0164,0.300694,0.0104,0.296065,0.016559,0.394213,0.011578,0.133796,0.010386,0.048611,0.003944,0.111806,0.006013,0.336574,0.019986,0.465858,0.021008,10
invariance_penalty_policy,cross_robot_morphology,0.462731,0.011936,0.37338,0.015003,0.280093,0.014864,0.115972,0.012313,0.117361,0.009176,0.365278,0.018741,0.167593,0.006564,0.125926,0.009991,0.173843,0.010704,0.302083,0.015367,0.313889,0.018636,0.303472,0.015311,0.386574,0.009493,0.12963,0.012305,0.069907,0.009069,0.128472,0.013649,0.32037,0.013222,0.462257,0.012194,10
invariance_penalty_policy,embodiment_shift,0.47963,0.0129,0.368287,0.016915,0.275694,0.011081,0.104861,0.009987,0.111111,0.008031,0.371296,0.018488,0.156713,0.012762,0.121759,0.006316,0.165972,0.010369,0.301852,0.023333,0.30463,0.018928,0.296759,0.016328,0.396991,0.013666,0.13125,0.007317,0.06875,0.009802,0.12338,0.01322,0.313657,0.016598,0.484949,0.012617,10
invariance_penalty_policy,heldout_exception_composition,0.440972,0.014541,0.350463,0.013798,0.275463,0.014187,0.112037,0.008289,0.125231,0.011427,0.367361,0.018349,0.165972,0.011217,0.145139,0.00703,0.165278,0.009876,0.304398,0.014573,0.316435,0.015185,0.312963,0.016564,0.362037,0.0181,0.153472,0.014834,0.061806,0.006489,0.121759,0.009546,0.326852,0.015226,0.436619,0.012998,10
invariance_penalty_policy,nominal_scaling,0.567361,0.013484,0.399306,0.01089,0.239352,0.014077,0.084491,0.009853,0.105093,0.012621,0.392593,0.02111,0.134491,0.007236,0.110648,0.009703,0.153704,0.006057,0.334259,0.018314,0.266667,0.011847,0.305093,0.01583,0.427778,0.015641,0.127778,0.009796,0.044444,0.003754,0.094676,0.00948,0.27037,0.009069,0.586,0.013397,10
invariance_penalty_policy,recovery_scarcity,0.450926,0.012953,0.36875,0.009987,0.263194,0.010652,0.107639,0.006872,0.114352,0.011893,0.360185,0.018512,0.166204,0.011866,0.133333,0.008453,0.177546,0.00905,0.324769,0.017857,0.30787,0.01792,0.288426,0.009922,0.389583,0.008033,0.142361,0.007386,0.053935,0.005018,0.130556,0.007864,0.332639,0.014679,0.452841,0.011788,10
