variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.6067,0.3933,0.0207
observed_only_behavior_clone,nominal,1,600,0.5900,0.4100,0.0075
observed_only_behavior_clone,nominal,2,600,0.5950,0.4050,0.0075
observed_only_behavior_clone,nominal,3,600,0.5800,0.4200,0.0082
observed_only_behavior_clone,nominal,4,600,0.5950,0.4050,0.0019
observed_only_behavior_clone,nominal,5,600,0.6100,0.3900,0.0104
observed_only_behavior_clone,nominal,6,600,0.5967,0.4033,0.0003
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4133,0.5867,0.0071
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4217,0.5783,0.0039
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4167,0.5833,0.0089
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4350,0.5650,0.0265
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4017,0.5983,0.0117
observed_only_behavior_clone,hidden_mode_shift,5,600,0.4333,0.5667,0.0134
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4333,0.5667,0.0161
observed_only_behavior_clone,embodiment_shift,0,600,0.4350,0.5650,0.0039
observed_only_behavior_clone,embodiment_shift,1,600,0.4567,0.5433,0.0063
observed_only_behavior_clone,embodiment_shift,2,600,0.4700,0.5300,0.0296
observed_only_behavior_clone,embodiment_shift,3,600,0.4133,0.5867,0.0278
observed_only_behavior_clone,embodiment_shift,4,600,0.4267,0.5733,0.0193
observed_only_behavior_clone,embodiment_shift,5,600,0.4117,0.5883,0.0408
observed_only_behavior_clone,embodiment_shift,6,600,0.4367,0.5633,0.0132
observed_only_behavior_clone,combined_stress,0,600,0.3317,0.6683,0.0104
observed_only_behavior_clone,combined_stress,1,600,0.3267,0.6733,0.0061
observed_only_behavior_clone,combined_stress,2,600,0.3367,0.6633,0.0139
observed_only_behavior_clone,combined_stress,3,600,0.3650,0.6350,0.0415
observed_only_behavior_clone,combined_stress,4,600,0.3200,0.6800,0.0084
observed_only_behavior_clone,combined_stress,5,600,0.3300,0.6700,0.0049
observed_only_behavior_clone,combined_stress,6,600,0.3183,0.6817,0.0139
data_augmentation_wam,nominal,0,600,0.6433,0.3567,0.0006
data_augmentation_wam,nominal,1,600,0.6800,0.3200,0.0383
data_augmentation_wam,nominal,2,600,0.6333,0.3667,0.0051
data_augmentation_wam,nominal,3,600,0.6583,0.3417,0.0299
data_augmentation_wam,nominal,4,600,0.6300,0.3700,0.0209
data_augmentation_wam,nominal,5,600,0.6233,0.3767,0.0136
data_augmentation_wam,nominal,6,600,0.6733,0.3267,0.0308
data_augmentation_wam,hidden_mode_shift,0,600,0.4700,0.5300,0.0224
data_augmentation_wam,hidden_mode_shift,1,600,0.4967,0.5033,0.0053
data_augmentation_wam,hidden_mode_shift,2,600,0.5083,0.4917,0.0304
data_augmentation_wam,hidden_mode_shift,3,600,0.4700,0.5300,0.0081
data_augmentation_wam,hidden_mode_shift,4,600,0.5217,0.4783,0.0211
data_augmentation_wam,hidden_mode_shift,5,600,0.4817,0.5183,0.0050
data_augmentation_wam,hidden_mode_shift,6,600,0.4867,0.5133,0.0056
data_augmentation_wam,embodiment_shift,0,600,0.5267,0.4733,0.0069
data_augmentation_wam,embodiment_shift,1,600,0.5550,0.4450,0.0362
data_augmentation_wam,embodiment_shift,2,600,0.5233,0.4767,0.0180
data_augmentation_wam,embodiment_shift,3,600,0.5000,0.5000,0.0055
data_augmentation_wam,embodiment_shift,4,600,0.4667,0.5333,0.0613
data_augmentation_wam,embodiment_shift,5,600,0.4883,0.5117,0.0257
data_augmentation_wam,embodiment_shift,6,600,0.5133,0.4867,0.0063
data_augmentation_wam,combined_stress,0,600,0.3950,0.6050,0.0264
data_augmentation_wam,combined_stress,1,600,0.4083,0.5917,0.0121
data_augmentation_wam,combined_stress,2,600,0.4383,0.5617,0.0314
data_augmentation_wam,combined_stress,3,600,0.3683,0.6317,0.0388
data_augmentation_wam,combined_stress,4,600,0.4217,0.5783,0.0079
data_augmentation_wam,combined_stress,5,600,0.4033,0.5967,0.0123
data_augmentation_wam,combined_stress,6,600,0.3800,0.6200,0.0412
scalar_uncertainty_planner,nominal,0,600,0.6667,0.3333,0.0056
