risk_budget,method,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_recovery_success,ci95_recovery_success,mean_tail_risk_rate,ci95_tail_risk_rate,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_average_scaling_gain,ci95_average_scaling_gain,mean_boundary_risk_slope,ci95_boundary_risk_slope,mean_scale_exception_gap,ci95_scale_exception_gap,mean_boundary_coverage,ci95_boundary_coverage,mean_shortcut_reliance,ci95_shortcut_reliance,mean_morphology_transfer_gap,ci95_morphology_transfer_gap,mean_recoverability_deficit,ci95_recoverability_deficit,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,mean_coverage,ci95_coverage,mean_risk_score,ci95_risk_score,groups
0.08,compute_balanced_scaling,0,0.128435,0.019437,0.289352,0.042367,0.337963,0.043331,0.208333,0.036408,0.226852,0.043491,0.331019,0.043099,0.25,0.039831,0.229167,0.043072,0.180556,0.034645,0.344907,0.047624,0.388889,0.040351,0.391204,0.048851,0.261574,0.04326,0.263889,0.041247,0.092593,0.025756,0.171296,0.030969,0.0,0.0,0.078811,0.017674,0.18934,0.041569,0.22625,0.023273,72
0.08,compute_balanced_scaling,1,0.140541,0.025783,0.289352,0.034791,0.347222,0.044179,0.199074,0.038573,0.19213,0.039122,0.25463,0.040851,0.215278,0.037363,0.196759,0.036164,0.166667,0.031654,0.340278,0.042092,0.456019,0.045686,0.372685,0.040088,0.238426,0.045609,0.256944,0.046566,0.078704,0.022357,0.185185,0.038528,0.0,0.0,0.094362,0.024855,0.18203,0.04512,0.202454,0.020056,72
0.08,compute_balanced_scaling,2,0.147376,0.024416,0.238426,0.03758,0.342593,0.04787,0.134259,0.032717,0.210648,0.039827,0.238426,0.034084,0.180556,0.03583,0.224537,0.035484,0.164352,0.033879,0.391204,0.047551,0.377315,0.04614,0.418981,0.049205,0.252315,0.040862,0.238426,0.038675,0.090278,0.028118,0.168981,0.03509,0.0,0.0,0.106308,0.024338,0.224653,0.043427,0.170926,0.020414,72
0.08,compute_balanced_scaling,3,0.139134,0.018293,0.273148,0.038932,0.328704,0.049197,0.162037,0.036535,0.185185,0.040121,0.293981,0.041621,0.215278,0.041088,0.226852,0.038932,0.141204,0.026373,0.375,0.045574,0.388889,0.041874,0.375,0.042738,0.273148,0.038932,0.293981,0.039564,0.092593,0.024932,0.145833,0.034758,0.0,0.0,0.097206,0.018932,0.213625,0.042643,0.188657,0.020642,72
0.08,compute_balanced_scaling,4,0.128337,0.018568,0.291667,0.045574,0.337963,0.04834,0.178241,0.041537,0.208333,0.034037,0.310185,0.041527,0.233796,0.033982,0.212963,0.040979,0.168981,0.039033,0.358796,0.050324,0.409722,0.047012,0.414352,0.044762,0.259259,0.038708,0.268519,0.037429,0.113426,0.032836,0.175926,0.037614,0.0,0.0,0.084684,0.018456,0.198764,0.038125,0.203796,0.020321,72
0.08,compute_balanced_scaling,5,0.133892,0.026513,0.252315,0.039299,0.377315,0.041871,0.143519,0.034978,0.208333,0.036408,0.296296,0.039947,0.210648,0.040348,0.196759,0.04052,0.166667,0.03539,0.37037,0.049302,0.444444,0.046143,0.423611,0.046566,0.268519,0.041652,0.238426,0.035874,0.104167,0.028487,0.171296,0.032929,0.0,0.0,0.094131,0.025009,0.221556,0.040997,0.180648,0.021298,72
0.08,compute_balanced_scaling,6,0.1444,0.021202,0.240741,0.041317,0.287037,0.041985,0.173611,0.037918,0.166667,0.039303,0.300926,0.046879,0.224537,0.045303,0.238426,0.039739,0.171296,0.032929,0.388889,0.049631,0.405093,0.045609,0.425926,0.050419,0.268519,0.038528,0.229167,0.042585,0.106481,0.027645,0.150463,0.03241,0.0,0.0,0.100333,0.022512,0.20791,0.041928,0.19412,0.020209,72
0.08,compute_balanced_scaling,7,0.141877,0.024019,0.289352,0.044762,0.347222,0.049102,0.131944,0.030945,0.203704,0.037242,0.324074,0.044714,0.217593,0.041694,0.217593,0.039111,0.131944,0.038735,0.402778,0.048244,0.476852,0.048052,0.435185,0.043611,0.275463,0.043421,0.282407,0.040164,0.099537,0.028649,0.175926,0.038165,0.0,0.0,0.103071,0.023434,0.236792,0.043342,0.17912,0.019183,72
0.08,compute_balanced_scaling,8,0.147899,0.021284,0.280093,0.042775,0.342593,0.044245,0.164352,0.03568,0.178241,0.035582,0.273148,0.047615,0.25463,0.042846,0.203704,0.0318,0.171296,0.032289,0.351852,0.044087,0.358796,0.043661,0.400463,0.047331,0.273148,0.043008,0.266204,0.046441,0.083333,0.026641,0.125,0.033418,0.0,0.0,0.103021,0.022233,0.218609,0.042296,0.19787,0.018782,72
0.08,compute_balanced_scaling,9,0.14649,0.021748,0.263889,0.042247,0.342593,0.045178,0.150463,0.034891,0.203704,0.037799,0.273148,0.044441,0.238426,0.039211,0.215278,0.037363,0.18287,0.034891,0.337963,0.043331,0.405093,0.057002,0.391204,0.045762,0.240741,0.037614,0.25,0.040865,0.094907,0.025705,0.175926,0.035911,0.0,0.0,0.099062,0.022097,0.187495,0.038983,0.192917,0.019609,72
0.08,conformal_risk_filter,0,0.237805,0.031431,0.402778,0.049102,0.273148,0.041527,0.085648,0.030302,0.085648,0.025019,0.414352,0.045226,0.155093,0.029839,0.106481,0.031193,0.194444,0.038226,0.247685,0.042367,0.277778,0.043823,0.215278,0.038464,0.386574,0.045149,0.166667,0.03539,0.087963,0.030969,0.127315,0.029955,0.0,0.0,0.238582,0.033347,0.406789,0.049774,0.108565,0.016803,72
0.08,conformal_risk_filter,1,0.241234,0.037688,0.395833,0.045431,0.289352,0.040348,0.097222,0.028715,0.090278,0.028851,0.37037,0.048448,0.159722,0.031941,0.113426,0.028035,0.201389,0.038192,0.289352,0.041871,0.275463,0.038854,0.231481,0.037982,0.395833,0.043072,0.178241,0.037856,0.064815,0.024651,0.122685,0.028891,0.0,0.0,0.236255,0.039593,0.41116,0.048181,0.116343,0.017094,72
0.08,conformal_risk_filter,2,0.234968,0.032019,0.409722,0.045201,0.296296,0.043451,0.083333,0.025025,0.111111,0.030988,0.381944,0.047233,0.157407,0.033505,0.136574,0.031869,0.229167,0.042092,0.222222,0.034796,0.298611,0.044267,0.266204,0.036926,0.407407,0.046544,0.206019,0.03509,0.053241,0.02222,0.136574,0.034991,0.0,0.0,0.233208,0.034135,0.428294,0.048492,0.11588,0.013863,72
0.08,conformal_risk_filter,3,0.25863,0.037537,0.393519,0.049759,0.303241,0.039476,0.090278,0.028118,0.097222,0.024815,0.384259,0.048196,0.12963,0.033712,0.131944,0.032907,0.180556,0.033418,0.268519,0.041652,0.328704,0.045676,0.229167,0.035647,0.398148,0.041652,0.138889,0.026641,0.083333,0.025025,0.12037,0.033087,0.0,0.0,0.25876,0.040281,0.4241,0.044255,0.1075,0.01502,72
0.08,conformal_risk_filter,4,0.242758,0.038551,0.407407,0.040294,0.3125,0.049182,0.06713,0.023881,0.12037,0.03245,0.37963,0.045332,0.122685,0.037114,0.122685,0.032302,0.243056,0.04566,0.261574,0.044685,0.314815,0.04215,0.268519,0.042643,0.384259,0.051138,0.189815,0.046281,0.108796,0.031759,0.12037,0.030459,0.0,0.0,0.243608,0.041807,0.414023,0.054616,0.098935,0.015541,72
0.08,conformal_risk_filter,5,0.261362,0.032148,0.407407,0.045638,0.240741,0.042315,0.094907,0.027281,0.085648,0.02584,0.358796,0.045072,0.159722,0.035647,0.131944,0.031613,0.240741,0.038165,0.219907,0.034691,0.31713,0.046216,0.226852,0.041527,0.402778,0.045574,0.175926,0.035911,0.053241,0.020254,0.12963,0.030459,0.0,0.0,0.257265,0.033626,0.42013,0.04868,0.116389,0.016154,72
0.08,conformal_risk_filter,6,0.235065,0.035634,0.43287,0.045533,0.291667,0.044179,0.099537,0.025569,0.094907,0.025705,0.425926,0.040294,0.175926,0.030913,0.113426,0.031539,0.203704,0.037242,0.270833,0.045431,0.303241,0.041537,0.259259,0.04377,0.393519,0.045828,0.185185,0.035717,0.064815,0.022895,0.118056,0.029917,0.0,0.0,0.232684,0.039842,0.401495,0.048787,0.123009,0.016388,72
0.08,conformal_risk_filter,7,0.244811,0.034949,0.384259,0.049899,0.284722,0.047233,0.099537,0.027911,0.081019,0.02417,0.388889,0.050465,0.12963,0.03245,0.099537,0.03273,0.263889,0.044179,0.256944,0.040833,0.337963,0.043331,0.273148,0.042026,0.430556,0.048244,0.217593,0.046432,0.069444,0.023959,0.106481,0.026091,0.0,0.0,0.246317,0.037731,0.450681,0.051514,0.105231,0.0172,72
0.08,conformal_risk_filter,8,0.240866,0.032519,0.412037,0.04834,0.268519,0.045485,0.090278,0.026592,0.090278,0.029566,0.393519,0.043008,0.12963,0.036104,0.12963,0.029766,0.208333,0.04175,0.289352,0.037672,0.298611,0.041843,0.273148,0.044441,0.365741,0.04317,0.166667,0.034796,0.113426,0.032194,0.136574,0.029131,0.0,0.0,0.238858,0.035692,0.390056,0.048953,0.106019,0.017121,72
0.08,conformal_risk_filter,9,0.248453,0.032431,0.425926,0.046544,0.296296,0.042968,0.0625,0.01985,0.094907,0.032836,0.361111,0.041373,0.150463,0.031095,0.12037,0.027582,0.24537,0.041861,0.252315,0.044294,0.335648,0.038494,0.273148,0.042026,0.421296,0.052082,0.19213,0.041704,0.05787,0.021585,0.108796,0.029722,0.0,0.0,0.249667,0.033505,0.453898,0.053328,0.100509,0.013791,72
0.08,data_only_scaling,0,0.129117,0.02214,0.296296,0.037242,0.310185,0.036152,0.152778,0.03583,0.196759,0.038944,0.289352,0.043341,0.196759,0.036164,0.210648,0.034791,0.199074,0.036914,0.284722,0.044969,0.412037,0.042356,0.337963,0.043331,0.240741,0.039772,0.261574,0.045609,0.087963,0.030969,0.180556,0.034645,0.0,0.0,0.093331,0.022269,0.193264,0.041423,0.179676,0.020875,72
0.08,data_only_scaling,1,0.113746,0.019601,0.266204,0.040175,0.377315,0.045686,0.18287,0.036068,0.25463,0.04381,0.300926,0.04119,0.231481,0.040121,0.206019,0.043099,0.171296,0.039816,0.24537,0.04381,0.400463,0.04318,0.375,0.045114,0.238426,0.045609,0.284722,0.049814,0.12037,0.031137,0.185185,0.040121,0.0,0.0,0.070049,0.020327,0.17325,0.046339,0.212685,0.021011,72
0.08,data_only_scaling,2,0.115289,0.020816,0.226852,0.036725,0.358796,0.044607,0.173611,0.031941,0.164352,0.029955,0.259259,0.039772,0.25463,0.035374,0.238426,0.03702,0.171296,0.039816,0.319444,0.040737,0.430556,0.051184,0.354167,0.040833,0.217593,0.038028,0.266204,0.03804,0.097222,0.024815,0.208333,0.036977,0.0,0.0,0.073509,0.018998,0.155132,0.035238,0.202731,0.0168,72
0.08,data_only_scaling,3,0.102853,0.021578,0.263889,0.044649,0.358796,0.048636,0.164352,0.03626,0.229167,0.044031,0.293981,0.042612,0.217593,0.039641,0.208333,0.038633,0.164352,0.03509,0.30787,0.046888,0.474537,0.051957,0.388889,0.044297,0.224537,0.036642,0.268519,0.041148,0.108796,0.027535,0.162037,0.034173,0.0,0.0,0.068737,0.019677,0.172095,0.037718,0.196389,0.021156,72
0.08,data_only_scaling,4,0.119805,0.020142,0.215278,0.037363,0.326389,0.041088,0.203704,0.039421,0.219907,0.035874,0.287037,0.038347,0.212963,0.038888,0.196759,0.033777,0.166667,0.037118,0.3125,0.044737,0.402778,0.054349,0.386574,0.047843,0.238426,0.039211,0.25,0.040865,0.101852,0.032664,0.173611,0.033223,0.0,0.0,0.070095,0.017587,0.167569,0.03856,0.208704,0.021744,72
0.08,data_only_scaling,5,0.116163,0.022499,0.268519,0.040638,0.305556,0.049208,0.180556,0.03583,0.189815,0.03557,0.233796,0.043661,0.210648,0.041369,0.210648,0.038222,0.173611,0.032588,0.331019,0.047258,0.381944,0.046789,0.400463,0.042202,0.201389,0.038735,0.236111,0.040737,0.115741,0.030057,0.212963,0.04579,0.0,0.0,0.07258,0.022414,0.148852,0.034106,0.194259,0.020325,72
0.08,data_only_scaling,6,0.12616,0.029528,0.280093,0.040776,0.333333,0.040865,0.155093,0.036164,0.194444,0.037676,0.261574,0.040261,0.206019,0.03568,0.233796,0.041201,0.185185,0.043611,0.368056,0.043793,0.421296,0.053661,0.321759,0.050185,0.263889,0.048244,0.219907,0.03702,0.115741,0.030057,0.185185,0.039066,0.0,0.0,0.095405,0.029438,0.221586,0.050039,0.185324,0.020627,72
0.08,data_only_scaling,7,0.129719,0.021978,0.247685,0.035386,0.354167,0.043793,0.134259,0.032073,0.215278,0.035057,0.289352,0.045226,0.1875,0.03927,0.194444,0.03419,0.166667,0.03539,0.324074,0.045638,0.412037,0.044284,0.368056,0.047454,0.231481,0.047725,0.266204,0.036356,0.097222,0.028715,0.171296,0.037102,0.0,0.0,0.093732,0.021098,0.209433,0.046593,0.170833,0.019486,72
0.08,data_only_scaling,8,0.127052,0.022362,0.229167,0.040059,0.337963,0.04381,0.168981,0.036832,0.206019,0.040605,0.287037,0.046244,0.231481,0.040121,0.189815,0.037845,0.166667,0.039831,0.333333,0.040865,0.435185,0.047725,0.347222,0.042738,0.194444,0.036551,0.261574,0.042775,0.101852,0.029295,0.203704,0.040466,0.0,0.0,0.084579,0.022214,0.147181,0.036337,0.196481,0.022731,72
0.08,data_only_scaling,9,0.125898,0.019646,0.252315,0.038222,0.314815,0.044558,0.162037,0.031636,0.194444,0.034796,0.280093,0.041788,0.24537,0.044753,0.18287,0.034891,0.199074,0.04068,0.37037,0.04579,0.416667,0.047481,0.37037,0.046693,0.243056,0.036515,0.247685,0.042367,0.094907,0.02488,0.178241,0.04052,0.0,0.0,0.080147,0.019519,0.184097,0.03672,0.194954,0.022904,72
0.08,dropout_risk_filter,0,0.224765,0.030639,0.37963,0.048015,0.277778,0.040865,0.083333,0.027413,0.101852,0.025484,0.395833,0.045888,0.141204,0.030758,0.12037,0.030459,0.226852,0.037845,0.261574,0.035288,0.331019,0.044057,0.261574,0.041788,0.384259,0.050728,0.164352,0.03568,0.083333,0.026641,0.143519,0.034376,0.0,0.0,0.22239,0.032696,0.408877,0.053686,0.107731,0.014905,72
0.08,dropout_risk_filter,1,0.222476,0.034228,0.412037,0.040851,0.321759,0.047184,0.085648,0.026635,0.101852,0.027833,0.37037,0.048448,0.157407,0.035325,0.097222,0.029433,0.215278,0.041593,0.240741,0.039244,0.324074,0.04377,0.273148,0.041527,0.381944,0.048541,0.194444,0.04237,0.071759,0.026505,0.127315,0.031978,0.0,0.0,0.217344,0.034902,0.39922,0.046639,0.11125,0.01756,72
0.08,dropout_risk_filter,2,0.229013,0.032454,0.400463,0.041201,0.293981,0.045457,0.104167,0.031281,0.090278,0.026592,0.356481,0.04537,0.162037,0.036535,0.113426,0.02877,0.219907,0.038131,0.284722,0.043554,0.31713,0.04484,0.25,0.041874,0.377315,0.053669,0.19213,0.041704,0.083333,0.027413,0.138889,0.032947,0.0,0.0,0.222887,0.03615,0.390007,0.058071,0.119954,0.016906,72
0.08,dropout_risk_filter,3,0.242446,0.029817,0.402778,0.044649,0.268519,0.041652,0.092593,0.028082,0.099537,0.031429,0.37963,0.048015,0.127315,0.033258,0.106481,0.02839,0.203704,0.039947,0.247685,0.042856,0.3125,0.042829,0.25463,0.038753,0.386574,0.049977,0.173611,0.041593,0.076389,0.021369,0.115741,0.027896,0.0,0.0,0.241762,0.033489,0.407937,0.053492,0.105648,0.017557,72
0.08,dropout_risk_filter,4,0.228101,0.031773,0.342593,0.049584,0.296296,0.038888,0.097222,0.030134,0.083333,0.026641,0.368056,0.047454,0.12037,0.026024,0.122685,0.034186,0.231481,0.040121,0.256944,0.041341,0.342593,0.040808,0.261574,0.038675,0.354167,0.039798,0.215278,0.037363,0.106481,0.027645,0.12037,0.029056,0.0,0.0,0.220122,0.033199,0.383819,0.041807,0.104213,0.015343,72
0.08,dropout_risk_filter,5,0.223008,0.032783,0.37037,0.048015,0.263889,0.046481,0.111111,0.031654,0.101852,0.02629,0.405093,0.041788,0.173611,0.035647,0.094907,0.027281,0.206019,0.041621,0.275463,0.039388,0.293981,0.039564,0.238426,0.035288,0.358796,0.048636,0.199074,0.039641,0.064815,0.020993,0.150463,0.031759,0.0,0.0,0.211961,0.035524,0.365611,0.050832,0.126574,0.017421,72
0.08,dropout_risk_filter,6,0.217979,0.029572,0.402778,0.047371,0.296296,0.042968,0.115741,0.027896,0.12963,0.03245,0.398148,0.040638,0.162037,0.037102,0.12037,0.033087,0.201389,0.038735,0.273148,0.037845,0.296296,0.042479,0.256944,0.042829,0.384259,0.044597,0.155093,0.034389,0.078704,0.026619,0.145833,0.035939,0.0,0.0,0.206836,0.033614,0.377461,0.049448,0.132593,0.018146,72
0.08,dropout_risk_filter,7,0.216711,0.030365,0.416667,0.045689,0.319444,0.049525,0.108796,0.028283,0.101852,0.028573,0.425926,0.046544,0.136574,0.03053,0.097222,0.027222,0.217593,0.04119,0.268519,0.041652,0.340278,0.046789,0.25,0.044297,0.372685,0.044057,0.18287,0.033048,0.099537,0.028649,0.141204,0.03273,0.0,0.0,0.214987,0.033281,0.38981,0.047324,0.114722,0.014643,72
0.08,dropout_risk_filter,8,0.233819,0.034386,0.405093,0.049558,0.300926,0.042684,0.101852,0.027073,0.108796,0.029011,0.402778,0.05279,0.136574,0.031207,0.155093,0.038404,0.210648,0.039827,0.25,0.039303,0.298611,0.044737,0.238426,0.035874,0.372685,0.048565,0.166667,0.038226,0.101852,0.027073,0.136574,0.03053,0.0,0.0,0.22962,0.037115,0.389303,0.04933,0.118843,0.015838,72
0.08,dropout_risk_filter,9,0.20379,0.030755,0.428241,0.042775,0.280093,0.042775,0.081019,0.025019,0.12963,0.0318,0.363426,0.047184,0.189815,0.038392,0.136574,0.035582,0.215278,0.031281,0.229167,0.035057,0.347222,0.046481,0.231481,0.040638,0.416667,0.046143,0.168981,0.037948,0.069444,0.023072,0.108796,0.029011,0.0,0.0,0.199698,0.03385,0.420118,0.047821,0.127963,0.018096,72
0.08,ensemble_uncertainty_gate,0,0.205587,0.027401,0.4375,0.058666,0.328704,0.04834,0.104167,0.026982,0.101852,0.027833,0.386574,0.046065,0.164352,0.03568,0.155093,0.034389,0.226852,0.038932,0.261574,0.041788,0.331019,0.045457,0.277778,0.05005,0.391204,0.048851,0.196759,0.043501,0.099537,0.030071,0.143519,0.03314,0.0,0.0,0.200126,0.027214,0.396336,0.051106,0.126898,0.017382,72
0.08,ensemble_uncertainty_gate,1,0.184286,0.027596,0.398148,0.039597,0.314815,0.046394,0.12963,0.027582,0.152778,0.034645,0.393519,0.043491,0.162037,0.031636,0.131944,0.031613,0.208333,0.043704,0.275463,0.039388,0.3125,0.045201,0.215278,0.041088,0.358796,0.049487,0.196759,0.043978,0.090278,0.032266,0.118056,0.032588,0.0,0.0,0.169913,0.027837,0.348625,0.051952,0.14375,0.014962,72
0.08,ensemble_uncertainty_gate,2,0.212088,0.029505,0.340278,0.038464,0.291667,0.035243,0.108796,0.031095,0.101852,0.02629,0.388889,0.038226,0.164352,0.036832,0.12037,0.029056,0.208333,0.039699,0.263889,0.038089,0.314815,0.046394,0.256944,0.045201,0.37963,0.045332,0.180556,0.040737,0.076389,0.024122,0.125,0.034645,0.0,0.0,0.200689,0.030959,0.381269,0.051757,0.12537,0.018184,72
0.08,ensemble_uncertainty_gate,3,0.191354,0.03229,0.363426,0.043501,0.333333,0.039303,0.092593,0.028082,0.101852,0.030687,0.400463,0.048636,0.138889,0.035975,0.138889,0.036551,0.210648,0.043341,0.266204,0.039122,0.349537,0.046216,0.289352,0.037114,0.384259,0.048627,0.159722,0.035057,0.048611,0.01985,0.136574,0.031869,0.0,0.0,0.188405,0.034136,0.408363,0.049243,0.112778,0.013347,72
0.08,ensemble_uncertainty_gate,4,0.233807,0.029659,0.421296,0.052878,0.303241,0.041032,0.125,0.035243,0.138889,0.030988,0.377315,0.049628,0.12963,0.029766,0.148148,0.040121,0.238426,0.03758,0.224537,0.036642,0.328704,0.04381,0.319444,0.045114,0.372685,0.036832,0.185185,0.039597,0.071759,0.02488,0.113426,0.028035,0.0,0.0,0.218055,0.03277,0.375563,0.044656,0.131204,0.019016,72
0.08,ensemble_uncertainty_gate,5,0.238094,0.031491,0.416667,0.044766,0.270833,0.036228,0.115741,0.033969,0.141204,0.033982,0.342593,0.044714,0.166667,0.036551,0.138889,0.031654,0.194444,0.047919,0.270833,0.0368,0.324074,0.046544,0.293981,0.045457,0.365741,0.04598,0.206019,0.039033,0.085648,0.02584,0.141204,0.035189,0.0,0.0,0.222414,0.034082,0.363197,0.052434,0.137917,0.016466,72
0.08,ensemble_uncertainty_gate,6,0.211039,0.03034,0.388889,0.048782,0.300926,0.041694,0.111111,0.030306,0.125,0.034037,0.384259,0.048196,0.12963,0.03245,0.150463,0.028283,0.229167,0.041088,0.273148,0.03999,0.351852,0.047285,0.231481,0.041652,0.368056,0.046566,0.215278,0.042585,0.074074,0.026554,0.104167,0.029917,0.0,0.0,0.204255,0.031627,0.383169,0.048901,0.123102,0.016706,72
0.08,ensemble_uncertainty_gate,7,0.223657,0.029709,0.375,0.043704,0.30787,0.04318,0.097222,0.026444,0.101852,0.03136,0.326389,0.044031,0.150463,0.03241,0.145833,0.032907,0.206019,0.03449,0.282407,0.036344,0.331019,0.044529,0.273148,0.047615,0.356481,0.03999,0.166667,0.033574,0.097222,0.028715,0.125,0.030134,0.0,0.0,0.210615,0.031008,0.368569,0.043069,0.118889,0.015593,72
0.08,ensemble_uncertainty_gate,8,0.223544,0.029972,0.333333,0.038226,0.310185,0.048052,0.085648,0.025019,0.115741,0.030743,0.356481,0.048052,0.157407,0.031581,0.150463,0.033673,0.180556,0.034037,0.238426,0.04374,0.342593,0.043291,0.261574,0.044215,0.354167,0.050023,0.164352,0.03626,0.081019,0.023291,0.148148,0.033918,0.0,0.0,0.212228,0.031854,0.370942,0.05149,0.119074,0.016027,72
0.08,ensemble_uncertainty_gate,9,0.20968,0.031682,0.372685,0.05425,0.298611,0.042339,0.099537,0.026373,0.138889,0.031654,0.386574,0.051215,0.141204,0.030071,0.141204,0.031429,0.208333,0.040737,0.282407,0.045063,0.356481,0.04252,0.261574,0.042284,0.37963,0.051781,0.19213,0.036356,0.060185,0.020742,0.122685,0.026635,0.0,0.0,0.201045,0.033769,0.38772,0.051175,0.123287,0.016486,72
