risk_budget,method,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_recovery_success,ci95_recovery_success,mean_tail_risk_rate,ci95_tail_risk_rate,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_average_scaling_gain,ci95_average_scaling_gain,mean_boundary_risk_slope,ci95_boundary_risk_slope,mean_scale_exception_gap,ci95_scale_exception_gap,mean_boundary_coverage,ci95_boundary_coverage,mean_shortcut_reliance,ci95_shortcut_reliance,mean_morphology_transfer_gap,ci95_morphology_transfer_gap,mean_recoverability_deficit,ci95_recoverability_deficit,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,mean_coverage,ci95_coverage,mean_risk_score,ci95_risk_score,groups
0.08,boundary_aware_scale_exception_audit_v5,0,0.476697,0.035698,0.645833,0.041843,0.201389,0.040319,0.053241,0.020254,0.032407,0.017858,0.585648,0.044762,0.087963,0.021403,0.032407,0.015343,0.273148,0.043008,0.275463,0.041954,0.222222,0.047481,0.263889,0.038633,0.643519,0.044908,0.085648,0.025019,0.030093,0.014912,0.060185,0.020742,0.0,0.0,0.541523,0.038073,0.702727,0.041896,0.057824,0.011289,72
0.08,boundary_aware_scale_exception_audit_v5,1,0.464204,0.047218,0.597222,0.043224,0.210648,0.039299,0.039352,0.016465,0.018519,0.012184,0.62963,0.046693,0.083333,0.024176,0.025463,0.015372,0.19213,0.040175,0.331019,0.044057,0.1875,0.040319,0.224537,0.037207,0.590278,0.050439,0.101852,0.027833,0.046296,0.020658,0.069444,0.021185,0.0,0.0,0.526068,0.049066,0.656146,0.049635,0.047407,0.010476,72
0.08,boundary_aware_scale_exception_audit_v5,2,0.497502,0.039845,0.634259,0.04317,0.168981,0.033258,0.034722,0.018204,0.039352,0.01883,0.555556,0.044766,0.060185,0.020742,0.023148,0.013407,0.231481,0.035717,0.289352,0.042856,0.196759,0.036164,0.201389,0.04566,0.659722,0.038464,0.094907,0.02877,0.020833,0.012821,0.078704,0.028876,0.0,0.0,0.571305,0.040885,0.727701,0.038111,0.042037,0.01003,72
0.08,boundary_aware_scale_exception_audit_v5,3,0.472933,0.041416,0.657407,0.045178,0.189815,0.043008,0.053241,0.020254,0.023148,0.013407,0.56713,0.048636,0.101852,0.03136,0.025463,0.013948,0.25,0.038226,0.270833,0.042092,0.178241,0.04052,0.201389,0.034758,0.594907,0.053993,0.0625,0.018769,0.034722,0.018204,0.060185,0.020742,0.0,0.0,0.532914,0.04558,0.64788,0.052428,0.05963,0.014102,72
0.08,boundary_aware_scale_exception_audit_v5,4,0.484865,0.038203,0.652778,0.039699,0.189815,0.036152,0.041667,0.019113,0.023148,0.013407,0.569444,0.044179,0.099537,0.030071,0.032407,0.015343,0.229167,0.037363,0.358796,0.045533,0.194444,0.038768,0.231481,0.033918,0.597222,0.047371,0.076389,0.028851,0.023148,0.013407,0.078704,0.028144,0.0,0.0,0.541927,0.040031,0.65559,0.046281,0.054769,0.012858,72
0.08,boundary_aware_scale_exception_audit_v5,5,0.511889,0.045869,0.627315,0.05229,0.18287,0.038313,0.039352,0.017687,0.020833,0.014357,0.576389,0.046566,0.085648,0.026635,0.030093,0.014912,0.178241,0.043978,0.3125,0.043793,0.189815,0.038392,0.270833,0.034456,0.641204,0.046888,0.104167,0.031941,0.020833,0.012821,0.06713,0.020082,0.0,0.0,0.574208,0.048413,0.702975,0.04659,0.048981,0.01183,72
0.08,boundary_aware_scale_exception_audit_v5,6,0.471178,0.045535,0.638889,0.046594,0.194444,0.034796,0.041667,0.020176,0.027778,0.015827,0.581019,0.045226,0.085648,0.02584,0.018519,0.013791,0.201389,0.038735,0.298611,0.044737,0.201389,0.03927,0.236111,0.034645,0.606481,0.052216,0.097222,0.028715,0.025463,0.016674,0.076389,0.023241,0.0,0.0,0.534606,0.048878,0.668488,0.052079,0.050046,0.011973,72
0.08,boundary_aware_scale_exception_audit_v5,7,0.474073,0.034947,0.597222,0.051993,0.180556,0.033418,0.039352,0.017687,0.048611,0.018769,0.571759,0.042775,0.097222,0.033418,0.020833,0.014357,0.19213,0.039122,0.333333,0.044766,0.1875,0.040319,0.229167,0.041088,0.618056,0.045431,0.081019,0.025019,0.023148,0.013407,0.071759,0.028035,0.0,0.0,0.536819,0.040158,0.673312,0.042774,0.056528,0.013554,72
0.08,boundary_aware_scale_exception_audit_v5,8,0.523556,0.041533,0.650463,0.042938,0.166667,0.03419,0.032407,0.015343,0.020833,0.012821,0.564815,0.044558,0.071759,0.026505,0.041667,0.016787,0.222222,0.039303,0.314815,0.045485,0.155093,0.036164,0.219907,0.041285,0.631944,0.045201,0.06713,0.02299,0.032407,0.016648,0.069444,0.022148,0.0,0.0,0.592738,0.042076,0.700625,0.0434,0.043056,0.009472,72
0.08,boundary_aware_scale_exception_audit_v5,9,0.508734,0.042112,0.643519,0.044908,0.166667,0.032947,0.048611,0.020875,0.020833,0.012821,0.587963,0.045217,0.078704,0.025002,0.032407,0.015343,0.201389,0.03927,0.3125,0.043314,0.215278,0.041088,0.240741,0.041317,0.641204,0.048205,0.083333,0.022383,0.025463,0.013948,0.064815,0.024651,0.0,0.0,0.575777,0.043552,0.701509,0.047292,0.051019,0.012341,72
