case_id,task,regime,proposed_success,strongest_baseline,baseline_success,success_gap,proposed_rare_failure_recall,proposed_contact_boundary_error,lesson
1,tool_use_sequence,occluded_precondition,0.517,conformal_risk_filter,0.4609,0.0561,0.4966,0.1871,the audit helps least when ordinary uncertainty gating already exposes the exception or the scaled policy is not overtrusted
2,deformable_handling,occluded_precondition,0.5544,conformal_risk_filter,0.4762,0.0782,0.5017,0.2245,the audit helps least when ordinary uncertainty gating already exposes the exception or the scaled policy is not overtrusted
3,mobile_manipulation,spurious_visual_shortcut,0.5595,conformal_risk_filter,0.4609,0.0986,0.5391,0.199,the audit helps least when ordinary uncertainty gating already exposes the exception or the scaled policy is not overtrusted
4,bimanual_handoff,spurious_visual_shortcut,0.5561,conformal_risk_filter,0.4575,0.0986,0.5374,0.2041,the audit helps least when ordinary uncertainty gating already exposes the exception or the scaled policy is not overtrusted
5,bimanual_handoff,mixed_exception_stress,0.4881,conformal_risk_filter,0.3844,0.1037,0.5,0.2245,the audit helps least when ordinary uncertainty gating already exposes the exception or the scaled policy is not overtrusted
6,contact_insertion,spurious_visual_shortcut,0.5527,conformal_risk_filter,0.4439,0.1088,0.5408,0.1905,the audit helps least when ordinary uncertainty gating already exposes the exception or the scaled policy is not overtrusted
7,deformable_handling,embodiment_mismatch,0.5204,conformal_risk_filter,0.4116,0.1088,0.5034,0.2211,the audit helps least when ordinary uncertainty gating already exposes the exception or the scaled policy is not overtrusted
8,contact_insertion,occluded_precondition,0.5986,conformal_risk_filter,0.4779,0.1207,0.5357,0.2007,the audit helps least when ordinary uncertainty gating already exposes the exception or the scaled policy is not overtrusted
