ablation,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups,interpretation
full_boundary_aware_scale_exception_audit_v5,0.647685,0.011593,0.633102,0.019906,0.177083,0.013615,0.040509,0.006425,0.029861,0.003275,0.59375,0.011098,0.08912,0.009523,0.025694,0.005345,0.201852,0.014248,0.31713,0.016567,0.202315,0.012346,0.235417,0.013046,0.625231,0.016168,0.092824,0.006846,0.028704,0.003527,0.059954,0.005875,0.0,0.0,0.745279,0.01132,10,all components
minus_boundary_mixture_model,0.545833,0.013181,0.53287,0.008576,0.228472,0.013911,0.078935,0.007043,0.066667,0.006689,0.515972,0.012332,0.118981,0.009079,0.069213,0.00862,0.197222,0.006585,0.314352,0.014876,0.267593,0.01035,0.270139,0.012362,0.485417,0.018853,0.125231,0.013,0.044444,0.003085,0.082639,0.006089,0.0,0.0,0.607359,0.011954,10,collapses distinct boundary failures into one uncertainty score
minus_contact_boundary_factor,0.546065,0.016309,0.570139,0.014026,0.2875,0.014566,0.085417,0.006104,0.065741,0.008399,0.527315,0.013006,0.119213,0.005293,0.065278,0.009584,0.196065,0.010886,0.321296,0.01512,0.24375,0.016261,0.278935,0.015293,0.493981,0.013479,0.103472,0.005661,0.044676,0.003385,0.085185,0.007087,0.0,0.0,0.610112,0.016746,10,misses contact-boundary inversions
minus_counterfactual_coverage_score,0.554398,0.014588,0.570833,0.015821,0.208796,0.007586,0.062731,0.006573,0.058102,0.00599,0.540509,0.015142,0.105324,0.00829,0.056481,0.005981,0.19838,0.013696,0.312731,0.011081,0.25787,0.014222,0.279398,0.010844,0.436574,0.016597,0.112269,0.009055,0.038194,0.006096,0.08588,0.008804,0.0,0.0,0.620881,0.014513,10,does not audit whether rare boundary states were covered
minus_embodiment_shift_detector,0.555324,0.01421,0.568287,0.017974,0.203935,0.007754,0.073843,0.00599,0.065741,0.00516,0.537269,0.010894,0.111111,0.012361,0.066667,0.008787,0.186111,0.012438,0.325231,0.009255,0.23912,0.017984,0.255556,0.015792,0.521759,0.014944,0.11088,0.008044,0.074537,0.006004,0.087731,0.009309,0.0,0.0,0.627863,0.015708,10,misses morphology and actuation shift
minus_rare_tail_memory,0.52037,0.013163,0.383796,0.015815,0.234491,0.009987,0.068287,0.007924,0.073611,0.005966,0.501852,0.013024,0.151852,0.009425,0.088194,0.005596,0.191898,0.008378,0.318056,0.012215,0.281944,0.015509,0.284259,0.015196,0.473843,0.012869,0.106944,0.009415,0.045139,0.008562,0.096296,0.005865,0.0,0.0,0.561869,0.01333,10,forgets rare physical failures behind average scaling curves
minus_recoverability_calibration,0.546759,0.011089,0.564352,0.010647,0.215509,0.014146,0.088426,0.010943,0.072917,0.010015,0.409259,0.016425,0.127083,0.005914,0.068056,0.006206,0.18912,0.013646,0.306944,0.015426,0.239352,0.016734,0.265509,0.01529,0.532639,0.012031,0.105787,0.00631,0.039583,0.004302,0.133565,0.011011,0.0,0.0,0.605205,0.011118,10,overtrusts scaled policy when recovery is scarce
minus_scale_slope_residual,0.566435,0.0152,0.563194,0.015018,0.212731,0.011821,0.069444,0.005935,0.062963,0.007151,0.540278,0.009352,0.097454,0.006104,0.05787,0.007858,0.193056,0.015485,0.318519,0.015411,0.242824,0.012012,0.274769,0.018387,0.527083,0.010695,0.122222,0.012152,0.0375,0.008469,0.07963,0.009617,0.0,0.0,0.638656,0.015868,10,removes residual test between average scale gain and boundary risk
minus_shortcut_audit,0.545833,0.01732,0.557639,0.011184,0.20625,0.009671,0.068981,0.008735,0.089352,0.005667,0.534028,0.012287,0.118287,0.006608,0.081019,0.008003,0.19213,0.010608,0.316898,0.014307,0.268056,0.012758,0.276157,0.015468,0.528241,0.013708,0.191435,0.008636,0.04375,0.005796,0.085648,0.008688,0.0,0.0,0.613738,0.016682,10,cannot separate visual shortcut scaling from embodied skill
uncertainty_gate_only,0.372917,0.015385,0.373611,0.010526,0.297917,0.01485,0.106713,0.008323,0.1125,0.006668,0.37338,0.01457,0.167361,0.011032,0.14375,0.011993,0.216667,0.015066,0.263889,0.009731,0.333102,0.0151,0.268981,0.015523,0.358565,0.017063,0.185648,0.009269,0.0875,0.007022,0.139583,0.007713,0.0,0.0,0.385244,0.015806,10,ensemble uncertainty gate baseline
