method,split,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_recovery_success,ci95_recovery_success,mean_tail_risk_rate,ci95_tail_risk_rate,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_average_scaling_gain,ci95_average_scaling_gain,mean_boundary_risk_slope,ci95_boundary_risk_slope,mean_scale_exception_gap,ci95_scale_exception_gap,mean_boundary_coverage,ci95_boundary_coverage,mean_shortcut_reliance,ci95_shortcut_reliance,mean_morphology_transfer_gap,ci95_morphology_transfer_gap,mean_recoverability_deficit,ci95_recoverability_deficit,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,1,0.641204,0.044136,0.675926,0.04377,0.199074,0.034578,0.027778,0.015827,0.018519,0.012184,0.576389,0.052864,0.085648,0.028891,0.032407,0.015343,0.18287,0.041954,0.349537,0.049276,0.125,0.033418,0.236111,0.038089,0.627315,0.044529,0.0625,0.020875,0.034722,0.015744,0.050926,0.024722,0.1875,0.03927,0.737049,0.041997,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,2,0.678241,0.037301,0.680556,0.045574,0.19213,0.031429,0.027778,0.019384,0.034722,0.018204,0.608796,0.05135,0.071759,0.02126,0.027778,0.015827,0.201389,0.037641,0.351852,0.045942,0.185185,0.037429,0.224537,0.036068,0.645833,0.04566,0.06713,0.022063,0.037037,0.020658,0.064815,0.023789,0.131944,0.037641,0.786956,0.036384,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,3,0.643519,0.047175,0.652778,0.046481,0.166667,0.035975,0.018519,0.013791,0.018519,0.012184,0.5625,0.047233,0.087963,0.027392,0.011574,0.009855,0.201389,0.040319,0.324074,0.043291,0.185185,0.035717,0.25463,0.044284,0.657407,0.04377,0.078704,0.022357,0.030093,0.014912,0.069444,0.023959,0.178241,0.049768,0.739549,0.044406,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,4,0.648148,0.047285,0.638889,0.044297,0.19213,0.039652,0.043981,0.020426,0.030093,0.017489,0.62037,0.048877,0.106481,0.030516,0.013889,0.010715,0.178241,0.034991,0.30787,0.043661,0.212963,0.041985,0.270833,0.043072,0.659722,0.043554,0.074074,0.025756,0.027778,0.014448,0.071759,0.027281,0.180556,0.048244,0.737396,0.046896,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,5,0.655093,0.044918,0.655093,0.048493,0.155093,0.033153,0.039352,0.019908,0.027778,0.014448,0.583333,0.045689,0.087963,0.028876,0.018519,0.013791,0.157407,0.036487,0.310185,0.037845,0.180556,0.040222,0.217593,0.038573,0.643519,0.044441,0.0625,0.024551,0.046296,0.020658,0.06713,0.023881,0.141204,0.039122,0.754931,0.04271,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,6,0.655093,0.045838,0.673611,0.041593,0.217593,0.040164,0.043981,0.020426,0.013889,0.010715,0.56713,0.048636,0.097222,0.024815,0.023148,0.014883,0.148148,0.03136,0.344907,0.048061,0.189815,0.040509,0.236111,0.040222,0.613426,0.041788,0.113426,0.033466,0.032407,0.017858,0.053241,0.02126,0.166667,0.043344,0.756609,0.04815,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,7,0.652778,0.049525,0.643519,0.043968,0.178241,0.039476,0.037037,0.018528,0.032407,0.016648,0.590278,0.046115,0.064815,0.024651,0.025463,0.016674,0.152778,0.035243,0.303241,0.048061,0.208333,0.038633,0.273148,0.045828,0.643519,0.042026,0.090278,0.027366,0.020833,0.012821,0.05787,0.021585,0.143519,0.037289,0.747106,0.047554,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,8,0.717593,0.040164,0.594907,0.047405,0.194444,0.035975,0.041667,0.019113,0.041667,0.021185,0.634259,0.049899,0.113426,0.02877,0.025463,0.013948,0.173611,0.035647,0.358796,0.042694,0.171296,0.033557,0.25,0.037676,0.597222,0.047371,0.083333,0.024176,0.020833,0.012821,0.0625,0.020875,0.118056,0.037363,0.801296,0.039436,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,9,0.659722,0.042092,0.622685,0.044294,0.208333,0.040222,0.037037,0.018528,0.034722,0.018204,0.622685,0.047036,0.078704,0.021403,0.027778,0.014448,0.159722,0.039535,0.321759,0.046291,0.162037,0.033557,0.259259,0.039772,0.643519,0.05141,0.106481,0.027645,0.023148,0.014883,0.0625,0.022787,0.178241,0.042037,0.752789,0.040895,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,0,0.680556,0.04175,0.652778,0.040222,0.1875,0.035939,0.041667,0.019113,0.020833,0.012821,0.606481,0.047615,0.094907,0.026505,0.016204,0.011485,0.203704,0.039947,0.342593,0.050831,0.178241,0.036164,0.231481,0.040638,0.597222,0.050361,0.097222,0.031489,0.020833,0.012821,0.0625,0.022787,0.145833,0.039798,0.767685,0.037821,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,1,0.675926,0.048735,0.638889,0.047481,0.185185,0.036296,0.027778,0.014448,0.018519,0.012184,0.611111,0.047919,0.078704,0.025823,0.018519,0.012184,0.189815,0.043491,0.349537,0.048851,0.196759,0.036737,0.215278,0.043072,0.608796,0.047988,0.078704,0.026619,0.034722,0.019317,0.048611,0.01985,0.152778,0.04175,0.770775,0.046941,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,2,0.68287,0.047988,0.634259,0.043651,0.178241,0.037301,0.034722,0.017019,0.011574,0.009855,0.650463,0.041954,0.087963,0.026619,0.027778,0.015827,0.18287,0.037207,0.333333,0.04286,0.222222,0.035975,0.293981,0.042612,0.645833,0.038735,0.078704,0.025823,0.025463,0.015372,0.064815,0.022895,0.141204,0.037487,0.774155,0.043331,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,3,0.678241,0.04052,0.634259,0.038573,0.19213,0.036356,0.037037,0.019622,0.037037,0.017364,0.615741,0.045523,0.078704,0.022357,0.032407,0.015343,0.171296,0.033557,0.328704,0.045217,0.19213,0.036356,0.256944,0.040833,0.625,0.05279,0.087963,0.025823,0.018519,0.012184,0.041667,0.016787,0.155093,0.041032,0.773808,0.040957,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,4,0.673611,0.044969,0.622685,0.05209,0.206019,0.03449,0.037037,0.016117,0.027778,0.017095,0.604167,0.046789,0.094907,0.029487,0.011574,0.009855,0.185185,0.035127,0.342593,0.045638,0.18287,0.033048,0.266204,0.039122,0.641204,0.037487,0.101852,0.027073,0.025463,0.015372,0.064815,0.023789,0.157407,0.036487,0.763171,0.043376,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,5,0.631944,0.04566,0.657407,0.041317,0.196759,0.037856,0.048611,0.017621,0.020833,0.012821,0.534722,0.041843,0.087963,0.025823,0.020833,0.012821,0.178241,0.032517,0.319444,0.048675,0.175926,0.035325,0.268519,0.039066,0.599537,0.042694,0.076389,0.024122,0.025463,0.013948,0.060185,0.01971,0.180556,0.047371,0.717338,0.045953,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,6,0.634259,0.04598,0.666667,0.040865,0.178241,0.037856,0.046296,0.017364,0.027778,0.014448,0.592593,0.047432,0.085648,0.030983,0.023148,0.016225,0.157407,0.034122,0.314815,0.044558,0.199074,0.034578,0.208333,0.036408,0.638889,0.052093,0.074074,0.022279,0.048611,0.021852,0.050926,0.021075,0.157407,0.04377,0.736968,0.047066,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,7,0.659722,0.046341,0.68287,0.047988,0.208333,0.042247,0.037037,0.017364,0.027778,0.014448,0.606481,0.043008,0.074074,0.023197,0.018519,0.012184,0.215278,0.040059,0.331019,0.050668,0.196759,0.04052,0.229167,0.040577,0.62037,0.048015,0.083333,0.027413,0.043981,0.023291,0.0625,0.024551,0.155093,0.04445,0.758507,0.045712,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,8,0.680556,0.04175,0.659722,0.043072,0.166667,0.032947,0.037037,0.018528,0.006944,0.007747,0.583333,0.046143,0.094907,0.025705,0.016204,0.011485,0.19213,0.036356,0.310185,0.039465,0.18287,0.040947,0.240741,0.038708,0.650463,0.043899,0.074074,0.024932,0.039352,0.016465,0.069444,0.024815,0.175926,0.046093,0.780822,0.041927,72
boundary_aware_scale_exception_audit_v5,embodiment_shift,9,0.662037,0.044284,0.69213,0.039122,0.224537,0.040434,0.037037,0.018528,0.025463,0.015372,0.634259,0.04598,0.064815,0.023789,0.034722,0.018204,0.189815,0.03999,0.356481,0.04537,0.219907,0.039739,0.243056,0.034758,0.645833,0.054803,0.111111,0.02961,0.034722,0.018204,0.076389,0.022324,0.162037,0.043331,0.760336,0.041574,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,0,0.668981,0.043099,0.68287,0.037764,0.185185,0.037982,0.027778,0.014448,0.039352,0.017687,0.604167,0.042585,0.074074,0.026554,0.034722,0.018204,0.171296,0.035374,0.30787,0.046441,0.210648,0.039827,0.238426,0.044685,0.643519,0.043968,0.071759,0.027281,0.023148,0.014883,0.0625,0.022787,0.134259,0.039111,0.768576,0.04127,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,1,0.659722,0.047673,0.655093,0.04445,0.185185,0.039066,0.053241,0.019196,0.032407,0.02006,0.548611,0.039535,0.0625,0.01985,0.023148,0.014883,0.196759,0.040001,0.30787,0.046441,0.185185,0.037429,0.212963,0.040466,0.613426,0.049135,0.085648,0.02584,0.046296,0.021645,0.06713,0.02299,0.145833,0.046115,0.757188,0.048448,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,2,0.664352,0.046814,0.604167,0.047233,0.171296,0.037102,0.055556,0.019384,0.030093,0.016252,0.590278,0.050023,0.090278,0.028851,0.032407,0.016648,0.212963,0.034929,0.287037,0.047579,0.231481,0.035127,0.208333,0.036977,0.587963,0.04381,0.083333,0.02961,0.020833,0.012821,0.081019,0.023291,0.150463,0.043421,0.748322,0.046083,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,3,0.680556,0.043224,0.659722,0.045888,0.180556,0.035243,0.048611,0.020875,0.016204,0.013178,0.592593,0.044245,0.081019,0.02584,0.032407,0.015343,0.18287,0.040947,0.305556,0.04523,0.215278,0.037918,0.240741,0.048304,0.608796,0.043899,0.085648,0.028159,0.023148,0.014883,0.083333,0.028164,0.141204,0.03804,0.774456,0.042346,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,4,0.650463,0.043899,0.657407,0.047432,0.194444,0.038226,0.064815,0.024651,0.037037,0.017364,0.578704,0.04877,0.081019,0.02584,0.025463,0.013948,0.18287,0.039388,0.291667,0.044649,0.19213,0.035777,0.229167,0.036228,0.608796,0.050116,0.104167,0.029917,0.020833,0.012821,0.06713,0.024739,0.166667,0.04523,0.738947,0.044656,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,5,0.678241,0.049768,0.662037,0.047469,0.185185,0.035127,0.030093,0.014912,0.023148,0.014883,0.597222,0.040737,0.081019,0.028159,0.030093,0.016252,0.168981,0.03568,0.337963,0.036535,0.212963,0.038347,0.293981,0.04212,0.601852,0.041652,0.083333,0.025025,0.020833,0.012821,0.069444,0.023959,0.136574,0.046291,0.766933,0.047083,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,6,0.673611,0.044031,0.638889,0.03419,0.157407,0.033505,0.030093,0.017489,0.025463,0.013948,0.550926,0.050315,0.076389,0.024122,0.048611,0.020875,0.171296,0.039288,0.31713,0.047551,0.189815,0.033764,0.231481,0.041148,0.622685,0.048349,0.106481,0.025278,0.027778,0.015827,0.046296,0.020658,0.162037,0.039288,0.761053,0.040067,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,7,0.638889,0.048352,0.638889,0.045689,0.166667,0.036551,0.034722,0.015744,0.025463,0.015372,0.622685,0.047478,0.074074,0.026554,0.034722,0.017019,0.215278,0.039003,0.303241,0.042531,0.206019,0.039033,0.208333,0.036977,0.664352,0.046366,0.108796,0.033048,0.037037,0.017364,0.06713,0.023881,0.173611,0.048109,0.742523,0.046437,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,8,0.631944,0.049182,0.657407,0.037614,0.1875,0.040833,0.064815,0.022895,0.030093,0.014912,0.606481,0.049759,0.055556,0.02143,0.037037,0.017364,0.168981,0.033879,0.340278,0.042585,0.199074,0.037475,0.270833,0.043072,0.62037,0.038347,0.090278,0.027366,0.032407,0.016648,0.064815,0.023789,0.173611,0.044503,0.726053,0.046853,72
boundary_aware_scale_exception_audit_v5,heldout_exception_composition,9,0.696759,0.043019,0.664352,0.050255,0.168981,0.040605,0.048611,0.017621,0.037037,0.017364,0.611111,0.043823,0.085648,0.026635,0.032407,0.016648,0.180556,0.039699,0.321759,0.040001,0.171296,0.037661,0.240741,0.039244,0.618056,0.047673,0.083333,0.023297,0.023148,0.013407,0.053241,0.02126,0.134259,0.04068,0.786412,0.039864,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,0,0.740741,0.042806,0.678241,0.047184,0.173611,0.034456,0.025463,0.013948,0.011574,0.009855,0.594907,0.049135,0.076389,0.024122,0.018519,0.012184,0.152778,0.032788,0.358796,0.04777,0.155093,0.031869,0.233796,0.036926,0.664352,0.039564,0.076389,0.026592,0.023148,0.013407,0.0625,0.023686,0.118056,0.044503,0.840729,0.03931,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,1,0.768519,0.04215,0.68287,0.041453,0.201389,0.037083,0.020833,0.012821,0.032407,0.015343,0.643519,0.045828,0.069444,0.022148,0.016204,0.013178,0.162037,0.034173,0.305556,0.04523,0.189815,0.038392,0.233796,0.030758,0.706019,0.044529,0.087963,0.025823,0.025463,0.013948,0.050926,0.022043,0.108796,0.036642,0.862616,0.0366,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,2,0.710648,0.038222,0.680556,0.041247,0.150463,0.029722,0.018519,0.013791,0.043981,0.017087,0.655093,0.043501,0.060185,0.024439,0.020833,0.012821,0.18287,0.037764,0.377315,0.04659,0.178241,0.034389,0.291667,0.040737,0.680556,0.048675,0.087963,0.027392,0.027778,0.015827,0.0625,0.021852,0.168981,0.039033,0.809479,0.03417,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,3,0.726852,0.036725,0.694444,0.04286,0.206019,0.037948,0.032407,0.015343,0.030093,0.017489,0.634259,0.042684,0.083333,0.023297,0.020833,0.014357,0.145833,0.034152,0.310185,0.04673,0.196759,0.036164,0.266204,0.040175,0.636574,0.043501,0.081019,0.02417,0.034722,0.015744,0.050926,0.022043,0.136574,0.036737,0.828102,0.034486,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,4,0.747685,0.041369,0.710648,0.045226,0.166667,0.032947,0.018519,0.012184,0.032407,0.016648,0.611111,0.049631,0.069444,0.021185,0.013889,0.010715,0.171296,0.037661,0.349537,0.045303,0.199074,0.039111,0.229167,0.038464,0.694444,0.043344,0.0625,0.020875,0.016204,0.011485,0.043981,0.019377,0.12037,0.034929,0.845012,0.036203,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,5,0.706019,0.041116,0.685185,0.039597,0.185185,0.036867,0.013889,0.012512,0.016204,0.011485,0.675926,0.040808,0.087963,0.027392,0.025463,0.013948,0.155093,0.034991,0.328704,0.044753,0.168981,0.030644,0.240741,0.041819,0.645833,0.047012,0.076389,0.023241,0.030093,0.016252,0.06713,0.026373,0.138889,0.038226,0.819595,0.0411,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,6,0.708333,0.039699,0.68287,0.041453,0.145833,0.032266,0.030093,0.014912,0.020833,0.012821,0.611111,0.039831,0.127315,0.03449,0.027778,0.017095,0.1875,0.038192,0.349537,0.04711,0.18287,0.037764,0.25,0.041373,0.699074,0.042192,0.071759,0.024026,0.034722,0.018204,0.069444,0.024815,0.164352,0.043099,0.810243,0.038343,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,7,0.710648,0.042856,0.680556,0.045114,0.150463,0.03241,0.013889,0.012512,0.023148,0.014883,0.652778,0.04781,0.055556,0.019384,0.034722,0.017019,0.162037,0.033557,0.344907,0.048061,0.173611,0.035057,0.25,0.04237,0.685185,0.045485,0.076389,0.024122,0.027778,0.014448,0.048611,0.017621,0.155093,0.04538,0.813877,0.038985,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,8,0.733796,0.040691,0.694444,0.038768,0.164352,0.03509,0.023148,0.013407,0.00463,0.006371,0.627315,0.046366,0.087963,0.028876,0.023148,0.016225,0.159722,0.031281,0.340278,0.050646,0.150463,0.031095,0.238426,0.039739,0.675926,0.048735,0.069444,0.025643,0.020833,0.012821,0.043981,0.017087,0.12963,0.033087,0.836852,0.035676,72
boundary_aware_scale_exception_audit_v5,nominal_scaling,9,0.74537,0.037661,0.675926,0.045178,0.180556,0.035243,0.030093,0.014912,0.027778,0.015827,0.594907,0.047405,0.055556,0.02143,0.016204,0.011485,0.136574,0.033153,0.337963,0.04381,0.189815,0.039465,0.240741,0.037055,0.694444,0.043823,0.05787,0.021585,0.016204,0.011485,0.043981,0.021423,0.134259,0.035177,0.842766,0.034164,72
boundary_aware_scale_exception_audit_v5,recovery_scarcity,0,0.634259,0.045063,0.673611,0.051463,0.168981,0.029955,0.053241,0.019196,0.025463,0.016674,0.583333,0.040865,0.074074,0.025756,0.032407,0.015343,0.175926,0.031581,0.335648,0.041116,0.180556,0.032788,0.236111,0.038089,0.615741,0.046432,0.074074,0.02408,0.027778,0.015827,0.060185,0.01971,0.171296,0.047907,0.72985,0.044864,72
boundary_aware_scale_exception_audit_v5,recovery_scarcity,1,0.659722,0.041593,0.662037,0.050865,0.185185,0.041148,0.025463,0.013948,0.020833,0.012821,0.62037,0.046693,0.085648,0.025019,0.020833,0.012821,0.19213,0.039122,0.331019,0.043099,0.203704,0.038888,0.266204,0.044136,0.648148,0.04816,0.0625,0.021852,0.018519,0.013791,0.064815,0.023789,0.157407,0.043291,0.763796,0.042816,72
