method,split,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_recovery_success,ci95_recovery_success,mean_tail_risk_rate,ci95_tail_risk_rate,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_average_scaling_gain,ci95_average_scaling_gain,mean_boundary_risk_slope,ci95_boundary_risk_slope,mean_scale_exception_gap,ci95_scale_exception_gap,mean_boundary_coverage,ci95_boundary_coverage,mean_shortcut_reliance,ci95_shortcut_reliance,mean_morphology_transfer_gap,ci95_morphology_transfer_gap,mean_recoverability_deficit,ci95_recoverability_deficit,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
boundary_aware_scale_exception_audit_v5,combined_exception_stress,0,0.606481,0.043968,0.645833,0.041843,0.201389,0.040319,0.053241,0.020254,0.032407,0.017858,0.585648,0.044762,0.087963,0.021403,0.032407,0.015343,0.273148,0.043008,0.275463,0.041954,0.222222,0.047481,0.263889,0.038633,0.643519,0.044908,0.085648,0.025019,0.030093,0.014912,0.060185,0.020742,0.194444,0.044766,0.694236,0.043445,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,1,0.608796,0.053734,0.597222,0.043224,0.210648,0.039299,0.039352,0.016465,0.018519,0.012184,0.62963,0.046693,0.083333,0.024176,0.025463,0.015372,0.19213,0.040175,0.331019,0.044057,0.1875,0.040319,0.224537,0.037207,0.590278,0.050439,0.101852,0.027833,0.046296,0.020658,0.069444,0.021185,0.164352,0.049417,0.699757,0.05304,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,2,0.618056,0.046789,0.634259,0.04317,0.168981,0.033258,0.034722,0.018204,0.039352,0.01883,0.555556,0.044766,0.060185,0.020742,0.023148,0.013407,0.231481,0.035717,0.289352,0.042856,0.196759,0.036164,0.201389,0.04566,0.659722,0.038464,0.094907,0.02877,0.020833,0.012821,0.078704,0.028876,0.185185,0.046842,0.71478,0.046466,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,3,0.62963,0.047138,0.657407,0.045178,0.189815,0.043008,0.053241,0.020254,0.023148,0.013407,0.56713,0.048636,0.101852,0.03136,0.025463,0.013948,0.25,0.038226,0.270833,0.042092,0.178241,0.04052,0.201389,0.034758,0.594907,0.053993,0.0625,0.018769,0.034722,0.018204,0.060185,0.020742,0.180556,0.050774,0.719514,0.04822,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,4,0.643519,0.044441,0.652778,0.039699,0.189815,0.036152,0.041667,0.019113,0.023148,0.013407,0.569444,0.044179,0.099537,0.030071,0.032407,0.015343,0.229167,0.037363,0.358796,0.045533,0.194444,0.038768,0.231481,0.033918,0.597222,0.047371,0.076389,0.028851,0.023148,0.013407,0.078704,0.028144,0.168981,0.041621,0.730833,0.042474,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,5,0.641204,0.045989,0.627315,0.05229,0.18287,0.038313,0.039352,0.017687,0.020833,0.014357,0.576389,0.046566,0.085648,0.026635,0.030093,0.014912,0.178241,0.043978,0.3125,0.043793,0.189815,0.038392,0.270833,0.034456,0.641204,0.046888,0.104167,0.031941,0.020833,0.012821,0.06713,0.020082,0.143519,0.040509,0.730093,0.046608,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,6,0.606481,0.047175,0.638889,0.046594,0.194444,0.034796,0.041667,0.020176,0.027778,0.015827,0.581019,0.045226,0.085648,0.02584,0.018519,0.013791,0.201389,0.038735,0.298611,0.044737,0.201389,0.03927,0.236111,0.034645,0.606481,0.052216,0.097222,0.028715,0.025463,0.016674,0.076389,0.023241,0.210648,0.052886,0.695394,0.04793,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,7,0.615741,0.038573,0.597222,0.051993,0.180556,0.033418,0.039352,0.017687,0.048611,0.018769,0.571759,0.042775,0.097222,0.033418,0.020833,0.014357,0.19213,0.039122,0.333333,0.044766,0.1875,0.040319,0.229167,0.041088,0.618056,0.045431,0.081019,0.025019,0.023148,0.013407,0.071759,0.028035,0.168981,0.044057,0.705833,0.04023,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,8,0.666667,0.047039,0.650463,0.042938,0.166667,0.03419,0.032407,0.015343,0.020833,0.012821,0.564815,0.044558,0.071759,0.026505,0.041667,0.016787,0.222222,0.039303,0.314815,0.045485,0.155093,0.036164,0.219907,0.041285,0.631944,0.045201,0.06713,0.02299,0.032407,0.016648,0.069444,0.022148,0.143519,0.039465,0.762639,0.044723,72
boundary_aware_scale_exception_audit_v5,combined_exception_stress,9,0.643519,0.046281,0.643519,0.044908,0.166667,0.032947,0.048611,0.020875,0.020833,0.012821,0.587963,0.045217,0.078704,0.025002,0.032407,0.015343,0.201389,0.03927,0.3125,0.043314,0.215278,0.041088,0.240741,0.041317,0.641204,0.048205,0.083333,0.022383,0.025463,0.013948,0.064815,0.024651,0.180556,0.04603,0.735718,0.044209,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,0,0.636574,0.042037,0.673611,0.042092,0.178241,0.039476,0.043981,0.018268,0.043981,0.019377,0.622685,0.041871,0.071759,0.02126,0.032407,0.016648,0.219907,0.038675,0.340278,0.040577,0.212963,0.041485,0.277778,0.04286,0.694444,0.040865,0.069444,0.027222,0.030093,0.014912,0.06713,0.027153,0.189815,0.042026,0.735266,0.041076,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,1,0.641204,0.046888,0.627315,0.047258,0.171296,0.039288,0.043981,0.019377,0.037037,0.017364,0.62037,0.049724,0.087963,0.023272,0.023148,0.013407,0.185185,0.034528,0.275463,0.042938,0.162037,0.035959,0.240741,0.041317,0.662037,0.046131,0.064815,0.025484,0.016204,0.011485,0.05787,0.022531,0.18287,0.050116,0.736829,0.045218,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,2,0.668981,0.044057,0.641204,0.045989,0.1875,0.037641,0.025463,0.013948,0.023148,0.013407,0.606481,0.04537,0.081019,0.02584,0.034722,0.015744,0.166667,0.032307,0.291667,0.038089,0.164352,0.033258,0.217593,0.037475,0.641204,0.046441,0.090278,0.026592,0.013889,0.010715,0.076389,0.023241,0.164352,0.041621,0.769005,0.042454,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,3,0.664352,0.043581,0.638889,0.04286,0.189815,0.036725,0.046296,0.019622,0.016204,0.013178,0.581019,0.051688,0.108796,0.030416,0.011574,0.009855,0.217593,0.033969,0.356481,0.04252,0.180556,0.040222,0.233796,0.042694,0.662037,0.04381,0.083333,0.025845,0.020833,0.012821,0.0625,0.022787,0.166667,0.040865,0.752245,0.04212,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,4,0.645833,0.046115,0.636574,0.04674,0.173611,0.035057,0.039352,0.016465,0.027778,0.014448,0.611111,0.046143,0.078704,0.025823,0.023148,0.013407,0.152778,0.031489,0.296296,0.043451,0.189815,0.038392,0.266204,0.040691,0.643519,0.043491,0.083333,0.025845,0.011574,0.009855,0.050926,0.017858,0.189815,0.04537,0.737627,0.044463,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,5,0.673611,0.046789,0.657407,0.049584,0.162037,0.032929,0.027778,0.015827,0.034722,0.017019,0.583333,0.051286,0.094907,0.025705,0.006944,0.007747,0.136574,0.034389,0.37037,0.044401,0.194444,0.036551,0.243056,0.037641,0.662037,0.041359,0.111111,0.030306,0.030093,0.014912,0.046296,0.018528,0.168981,0.047258,0.77044,0.044942,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,6,0.643519,0.043968,0.622685,0.049205,0.180556,0.039699,0.032407,0.015343,0.037037,0.018528,0.613426,0.04374,0.085648,0.02584,0.043981,0.018268,0.189815,0.03999,0.319444,0.042247,0.196759,0.031869,0.224537,0.035484,0.631944,0.045201,0.087963,0.025002,0.020833,0.012821,0.050926,0.021075,0.150463,0.037764,0.735718,0.041422,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,7,0.662037,0.044753,0.62037,0.041985,0.1875,0.035353,0.053241,0.02126,0.027778,0.014448,0.62963,0.043451,0.069444,0.022148,0.011574,0.009855,0.173611,0.032588,0.319444,0.04175,0.164352,0.031978,0.25463,0.046581,0.636574,0.042037,0.090278,0.030263,0.018519,0.013791,0.0625,0.023686,0.194444,0.046143,0.751586,0.041549,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,8,0.696759,0.043501,0.608796,0.051755,0.155093,0.028405,0.037037,0.019622,0.027778,0.015827,0.615741,0.050315,0.111111,0.028164,0.023148,0.013407,0.199074,0.035765,0.321759,0.043019,0.196759,0.041032,0.236111,0.039699,0.662037,0.041861,0.074074,0.02408,0.016204,0.011485,0.05787,0.023439,0.145833,0.041843,0.779005,0.040503,72
boundary_aware_scale_exception_audit_v5,contact_tail_shift,9,0.671296,0.04834,0.675926,0.039772,0.171296,0.033557,0.032407,0.015343,0.025463,0.015372,0.604167,0.044969,0.071759,0.023141,0.025463,0.013948,0.155093,0.034389,0.337963,0.040337,0.162037,0.035374,0.236111,0.042738,0.69213,0.040691,0.050926,0.02006,0.020833,0.014357,0.043981,0.018268,0.168981,0.045913,0.772326,0.044521,72
boundary_aware_scale_exception_audit_v5,cross_robot_morphology,0,0.673611,0.044503,0.680556,0.04603,0.180556,0.034645,0.041667,0.020176,0.034722,0.018204,0.608796,0.041453,0.076389,0.023241,0.011574,0.011784,0.136574,0.034389,0.31713,0.040947,0.180556,0.038633,0.259259,0.035325,0.657407,0.045638,0.085648,0.02584,0.039352,0.017687,0.074074,0.024932,0.150463,0.04484,0.773183,0.043716,72
