risk_budget,method,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,mean_mean_coverage,ci95_mean_coverage,mean_mean_risk_score,ci95_mean_risk_score,groups
0.16,conformal_risk_filter,0.256933,0.005875,0.407176,0.00901,0.285648,0.012693,0.087037,0.008037,0.095139,0.007515,0.38588,0.013272,0.146991,0.011015,0.120602,0.007575,0.221065,0.016735,0.25787,0.01479,0.308796,0.013682,0.25162,0.0143,0.398611,0.011494,0.181713,0.013699,0.075694,0.013595,0.122685,0.006345,0.0,0.0,0.263349,0.005944,0.464067,0.012381,0.109838,0.004819,10
0.16,data_only_scaling,0.133379,0.005663,0.25463,0.01576,0.337731,0.014886,0.167824,0.011817,0.206481,0.015361,0.278241,0.012704,0.219444,0.013129,0.207176,0.011077,0.176389,0.00825,0.319676,0.0228,0.41875,0.015415,0.365046,0.015275,0.229398,0.012805,0.25625,0.011419,0.104167,0.006557,0.186111,0.010482,0.0,0.0,0.100579,0.00665,0.242676,0.014797,0.194204,0.007924,10
0.16,dropout_risk_filter,0.236701,0.006471,0.396065,0.015592,0.291898,0.012126,0.098148,0.007568,0.104861,0.0092,0.386574,0.013811,0.150694,0.013568,0.116435,0.011832,0.214815,0.006042,0.258796,0.010668,0.32037,0.012327,0.25162,0.007889,0.378935,0.010631,0.18125,0.011618,0.083565,0.008959,0.13287,0.008693,0.0,0.0,0.238989,0.007026,0.440254,0.009025,0.116949,0.006141,10
0.16,ensemble_uncertainty_gate,0.226979,0.010935,0.384722,0.021321,0.306019,0.011109,0.106944,0.008656,0.121991,0.012324,0.374306,0.015033,0.150463,0.009049,0.14213,0.006388,0.211111,0.010495,0.263889,0.011617,0.334259,0.009498,0.268056,0.018729,0.371065,0.007772,0.186343,0.011483,0.078472,0.009881,0.127778,0.008813,0.0,0.0,0.224755,0.009411,0.429915,0.008372,0.126227,0.005748,10
0.16,generic_scaling_law_extrapolator,0.135942,0.008585,0.226389,0.018777,0.334491,0.01398,0.167824,0.014991,0.2125,0.011613,0.250231,0.012145,0.22037,0.013507,0.237037,0.010306,0.170139,0.019204,0.37338,0.009709,0.439352,0.014232,0.441435,0.017946,0.230787,0.020604,0.268519,0.011378,0.103704,0.011374,0.174537,0.009303,0.0,0.0,0.098276,0.007596,0.242954,0.022577,0.198551,0.007156,10
0.16,invariance_penalty_policy,0.238657,0.011496,0.354398,0.013123,0.29537,0.015411,0.121065,0.008689,0.117593,0.011827,0.356019,0.019855,0.171528,0.007987,0.143056,0.008761,0.191667,0.011474,0.292824,0.019228,0.324306,0.014685,0.294444,0.012038,0.362963,0.011006,0.15162,0.009571,0.061806,0.00631,0.146991,0.009106,0.0,0.0,0.228644,0.012546,0.41306,0.012632,0.137778,0.004295,10
0.16,large_behavior_clone,0.099933,0.00501,0.173611,0.011216,0.365972,0.016955,0.185648,0.013129,0.250926,0.005334,0.222454,0.011684,0.240278,0.017943,0.258565,0.014972,0.167593,0.014852,0.349074,0.013146,0.45787,0.012504,0.42338,0.021156,0.19537,0.007446,0.297454,0.008773,0.111574,0.01232,0.177778,0.008195,0.0,0.0,0.061928,0.004626,0.194901,0.008051,0.221079,0.006769,10
0.16,medium_behavior_clone,0.100854,0.008465,0.192361,0.007605,0.355324,0.011057,0.172685,0.009154,0.183565,0.009075,0.245602,0.017617,0.230324,0.013429,0.207639,0.009075,0.163889,0.013439,0.216435,0.013292,0.400694,0.016901,0.275231,0.012679,0.208333,0.009149,0.233102,0.015747,0.114352,0.009617,0.181481,0.008667,0.0,0.0,0.073198,0.00718,0.220698,0.007717,0.195431,0.007586,10
0.16,model_only_scaling,0.119813,0.006737,0.196759,0.016854,0.349074,0.014038,0.170139,0.008877,0.221991,0.013702,0.252083,0.011427,0.223611,0.011301,0.246528,0.015486,0.175694,0.007842,0.354167,0.012212,0.430787,0.019631,0.409491,0.014623,0.213194,0.010267,0.279398,0.015245,0.110648,0.011006,0.181481,0.007196,0.0,0.0,0.083327,0.007379,0.221841,0.011582,0.203153,0.004944,10
0.16,oracle_exception_selector,0.602761,0.00792,0.677546,0.020189,0.161806,0.007725,0.021296,0.003229,0.003241,0.001386,0.637963,0.018697,0.070602,0.00455,0.005093,0.001764,0.192593,0.011652,0.40463,0.0142,0.168519,0.011068,0.293981,0.013661,0.649074,0.013815,0.062037,0.007022,0.021065,0.003732,0.049769,0.007447,0.0,0.0,0.671007,0.007333,0.722683,0.013982,0.031218,0.001557,10
