ablation,task,regime,seed,episodes,interpretation,success,rare_failure_recall,contact_boundary_error,unsafe_commitment,overtrust_rate,recovery_success,tail_risk_rate,calibration_ece,intervention_cost,average_scaling_gain,boundary_risk_slope,scale_exception_gap,boundary_coverage,shortcut_reliance,morphology_transfer_gap,recoverability_deficit,regret_to_oracle,utility
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,0,6,all components,0.833333,0.833333,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.166667,0.0,0.0,0.666667,0.166667,0.0,0.0,0.0,1.0
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,1,6,all components,0.833333,0.833333,0.166667,0.0,0.0,0.666667,0.0,0.0,0.0,0.5,0.666667,0.0,0.833333,0.0,0.0,0.0,0.0,1.0
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,2,6,all components,0.666667,0.5,0.166667,0.0,0.166667,1.0,0.333333,0.0,0.333333,0.333333,0.5,0.166667,0.5,0.0,0.0,0.0,0.0,0.739167
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,3,6,all components,0.833333,0.5,0.0,0.166667,0.0,0.666667,0.166667,0.0,0.0,0.166667,0.166667,0.0,0.666667,0.166667,0.0,0.0,0.0,0.94
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,4,6,all components,0.833333,0.833333,0.5,0.0,0.0,0.666667,0.333333,0.0,0.5,0.166667,0.166667,0.166667,0.333333,0.0,0.0,0.0,0.0,0.914167
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,5,6,all components,0.5,0.666667,0.5,0.166667,0.0,0.666667,0.166667,0.0,0.0,0.0,0.333333,0.166667,0.666667,0.0,0.0,0.0,0.0,0.610833
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,6,6,all components,0.833333,0.666667,0.166667,0.0,0.0,0.666667,0.0,0.0,0.333333,0.166667,0.166667,0.166667,0.666667,0.0,0.0,0.0,0.0,0.966667
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,7,6,all components,0.333333,0.5,0.166667,0.0,0.0,0.666667,0.0,0.0,0.166667,0.333333,0.166667,0.166667,0.666667,0.0,0.0,0.0,0.0,0.459167
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,8,6,all components,0.5,0.833333,0.166667,0.166667,0.0,1.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.833333,0.0,0.0,0.0,0.0,0.685
full_boundary_aware_scale_exception_audit_v5,contact_insertion,rare_contact_tail,9,6,all components,0.5,0.666667,0.333333,0.166667,0.0,0.833333,0.0,0.0,0.166667,0.0,0.166667,0.333333,0.5,0.166667,0.0,0.0,0.0,0.604167
