ablation,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_recovery_success,ci95_recovery_success,mean_tail_risk_rate,ci95_tail_risk_rate,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_average_scaling_gain,ci95_average_scaling_gain,mean_boundary_risk_slope,ci95_boundary_risk_slope,mean_scale_exception_gap,ci95_scale_exception_gap,mean_boundary_coverage,ci95_boundary_coverage,mean_shortcut_reliance,ci95_shortcut_reliance,mean_morphology_transfer_gap,ci95_morphology_transfer_gap,mean_recoverability_deficit,ci95_recoverability_deficit,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
minus_boundary_mixture_model,2,0.532407,0.051138,0.506944,0.043554,0.259259,0.039772,0.071759,0.02488,0.060185,0.022666,0.532407,0.047761,0.134259,0.030057,0.05787,0.019555,0.18287,0.039914,0.300926,0.043651,0.261574,0.040261,0.25,0.037676,0.472222,0.04523,0.104167,0.026982,0.050926,0.021075,0.097222,0.027979,0.0,0.0,0.595567,0.051885,72
minus_boundary_mixture_model,3,0.511574,0.04674,0.546296,0.049302,0.231481,0.037429,0.101852,0.027833,0.069444,0.024815,0.516204,0.045303,0.122685,0.028891,0.0625,0.023686,0.208333,0.040222,0.266204,0.045072,0.291667,0.043224,0.252315,0.039827,0.50463,0.046131,0.134259,0.033969,0.043981,0.017087,0.083333,0.023297,0.0,0.0,0.574086,0.048682,72
minus_boundary_mixture_model,4,0.527778,0.052093,0.539352,0.039564,0.203704,0.037242,0.069444,0.024815,0.081019,0.022376,0.527778,0.049208,0.138889,0.02961,0.087963,0.025823,0.210648,0.040862,0.319444,0.043704,0.275463,0.038854,0.24537,0.039816,0.483796,0.054506,0.106481,0.026091,0.046296,0.021645,0.074074,0.028816,0.0,0.0,0.58985,0.052854,72
minus_boundary_mixture_model,5,0.541667,0.049525,0.546296,0.04579,0.194444,0.037676,0.069444,0.025643,0.06713,0.021096,0.550926,0.048196,0.12963,0.029766,0.0625,0.025387,0.185185,0.033918,0.331019,0.046814,0.282407,0.04598,0.263889,0.038633,0.456019,0.04614,0.143519,0.02839,0.037037,0.016117,0.076389,0.026592,0.0,0.0,0.605197,0.046883,72
minus_boundary_mixture_model,6,0.550926,0.046432,0.546296,0.044869,0.212963,0.038347,0.078704,0.024152,0.071759,0.026505,0.50463,0.049619,0.113426,0.02877,0.083333,0.025845,0.180556,0.038633,0.331019,0.04212,0.263889,0.039699,0.291667,0.048244,0.509259,0.044714,0.127315,0.027786,0.037037,0.018528,0.085648,0.02584,0.0,0.0,0.615671,0.046503,72
minus_boundary_mixture_model,7,0.56713,0.053928,0.525463,0.049487,0.238426,0.041285,0.087963,0.026619,0.050926,0.018991,0.506944,0.046789,0.094907,0.02877,0.043981,0.019377,0.201389,0.036515,0.328704,0.047469,0.229167,0.037918,0.289352,0.047036,0.476852,0.045828,0.157407,0.039772,0.043981,0.019377,0.099537,0.029369,0.0,0.0,0.624792,0.054469,72
minus_boundary_mixture_model,8,0.530093,0.043019,0.525463,0.052357,0.233796,0.041704,0.074074,0.023197,0.048611,0.020875,0.483796,0.048421,0.097222,0.028715,0.083333,0.025025,0.199074,0.036914,0.310185,0.040509,0.270833,0.041088,0.247685,0.04382,0.520833,0.044737,0.111111,0.031654,0.041667,0.019113,0.074074,0.023197,0.0,0.0,0.599525,0.044692,72
minus_boundary_mixture_model,9,0.555556,0.044297,0.516204,0.046665,0.208333,0.043224,0.092593,0.029531,0.076389,0.024122,0.506944,0.045888,0.115741,0.029354,0.069444,0.025643,0.199074,0.034578,0.287037,0.04579,0.263889,0.040222,0.287037,0.039421,0.49537,0.045676,0.152778,0.028715,0.048611,0.01985,0.074074,0.023197,0.0,0.0,0.612407,0.04474,72
minus_contact_boundary_factor,0,0.541667,0.041247,0.574074,0.043291,0.291667,0.039699,0.090278,0.031613,0.050926,0.021075,0.532407,0.047322,0.108796,0.031095,0.078704,0.024152,0.171296,0.028876,0.284722,0.037363,0.236111,0.044649,0.243056,0.041341,0.465278,0.05813,0.094907,0.030187,0.048611,0.01985,0.085648,0.023291,0.0,0.0,0.613565,0.04212,72
minus_contact_boundary_factor,1,0.509259,0.044245,0.564815,0.04816,0.303241,0.043501,0.081019,0.027408,0.053241,0.019196,0.55787,0.045762,0.12963,0.033087,0.050926,0.022971,0.212963,0.033712,0.347222,0.040737,0.273148,0.044908,0.287037,0.044401,0.502315,0.048993,0.101852,0.024651,0.043981,0.021423,0.099537,0.031429,0.0,0.0,0.577662,0.044491,72
minus_contact_boundary_factor,2,0.581019,0.057063,0.594907,0.044215,0.243056,0.043314,0.081019,0.027408,0.071759,0.02488,0.532407,0.041694,0.113426,0.029487,0.053241,0.02488,0.189815,0.038932,0.300926,0.047761,0.224537,0.037207,0.282407,0.036344,0.513889,0.038089,0.101852,0.03136,0.050926,0.02006,0.0625,0.020875,0.0,0.0,0.64125,0.054051,72
minus_contact_boundary_factor,3,0.541667,0.045574,0.578704,0.045217,0.324074,0.045638,0.087963,0.023272,0.05787,0.021585,0.543981,0.050874,0.111111,0.02961,0.055556,0.020433,0.208333,0.031489,0.347222,0.041247,0.303241,0.041537,0.273148,0.039465,0.523148,0.050177,0.111111,0.031654,0.048611,0.018769,0.078704,0.025823,0.0,0.0,0.611782,0.046865,72
minus_contact_boundary_factor,4,0.555556,0.047481,0.560185,0.051002,0.298611,0.044737,0.085648,0.025019,0.074074,0.023197,0.481481,0.04313,0.136574,0.027661,0.094907,0.028035,0.224537,0.038854,0.337963,0.045676,0.229167,0.038464,0.25463,0.042356,0.513889,0.043704,0.090278,0.028851,0.037037,0.017364,0.076389,0.023241,0.0,0.0,0.615104,0.046829,72
minus_contact_boundary_factor,5,0.585648,0.044762,0.608796,0.041453,0.3125,0.046566,0.064815,0.022895,0.090278,0.025795,0.527778,0.049631,0.115741,0.030057,0.081019,0.029605,0.189815,0.038932,0.319444,0.04603,0.238426,0.040776,0.275463,0.041954,0.50463,0.045676,0.108796,0.026766,0.048611,0.01985,0.085648,0.02584,0.0,0.0,0.655613,0.042883,72
minus_contact_boundary_factor,6,0.509259,0.049584,0.576389,0.050023,0.273148,0.04252,0.094907,0.024026,0.048611,0.01985,0.525463,0.053928,0.115741,0.031415,0.048611,0.020875,0.210648,0.038764,0.347222,0.045574,0.226852,0.041021,0.298611,0.042339,0.460648,0.047258,0.111111,0.02961,0.034722,0.018204,0.085648,0.02584,0.0,0.0,0.569028,0.049187,72
minus_contact_boundary_factor,7,0.5625,0.050232,0.560185,0.053401,0.273148,0.044908,0.085648,0.026635,0.076389,0.025795,0.532407,0.050315,0.118056,0.02921,0.071759,0.023141,0.194444,0.037676,0.293981,0.044529,0.231481,0.036867,0.25,0.04286,0.497685,0.044995,0.090278,0.026592,0.048611,0.01985,0.083333,0.022383,0.0,0.0,0.625868,0.048101,72
minus_contact_boundary_factor,8,0.546296,0.049302,0.525463,0.042694,0.273148,0.041021,0.101852,0.024651,0.060185,0.026091,0.534722,0.047012,0.122685,0.03165,0.060185,0.018621,0.185185,0.036867,0.333333,0.046594,0.25463,0.037102,0.3125,0.052468,0.474537,0.048205,0.108796,0.029722,0.043981,0.022376,0.092593,0.028816,0.0,0.0,0.602014,0.049733,72
minus_contact_boundary_factor,9,0.527778,0.04286,0.55787,0.047551,0.282407,0.043651,0.081019,0.023291,0.074074,0.022279,0.50463,0.055195,0.12037,0.026024,0.05787,0.023439,0.173611,0.035647,0.300926,0.04317,0.219907,0.039739,0.3125,0.042339,0.483796,0.04711,0.115741,0.033969,0.041667,0.017988,0.101852,0.027833,0.0,0.0,0.589236,0.046157,72
minus_counterfactual_coverage_score,0,0.543981,0.050047,0.534722,0.045201,0.203704,0.037799,0.0625,0.020875,0.053241,0.02126,0.539352,0.041116,0.092593,0.025756,0.048611,0.018769,0.203704,0.035521,0.296296,0.033712,0.280093,0.042284,0.296296,0.047138,0.453704,0.040466,0.113426,0.026505,0.037037,0.016117,0.076389,0.027366,0.0,0.0,0.610764,0.052111,72
minus_counterfactual_coverage_score,1,0.513889,0.049945,0.578704,0.050038,0.219907,0.044215,0.064815,0.020993,0.050926,0.02006,0.55787,0.046665,0.127315,0.027786,0.048611,0.01985,0.1875,0.040319,0.321759,0.04052,0.273148,0.043968,0.310185,0.040509,0.395833,0.044503,0.104167,0.031281,0.030093,0.017489,0.097222,0.028715,0.0,0.0,0.575521,0.050676,72
minus_counterfactual_coverage_score,2,0.550926,0.045063,0.604167,0.047233,0.210648,0.036547,0.074074,0.023197,0.05787,0.020595,0.516204,0.045762,0.094907,0.028035,0.043981,0.019377,0.18287,0.036642,0.354167,0.047012,0.233796,0.042694,0.25463,0.042356,0.49537,0.043331,0.141204,0.033982,0.046296,0.020658,0.081019,0.02417,0.0,0.0,0.627662,0.04606,72
minus_counterfactual_coverage_score,3,0.576389,0.047012,0.581019,0.04614,0.196759,0.034389,0.076389,0.024973,0.069444,0.023959,0.511574,0.046291,0.104167,0.026982,0.060185,0.021726,0.212963,0.034326,0.305556,0.037118,0.259259,0.040294,0.282407,0.049899,0.444444,0.052093,0.125,0.030134,0.043981,0.022376,0.074074,0.026554,0.0,0.0,0.638044,0.044585,72
minus_counterfactual_coverage_score,4,0.541667,0.055489,0.587963,0.050038,0.233796,0.037487,0.06713,0.021096,0.053241,0.02222,0.571759,0.045609,0.099537,0.027153,0.06713,0.026373,0.194444,0.039303,0.305556,0.041874,0.240741,0.040294,0.291667,0.03917,0.428241,0.046516,0.087963,0.028144,0.050926,0.022971,0.101852,0.029295,0.0,0.0,0.611076,0.056235,72
minus_counterfactual_coverage_score,5,0.599537,0.046888,0.592593,0.057025,0.201389,0.040833,0.050926,0.018991,0.053241,0.020254,0.555556,0.046594,0.118056,0.028487,0.064815,0.023789,0.189815,0.037289,0.30787,0.044136,0.256944,0.040833,0.282407,0.040164,0.412037,0.047907,0.115741,0.031415,0.032407,0.016648,0.078704,0.023272,0.0,0.0,0.667199,0.047463,72
minus_counterfactual_coverage_score,6,0.537037,0.048448,0.5625,0.043554,0.206019,0.039033,0.048611,0.01985,0.064815,0.02629,0.571759,0.045149,0.083333,0.025845,0.055556,0.022383,0.1875,0.035353,0.30787,0.040691,0.25463,0.039816,0.261574,0.04374,0.423611,0.049182,0.108796,0.029011,0.053241,0.020254,0.111111,0.027413,0.0,0.0,0.609583,0.048771,72
minus_counterfactual_coverage_score,7,0.569444,0.045574,0.548611,0.048969,0.199074,0.036914,0.074074,0.028816,0.074074,0.026554,0.539352,0.047258,0.108796,0.031095,0.043981,0.017087,0.247685,0.039827,0.328704,0.046581,0.238426,0.042284,0.275463,0.042938,0.444444,0.050465,0.101852,0.027833,0.034722,0.017019,0.069444,0.023072,0.0,0.0,0.626308,0.047987,72
minus_counterfactual_coverage_score,8,0.55787,0.046216,0.530093,0.034991,0.219907,0.035288,0.048611,0.020875,0.041667,0.017988,0.502315,0.050668,0.106481,0.027645,0.0625,0.023686,0.166667,0.034796,0.293981,0.040088,0.236111,0.044179,0.259259,0.040294,0.428241,0.047843,0.104167,0.031281,0.027778,0.014448,0.074074,0.023197,0.0,0.0,0.625509,0.046857,72
minus_counterfactual_coverage_score,9,0.553241,0.054378,0.587963,0.049619,0.196759,0.039476,0.060185,0.022666,0.0625,0.021852,0.539352,0.044995,0.118056,0.028487,0.069444,0.023959,0.210648,0.037672,0.305556,0.033574,0.305556,0.044766,0.280093,0.040776,0.439815,0.043008,0.12037,0.033087,0.025463,0.015372,0.094907,0.025705,0.0,0.0,0.617141,0.052015,72
minus_embodiment_shift_detector,0,0.537037,0.048877,0.574074,0.045638,0.189815,0.036725,0.069444,0.023072,0.060185,0.020742,0.516204,0.043899,0.094907,0.029487,0.060185,0.022666,0.166667,0.037676,0.289352,0.034791,0.206019,0.04212,0.224537,0.037207,0.5,0.044297,0.111111,0.032307,0.06713,0.023881,0.108796,0.030416,0.0,0.0,0.612616,0.048388,72
minus_embodiment_shift_detector,1,0.56713,0.044607,0.560185,0.053401,0.199074,0.033969,0.069444,0.023959,0.078704,0.025002,0.553241,0.045149,0.106481,0.029116,0.064815,0.024651,0.189815,0.034978,0.333333,0.04286,0.24537,0.034779,0.256944,0.040833,0.560185,0.058619,0.104167,0.028487,0.055556,0.02143,0.101852,0.028573,0.0,0.0,0.640938,0.044107,72
minus_embodiment_shift_detector,2,0.590278,0.046115,0.569444,0.048675,0.189815,0.040509,0.081019,0.023291,0.064815,0.022895,0.532407,0.046879,0.083333,0.02961,0.0625,0.023686,0.157407,0.034122,0.328704,0.044753,0.252315,0.045226,0.25,0.041874,0.520833,0.048325,0.113426,0.031539,0.090278,0.028851,0.083333,0.025025,0.0,0.0,0.667639,0.044613,72
minus_embodiment_shift_detector,3,0.5625,0.046341,0.597222,0.047371,0.210648,0.035386,0.06713,0.023881,0.053241,0.02126,0.541667,0.047371,0.118056,0.027744,0.087963,0.030287,0.201389,0.035353,0.344907,0.04538,0.219907,0.03758,0.25463,0.040337,0.474537,0.046888,0.106481,0.02839,0.078704,0.028876,0.097222,0.028715,0.0,0.0,0.637674,0.045261,72
minus_embodiment_shift_detector,4,0.509259,0.046544,0.553241,0.044685,0.215278,0.044969,0.074074,0.024932,0.06713,0.030071,0.527778,0.046594,0.145833,0.034758,0.048611,0.018769,0.206019,0.037948,0.326389,0.043554,0.238426,0.040776,0.268519,0.041148,0.541667,0.048244,0.085648,0.028891,0.076389,0.026592,0.097222,0.029433,0.0,0.0,0.576285,0.04635,72
minus_embodiment_shift_detector,5,0.543981,0.04382,0.576389,0.050023,0.189815,0.03557,0.094907,0.02877,0.076389,0.027366,0.520833,0.034152,0.111111,0.026641,0.074074,0.028082,0.208333,0.034645,0.31713,0.042938,0.24537,0.041861,0.201389,0.037641,0.509259,0.045178,0.127315,0.027024,0.069444,0.023072,0.090278,0.025795,0.0,0.0,0.615208,0.044192,72
minus_embodiment_shift_detector,6,0.548611,0.049394,0.601852,0.039066,0.219907,0.039211,0.081019,0.02584,0.071759,0.02126,0.560185,0.042026,0.083333,0.028164,0.085648,0.02584,0.19213,0.038585,0.337963,0.038753,0.284722,0.043554,0.282407,0.045063,0.534722,0.047454,0.127315,0.031318,0.076389,0.027366,0.074074,0.022279,0.0,0.0,0.625799,0.050483,72
minus_embodiment_shift_detector,7,0.581019,0.047036,0.583333,0.050877,0.199074,0.039111,0.064815,0.02629,0.0625,0.023686,0.560185,0.04252,0.12963,0.037799,0.046296,0.021645,0.159722,0.0368,0.321759,0.045838,0.282407,0.036344,0.282407,0.04598,0.532407,0.048627,0.122685,0.03357,0.074074,0.025756,0.069444,0.023072,0.0,0.0,0.655139,0.045467,72
minus_embodiment_shift_detector,8,0.560185,0.043008,0.569444,0.05159,0.203704,0.034326,0.074074,0.026554,0.055556,0.025025,0.546296,0.048015,0.115741,0.029354,0.076389,0.024973,0.206019,0.037394,0.328704,0.046131,0.206019,0.038494,0.263889,0.042247,0.532407,0.055069,0.099537,0.026373,0.085648,0.026635,0.092593,0.028816,0.0,0.0,0.630567,0.042955,72
minus_embodiment_shift_detector,9,0.553241,0.04326,0.497685,0.053083,0.222222,0.037676,0.0625,0.025387,0.06713,0.025569,0.513889,0.050774,0.122685,0.032302,0.060185,0.024439,0.173611,0.037918,0.324074,0.045178,0.210648,0.039827,0.270833,0.042092,0.511574,0.04445,0.111111,0.026641,0.071759,0.024026,0.0625,0.021852,0.0,0.0,0.616771,0.043083,72
minus_rare_tail_memory,0,0.506944,0.046789,0.358796,0.044136,0.222222,0.038226,0.076389,0.023241,0.05787,0.021585,0.476852,0.042026,0.171296,0.040851,0.076389,0.025795,0.171296,0.034779,0.314815,0.04313,0.300926,0.04598,0.30787,0.040175,0.446759,0.046962,0.113426,0.02877,0.048611,0.01985,0.106481,0.029116,0.0,0.0,0.539583,0.045954,72
minus_rare_tail_memory,1,0.525463,0.048636,0.393519,0.050591,0.238426,0.039211,0.06713,0.021096,0.085648,0.02584,0.534722,0.048755,0.168981,0.03568,0.076389,0.024973,0.19213,0.037487,0.310185,0.04537,0.291667,0.033418,0.287037,0.039421,0.525463,0.044607,0.113426,0.029487,0.055556,0.022383,0.099537,0.030758,0.0,0.0,0.570104,0.049173,72
minus_rare_tail_memory,2,0.50463,0.04834,0.400463,0.042694,0.238426,0.039739,0.064815,0.019973,0.071759,0.024026,0.502315,0.049417,0.131944,0.032266,0.085648,0.027408,0.185185,0.038528,0.351852,0.04313,0.300926,0.046432,0.275463,0.037207,0.472222,0.04286,0.099537,0.030758,0.055556,0.020433,0.094907,0.02488,0.0,0.0,0.55228,0.048612,72
minus_rare_tail_memory,3,0.476852,0.046281,0.391204,0.043421,0.24537,0.04381,0.083333,0.024176,0.069444,0.022148,0.502315,0.048565,0.164352,0.03626,0.099537,0.027153,0.194444,0.041373,0.303241,0.051011,0.296296,0.039421,0.259259,0.039244,0.469907,0.044918,0.136574,0.032517,0.041667,0.022148,0.085648,0.027408,0.0,0.0,0.517859,0.046336,72
minus_rare_tail_memory,4,0.550926,0.046432,0.388889,0.045689,0.263889,0.041247,0.060185,0.021726,0.092593,0.026554,0.525463,0.047331,0.141204,0.03273,0.099537,0.027153,0.18287,0.028283,0.347222,0.046481,0.31713,0.040434,0.328704,0.04381,0.458333,0.048244,0.12037,0.033087,0.074074,0.02408,0.106481,0.026879,0.0,0.0,0.590694,0.048456,72
minus_rare_tail_memory,5,0.516204,0.048421,0.439815,0.051002,0.224537,0.039388,0.087963,0.02959,0.071759,0.023141,0.490741,0.049161,0.157407,0.035911,0.078704,0.024152,0.203704,0.037799,0.3125,0.041341,0.263889,0.03917,0.282407,0.040164,0.483796,0.049276,0.085648,0.029605,0.030093,0.014912,0.078704,0.021403,0.0,0.0,0.56022,0.047762,72
minus_rare_tail_memory,6,0.525463,0.044607,0.354167,0.048325,0.212963,0.039947,0.048611,0.022787,0.06713,0.02299,0.465278,0.046566,0.148148,0.032664,0.087963,0.028144,0.203704,0.042479,0.333333,0.04286,0.247685,0.040862,0.24537,0.039816,0.476852,0.041021,0.094907,0.02488,0.030093,0.014912,0.104167,0.02921,0.0,0.0,0.567917,0.044612,72
minus_rare_tail_memory,7,0.546296,0.049302,0.37963,0.048015,0.212963,0.03245,0.05787,0.019555,0.076389,0.025795,0.497685,0.048565,0.136574,0.033777,0.092593,0.026554,0.215278,0.038464,0.291667,0.040737,0.270833,0.043554,0.270833,0.045431,0.465278,0.050439,0.090278,0.030945,0.041667,0.020176,0.097222,0.030819,0.0,0.0,0.587569,0.051091,72
minus_rare_tail_memory,8,0.523148,0.050177,0.358796,0.042694,0.243056,0.03927,0.05787,0.022531,0.071759,0.025705,0.506944,0.042585,0.134259,0.029354,0.097222,0.026444,0.175926,0.034122,0.3125,0.040833,0.240741,0.039244,0.305556,0.041373,0.472222,0.046594,0.106481,0.031193,0.032407,0.015343,0.101852,0.027833,0.0,0.0,0.565741,0.051569,72
minus_rare_tail_memory,9,0.527778,0.039831,0.372685,0.044057,0.243056,0.040319,0.078704,0.025002,0.071759,0.025705,0.516204,0.050942,0.164352,0.033879,0.087963,0.026619,0.194444,0.039303,0.303241,0.045838,0.289352,0.038222,0.280093,0.038675,0.467593,0.047322,0.108796,0.026766,0.041667,0.023072,0.087963,0.025002,0.0,0.0,0.566725,0.042331,72
minus_recoverability_calibration,0,0.553241,0.042284,0.583333,0.04286,0.226852,0.041021,0.06713,0.026373,0.071759,0.024026,0.405093,0.047405,0.136574,0.029839,0.074074,0.023197,0.18287,0.036068,0.287037,0.037799,0.238426,0.039739,0.226852,0.038932,0.509259,0.048735,0.087963,0.026619,0.048611,0.01985,0.150463,0.036068,0.0,0.0,0.619259,0.044285,72
minus_recoverability_calibration,1,0.56713,0.048205,0.555556,0.04523,0.162037,0.042846,0.108796,0.027535,0.0625,0.021852,0.402778,0.04781,0.127315,0.030644,0.064815,0.024651,0.175926,0.036487,0.300926,0.049479,0.263889,0.040737,0.280093,0.03702,0.520833,0.044737,0.094907,0.025705,0.043981,0.021423,0.115741,0.030057,0.0,0.0,0.62059,0.048722,72
minus_recoverability_calibration,2,0.534722,0.046566,0.550926,0.045523,0.236111,0.034037,0.104167,0.026982,0.085648,0.027408,0.462963,0.048448,0.12963,0.031137,0.081019,0.027408,0.189815,0.038392,0.356481,0.043491,0.252315,0.037114,0.268519,0.04215,0.527778,0.044297,0.108796,0.030416,0.041667,0.021185,0.115741,0.032073,0.0,0.0,0.590903,0.046724,72
minus_recoverability_calibration,3,0.555556,0.044766,0.555556,0.052492,0.224537,0.039388,0.081019,0.028159,0.081019,0.025019,0.4375,0.041593,0.12963,0.034929,0.060185,0.023569,0.194444,0.03539,0.321759,0.048493,0.289352,0.045686,0.263889,0.042247,0.5625,0.050232,0.099537,0.03273,0.043981,0.017087,0.138889,0.035975,0.0,0.0,0.619306,0.046089,72
minus_recoverability_calibration,4,0.550926,0.050728,0.590278,0.042829,0.236111,0.03917,0.094907,0.02877,0.0625,0.023686,0.428241,0.046065,0.111111,0.02961,0.060185,0.021726,0.150463,0.034891,0.3125,0.041341,0.201389,0.037641,0.298611,0.041843,0.546296,0.048015,0.113426,0.02877,0.030093,0.016252,0.166667,0.032947,0.0,0.0,0.612917,0.049176,72
minus_recoverability_calibration,5,0.56713,0.049487,0.548611,0.043554,0.19213,0.035777,0.069444,0.023072,0.071759,0.02126,0.391204,0.04484,0.141204,0.032086,0.053241,0.023141,0.231481,0.040121,0.263889,0.041247,0.238426,0.039739,0.293981,0.039033,0.555556,0.047919,0.115741,0.030057,0.034722,0.017019,0.127315,0.031318,0.0,0.0,0.622697,0.05107,72
minus_recoverability_calibration,6,0.530093,0.048061,0.548611,0.046341,0.226852,0.041021,0.076389,0.026592,0.099537,0.027911,0.377315,0.047478,0.131944,0.030263,0.064815,0.024651,0.185185,0.041148,0.291667,0.043704,0.238426,0.04374,0.231481,0.039597,0.520833,0.04566,0.108796,0.033048,0.037037,0.018528,0.143519,0.03314,0.0,0.0,0.586782,0.052274,72
