ablation,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_recovery_success,ci95_recovery_success,mean_tail_risk_rate,ci95_tail_risk_rate,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_average_scaling_gain,ci95_average_scaling_gain,mean_boundary_risk_slope,ci95_boundary_risk_slope,mean_scale_exception_gap,ci95_scale_exception_gap,mean_boundary_coverage,ci95_boundary_coverage,mean_shortcut_reliance,ci95_shortcut_reliance,mean_morphology_transfer_gap,ci95_morphology_transfer_gap,mean_recoverability_deficit,ci95_recoverability_deficit,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
full_boundary_aware_scale_exception_audit_v5,0,0.638889,0.04286,0.662037,0.033557,0.19213,0.037487,0.041667,0.019113,0.037037,0.018528,0.578704,0.047469,0.078704,0.027392,0.016204,0.013178,0.208333,0.041247,0.293981,0.044995,0.215278,0.039003,0.24537,0.041359,0.641204,0.044136,0.085648,0.028891,0.018519,0.012184,0.048611,0.017621,0.0,0.0,0.738333,0.039063,72
full_boundary_aware_scale_exception_audit_v5,1,0.641204,0.039122,0.662037,0.042356,0.180556,0.042247,0.055556,0.02143,0.037037,0.019622,0.590278,0.04566,0.076389,0.021369,0.018519,0.012184,0.219907,0.040776,0.333333,0.043823,0.210648,0.035386,0.203704,0.036104,0.613426,0.046065,0.097222,0.024815,0.034722,0.017019,0.060185,0.021726,0.0,0.0,0.745926,0.041662,72
full_boundary_aware_scale_exception_audit_v5,2,0.638889,0.041874,0.597222,0.042738,0.175926,0.031581,0.027778,0.015827,0.030093,0.016252,0.611111,0.050877,0.071759,0.024026,0.039352,0.01883,0.178241,0.031207,0.303241,0.042037,0.210648,0.034186,0.252315,0.039299,0.659722,0.040059,0.106481,0.02839,0.032407,0.017858,0.046296,0.020658,0.0,0.0,0.743171,0.04085,72
full_boundary_aware_scale_exception_audit_v5,3,0.650463,0.045303,0.606481,0.052216,0.171296,0.037661,0.034722,0.015744,0.032407,0.017858,0.622685,0.048779,0.111111,0.028896,0.020833,0.012821,0.173611,0.0368,0.328704,0.045676,0.240741,0.040808,0.243056,0.042339,0.655093,0.047184,0.085648,0.02417,0.030093,0.016252,0.064815,0.024651,0.0,0.0,0.748345,0.044359,72
full_boundary_aware_scale_exception_audit_v5,4,0.657407,0.041317,0.655093,0.043501,0.148148,0.034528,0.025463,0.015372,0.023148,0.014883,0.604167,0.051867,0.094907,0.026505,0.020833,0.012821,0.189815,0.03557,0.344907,0.046291,0.18287,0.036642,0.208333,0.03917,0.613426,0.049558,0.083333,0.024176,0.027778,0.014448,0.071759,0.02488,0.0,0.0,0.76044,0.038071,72
full_boundary_aware_scale_exception_audit_v5,5,0.613426,0.051215,0.668981,0.048133,0.224537,0.037764,0.037037,0.019622,0.025463,0.013948,0.564815,0.047285,0.076389,0.024973,0.032407,0.016648,0.196759,0.039476,0.328704,0.046131,0.175926,0.033505,0.25463,0.041359,0.569444,0.043704,0.101852,0.029999,0.023148,0.013407,0.0625,0.020875,0.0,0.0,0.708831,0.051021,72
full_boundary_aware_scale_exception_audit_v5,6,0.675926,0.039244,0.638889,0.048782,0.178241,0.037856,0.048611,0.01985,0.032407,0.016648,0.597222,0.048244,0.090278,0.024973,0.018519,0.013791,0.25,0.040351,0.340278,0.046789,0.189815,0.036152,0.238426,0.044215,0.634259,0.04068,0.113426,0.027281,0.025463,0.013948,0.048611,0.020875,0.0,0.0,0.770463,0.037789,72
full_boundary_aware_scale_exception_audit_v5,7,0.675926,0.04377,0.581019,0.041871,0.175926,0.035911,0.055556,0.019384,0.023148,0.014883,0.594907,0.042284,0.111111,0.028164,0.032407,0.016648,0.18287,0.03241,0.331019,0.04212,0.206019,0.037394,0.210648,0.039827,0.608796,0.048421,0.083333,0.023297,0.032407,0.015343,0.05787,0.020595,0.0,0.0,0.767593,0.041755,72
full_boundary_aware_scale_exception_audit_v5,8,0.638889,0.046594,0.652778,0.044649,0.145833,0.029566,0.041667,0.019113,0.032407,0.017858,0.601852,0.045024,0.076389,0.024973,0.037037,0.017364,0.203704,0.033712,0.310185,0.041527,0.210648,0.037672,0.233796,0.041704,0.625,0.048244,0.085648,0.027408,0.037037,0.018528,0.071759,0.02877,0.0,0.0,0.738796,0.045212,72
full_boundary_aware_scale_exception_audit_v5,9,0.645833,0.05126,0.606481,0.051814,0.178241,0.032517,0.037037,0.017364,0.025463,0.015372,0.571759,0.047843,0.104167,0.027744,0.020833,0.012821,0.215278,0.040059,0.256944,0.03927,0.180556,0.034645,0.263889,0.040737,0.631944,0.042829,0.085648,0.026635,0.025463,0.015372,0.06713,0.024739,0.0,0.0,0.730891,0.047962,72
minus_boundary_mixture_model,0,0.55787,0.041954,0.534722,0.046115,0.252315,0.036547,0.069444,0.024815,0.064815,0.023789,0.497685,0.047697,0.127315,0.033258,0.0625,0.023686,0.201389,0.031613,0.321759,0.043501,0.261574,0.039739,0.284722,0.039535,0.421296,0.051274,0.099537,0.026373,0.043981,0.019377,0.074074,0.023197,0.0,0.0,0.613113,0.043049,72
minus_boundary_mixture_model,1,0.583333,0.047919,0.541667,0.03917,0.25,0.038226,0.074074,0.028082,0.076389,0.025795,0.532407,0.047322,0.115741,0.030743,0.078704,0.026619,0.203704,0.038888,0.347222,0.054349,0.275463,0.037207,0.289352,0.045226,0.513889,0.040222,0.115741,0.032073,0.050926,0.018991,0.087963,0.028144,0.0,0.0,0.64338,0.046215,72
